"","stock_data$MOS.Open","stock_data$MOS.High","stock_data$MOS.Low","stock_data$MOS.Close","stock_data$MOS.Volume","stock_data$MOS.Adjusted"
"1",43.59,45.939999,38.860001,38.98,56040800,36.462457
"2",38.970001,48.540001,37.68,47.650002,134862900,44.572502
"3",46.790001,59.880001,46.279999,58.66,147362200,54.92851
"4",59.419998,63.939999,56.59,58.759998,90967000,55.022148
"5",58.759998,73.379997,58.549999,73.160004,112665400,68.506138
"6",73.010002,74.25,64.559998,67.629997,94887200,63.371716
"7",68.559998,76.800003,65,76.360001,86576600,71.552041
"8",77.459999,85.449997,71.860001,81.040001,168249000,75.937368
"9",81.75,89.239998,75.400002,85.849998,118407000,80.494168
"10",86.07,86.669998,73.029999,78.75,112245300,73.837109
"11",79.489998,83.410004,71.849998,74.860001,81081200,70.235549
"12",75.089996,75.419998,64.900002,70.849998,197060300,66.473263
"13",70.220001,71.480003,58.84,67.730003,199052800,63.546005
"14",67.489998,74.309998,65.360001,70.720001,131849800,66.351296
"15",72.410004,74,55.700001,71.129997,175216600,66.782737
"16",71.019997,72.349998,48.490002,48.970001,197846000,45.977096
"17",48.759998,62.650002,44.860001,58.560001,151201700,54.980983
"18",55.209999,60.349998,49.080002,52.759998,116978300,49.577791
"19",53.209999,54.279999,46.5,50.43,110537300,47.388326
"20",51.619999,56.959999,51.150002,55.970001,107881300,52.640948
"21",56.59,59.75,54.110001,57.75,87935500,54.315074
"22",58.48,59.799999,54.509998,55.290001,106646500,52.001394
"23",55.349998,55.939999,49.509998,52.82,90673000,49.678306
"24",52.669998,53.779999,45.580002,47.68,79068400,44.950407
"25",46.82,54.98,44.43,54.759998,94107800,51.625088
"26",54.939999,59.060001,53.779999,58.110001,96491600,55.019037
"27",58.599998,59.950001,56.34,57.91,66697600,54.829674
"28",57.970001,61.98,56.700001,57.610001,82327500,54.545632
"29",57.919998,58.689999,52.27,52.34,77045100,49.791798
"30",52.540001,54.740002,48.290001,54.060001,60970400,51.42806
"31",54.310001,57.110001,52.650002,56.630001,48862900,53.872938
"32",58.060001,63.459999,56.32,61.25,73650700,58.26801
"33",61.919998,62.43,55.619999,58.540001,54104700,55.919165
"34",58.110001,62.740002,57.540001,59.610001,65402200,56.941261
"35",59.470001,61.939999,56.900002,61.59,58623300,59.071421
"36",61.290001,64.650002,58.290001,60.82,61785500,58.332908
"37",60.880001,62.09,53.299999,53.810001,53533000,51.609567
"38",54.09,56.970001,39.950001,41.09,176005300,39.595756
"39",42.049999,44.799999,39.75,41.650002,174988400,40.135393
"40",42.110001,47.099998,41.139999,43.02,145135900,41.455572
"41",42.939999,47.380001,42.759998,45.849998,98670900,44.182656
"42",45.939999,49.810001,45.490002,47.900002,74052100,46.158111
"43",48,48.25,43.709999,47.27,65069600,45.792185
"44",47.25,49.669998,43.580002,44.66,75570900,43.263781
"45",44.830002,49.150002,44.310001,48.860001,62632500,47.332476
"46",48.490002,50.630001,47.380001,50,64598400,48.68533
"47",49.959999,50.41,47.09,50.040001,43849900,48.724279
"48",50.009998,50.419998,48.099998,49.990002,46733800,48.675595
"49",49.98,51.25,48.23,49.450001,64977200,48.392532
"50",49.509998,49.59,45.950001,46.110001,56797300,45.123957
"51",46.09,48.209999,45.5,47.759998,46667800,46.73867
"52",47.630001,47.650002,44.09,44.41,54130600,43.689001
"53",44.09,44.389999,40.32,44.310001,81710200,43.590626
"54",44.32,48.73,43.380001,45.77,68180300,45.026922
"55",45.669998,46.84,43.59,45.650002,63172600,45.161338
"56",45.860001,49.5,44.779999,48.689999,70940400,48.168793
"57",48.91,53.830002,48.41,53.259998,65805100,52.689873
"58",53.099998,53.549999,45.919998,46.060001,96002600,45.780757
"59",46.259998,46.5,43.330002,44,75954700,43.733244
"60",44.540001,47.68,44,45.849998,92860400,45.572027
"61",45.900002,46,43.810001,44.610001,23118400,44.610001
