"","stock_data$IBM.Open","stock_data$IBM.High","stock_data$IBM.Low","stock_data$IBM.Close","stock_data$IBM.Volume","stock_data$IBM.Adjusted"
"1",125.989998,131.940002,123,123.480003,107717800,111.66448
"2",123.550003,131.600006,120.610001,128.399994,144080000,116.113688
"3",129.25,132.490005,122.279999,123.129997,117394000,111.899698
"4",125.309998,136.110001,124.519997,134.139999,116092900,121.905513
"5",135.509995,144,134.389999,143.600006,137284700,130.502702
"6",143.639999,147.529999,141.179993,141.460007,104096700,129.129173
"7",143.610001,147.5,143.509995,146.759995,93392800,133.96717
"8",147.210007,164.350006,146.639999,162,118831600,147.87873
"9",162.110001,166.25,159.029999,161.880005,89067500,148.354259
"10",163.149994,167.720001,151.710007,163.070007,129714300,149.444832
"11",163.699997,173,162.190002,170.580002,100769500,156.327335
"12",172.110001,173.539993,165.899994,168.929993,110804200,155.507526
"13",168.899994,172.449997,161.520004,171.550003,105442400,157.919362
"14",171.610001,185.630005,171.490005,181.850006,113593200,167.40097
"15",182.600006,183.690002,157.130005,171.910004,195054100,158.939885
"16",172.710007,180.910004,158.759995,174.869995,137895000,161.676554
"17",174.360001,190.529999,168.880005,184.630005,144563700,170.700199
"18",181.550003,189.970001,177.059998,188,97014100,174.514667
"19",187.009995,194.899994,179.039993,183.880005,103436500,170.690201
"20",186.729996,193.100006,177.350006,192.600006,110015000,178.784712
"21",193.210007,199.229996,190.830002,196.729996,78809900,183.329592
"22",197.229996,209.119995,196.809998,208.649994,88096900,194.437651
"23",208.960007,210.690002,196.789993,207.080002,86603000,192.9746
"24",207.179993,208.929993,192,192.899994,86005300,180.513529
"25",190.119995,199.990005,187,195.580002,84559100,183.021449
"26",196.360001,197.839996,181.850006,195.979996,91516500,183.395759
"27",196.960007,202,193.020004,194.850006,60653700,183.116847
"28",196.610001,208.320007,193.25,207.449997,77341400,194.958112
"29",208.009995,211.789993,190.559998,194.529999,96155000,182.816109
"30",194.679993,198,184.779999,190.070007,81892500,179.406432
"31",190.759995,196.449997,186.940002,191.550003,79320200,180.803395
"32",194.089996,208.580002,190.389999,203.070007,87636600,191.677088
"33",204.649994,205.350006,197.509995,200.830002,64144100,190.360653
"34",200.649994,215.899994,199.360001,213.300003,76023800,202.180588
"35",212.800003,214.889999,187.679993,202.539993,108666600,191.981502
"36",201.869995,211.979996,199.199997,208.020004,90683600,198.100044
"37",208.25,210.050003,188.410004,191.110001,80215000,181.996437
"38",192.149994,200.940002,190.259995,195.039993,88079400,185.739018
"39",196.649994,197.169998,181.100006,182.270004,73077400,174.445706
"40",183.630005,194.889999,182.309998,185.179993,71488100,177.230777
"41",185.339996,186.990005,172.570007,179.210007,130967100,171.517065
"42",179.809998,186.240005,177.309998,179.679993,100984900,172.890378
"43",179.460007,187.789993,172.729996,187.570007,97993100,180.482251
"44",187.210007,190.809998,175.339996,176.679993,123489300,170.00374
"45",176.020004,186.119995,172.190002,185.169998,87054800,179.149705
"46",183.330002,195.630005,182.210007,192.490005,118984000,186.231723
"47",193.119995,199.210007,187.009995,196.470001,118447100,190.08232
"48",196.309998,196.740005,182.330002,184.360001,70018300,179.404531
"49",184.759995,187.649994,179.270004,181.270004,78501700,176.397592
"50",181.699997,196.399994,181.699997,191.669998,97597800,186.518041
"51",190.5,194.130005,183.580002,192.300003,53456100,188.237811
"52",192.679993,195,188.119995,189.830002,64179600,185.819987
"53",189.910004,190.889999,161.100006,164.399994,146255300,160.927168
"54",164.25,164.970001,159.800003,162.169998,80011200,159.830757
"55",161.639999,164.520004,150.5,160.440002,101581700,158.125716
"56",161.309998,163.309998,149.520004,153.309998,117403800,151.098559
"57",154,164.990005,151.509995,161.940002,77625400,160.723678
"58",161.940002,165.350006,153.399994,160.5,104911500,159.294491
"59",160.229996,175.130005,158.389999,171.289993,93836100,170.003441
"60",173.199997,176.300003,168.839996,169.649994,57549100,169.649994
"61",170.210007,171.559998,163.369995,168.919998,25592000,168.919998
