"","stock_data$CVC.Open","stock_data$CVC.High","stock_data$CVC.Low","stock_data$CVC.Close","stock_data$CVC.Volume","stock_data$CVC.Adjusted"
"1",22.69001,25.66,22.390011,24.009998,69776400,14.791366
"2",23.960001,27.61,23.530003,27.409999,59682200,16.885938
"3",27.870008,28.040011,24.050004,25.090012,53507300,15.530668
"4",25.590011,27.670008,25.120008,26.190011,40145800,16.211565
"5",26.209999,27.190012,25.870008,26.740011,45365800,16.552014
"6",26.820009,32.090012,26.070009,31.670008,68707400,19.687583
"7",32.320008,36.100006,31.720008,33.840013,156127500,21.036562
"8",34.090012,35.290012,33.260002,33.850008,66454300,21.042775
"9",34.030004,38.080005,33.790013,36.850007,52827300,22.986964
"10",36.820011,37.190014,34.000008,34.610002,62629000,21.589654
"11",34.740012,35.880004,32.800006,35.230004,61853300,21.976409
"12",35.570011,35.810002,33.070009,35.520011,67693200,22.252059
"13",35.37001,36.860001,33.860002,36.210001,105843300,22.684314
"14",26.25,27.6,24.27,24.360001,59049300,21.037632
"15",24.559999,24.65,16.02,18.059999,110743600,15.722781
"16",18.01,18.459999,15.4,15.73,68701000,13.694316
"17",15.65,18.25,14.44,14.47,69647500,12.597378
"18",14.41,15.75,14.18,15,55619700,13.188084
"19",15.02,15.37,11.57,14.22,94690200,12.502304
"20",14.63,15.32,13.65,14.55,67572100,12.792441
"21",14.65,16.629999,13.88,14.23,73778600,12.511095
"22",14.24,15.18,13.69,14.68,83355000,13.047232
"23",14.62,14.86,13.15,14.82,62065300,13.17166
"24",14.85,15.24,11.01,11.44,87842900,10.292506
"25",11.22,13.36,10.76,13.29,73164000,11.956941
"26",13.34,15.53,12.66,15.34,75636100,13.801316
"27",15.47,17.25,14.62,14.95,69492800,13.579765
"28",14.91,17.43,14.65,15.85,51229000,14.397277
"29",15.86,18.860001,15.76,17.42,68334400,15.823379
"30",17.610001,17.870001,13.21,13.84,86563500,12.683815
"31",13.89,15.2,13.67,14.94,48353300,13.691921
"32",15.26,15.96,14.55,14.64,64659900,13.416984
"33",14.79,15.55,13.68,13.99,75913400,12.821284
"34",13.81,15.07,13.62,14.96,88355000,13.857991
"35",14.91,15.21,14,14.86,49680600,13.765357
"36",14.8,16.01,14.16,15.12,65613200,14.141312
"37",15.12,17.01,13.88,16.82,70700000,15.731274
"38",17.4,19.48,17.25,18.690001,70467900,17.480234
"39",18.690001,20.16,17.280001,17.73,67196200,16.70902
"40",17.91,18.129999,16.700001,16.84,46878500,15.870271
"41",16.82,17.110001,15.36,15.55,82644300,14.654555
"42",15.55,16.91,14.65,16.77,92109500,15.964589
"43",16.91,18.049999,15.86,17.93,63655000,17.068878
"44",17.84,17.860001,15.69,16.040001,74263500,15.269649
"45",16.16,17.950001,15.78,17.6,80401300,16.754727
"46",17.4,18.280001,16.27,16.870001,54223900,16.197915
"47",16.91,17.790001,15.92,16.700001,61484900,16.034688
"48",16.75,17.780001,16.42,17.629999,68967500,17.07656
"49",17.66,17.77,16.870001,17.65,50522500,17.095932
"50",17.690001,20.42,17.65,19.219999,57540000,18.616647
"51",19.26,19.530001,17.540001,18.51,63572200,18.079768
"52",18.540001,19.379999,17.41,17.51,41808400,17.103011
"53",17.52,19.139999,16.940001,18.620001,54960800,18.187212
"54",18.67,20.370001,17.73,20.32,59004400,20.004555
"55",20.32,21.969999,19.32,20.639999,73245900,20.319587
"56",20.77,21.059999,18.549999,18.92,57934600,18.626289
"57",18.950001,20.780001,18.17,18.780001,58527800,18.488463
"58",18.82,19.209999,17.66,18.299999,55490500,18.169719
"59",18.18,20.549999,17.700001,19.98,86257800,19.83776
"60",20.129999,26.5,19.75,24.51,134355200,24.51
"61",24.559999,24.91,23.41,23.98,24677100,23.98
