"","stock_data$EL.Open","stock_data$EL.High","stock_data$EL.Low","stock_data$EL.Close","stock_data$EL.Volume","stock_data$EL.Adjusted"
"1",57.529999,60.799999,54.790001,55.73,45799200,26.571037
"2",55.779999,65.129997,55.389999,62.25,82506000,29.679653
"3",63.209999,64.290001,54.610001,56.07,88413000,26.733143
"4",56.830002,64.690002,56.830002,63.23,56346200,30.146899
"5",64.010002,74.309998,62.459999,71.169998,63774400,33.932544
"6",70.370003,76.360001,69.110001,74.919998,69158200,36.078681
"7",76.279999,81.440002,76.279999,80.699997,42342400,38.862114
"8",81.239998,84.690002,79.669998,80.5,53391400,38.765802
"9",80.879997,95.550003,79.709999,94.410004,56600000,45.464342
"10",94.470001,96.660004,86.730003,96.360001,48105600,46.403388
"11",96.739998,97.349998,93.349998,97,40698000,46.711588
"12",97.889999,104,92.809998,102.510002,47834000,49.365
"13",102.400002,106.57,94.959999,105.190002,43103800,50.655588
"14",105.230003,108.769997,102.82,104.910004,38838000,50.520751
"15",106.080002,106.150002,85.650002,97.660004,107835800,47.029421
"16",97.309998,106.419998,86.199997,87.839996,69667200,42.300471
"17",87.089996,102.860001,81.510002,98.449997,49702800,47.409853
"18",95.760002,120.730003,94.120003,117.980003,64091000,57.357444
"19",117,118.989998,105.169998,112.32,41497800,54.605763
"20",113.839996,116.470001,56.779999,57.93,42028100,56.326779
"21",58.400002,59.5,54,58.540001,49036200,56.919898
"22",58.380001,63.919998,57.619999,61.939999,47056400,60.2258
"23",62.150002,65.599998,60.700001,65.349998,28831800,63.541427
"24",65.480003,65.480003,53.509998,54.150002,54721300,52.651392
"25",53.41,57.009998,51.82,54.119999,40656600,52.62222
"26",54.259998,56.200001,49.810001,52.380001,54280900,50.930377
"27",52.59,61.759998,50,59.950001,56826500,58.290875
"28",59.810001,62.240002,59.310001,61.57,41608400,59.866041
"29",61.610001,65,60.57,61.619999,32270000,59.914656
"30",59.470001,61.810001,56.040001,58.25,39153200,56.637922
"31",58.59,61.259998,57.529999,59.860001,32542600,58.203366
"32",60.349998,64.610001,59.900002,60.93,41645100,59.243753
"33",61.200001,66.07,60.990002,64.099998,42486300,62.508144
"34",63.68,66.510002,61.869999,64.029999,29879200,62.439883
"35",63.98,70.800003,62.290001,69.349998,40073600,67.627766
"36",69.379997,72.699997,66.699997,67.779999,38882400,66.264634
"37",67.860001,70.650002,63.93,65.769997,33247800,64.29957
"38",66.480003,68.779999,64.43,65.650002,38906500,64.182257
"39",66.129997,68.82,64.449997,65.360001,44621700,64.074447
"40",66.059998,72.690002,66.019997,69.900002,30158300,68.525151
"41",69.900002,74.620003,68.25,70.959999,33655400,69.5643
"42",70.699997,75.769997,69.269997,74.959999,28045400,73.683913
"43",74.989998,75.550003,71.449997,75.32,23335100,74.037785
"44",74.989998,75.129997,67.580002,68.739998,38181600,67.569798
"45",68.870003,69.769997,63.630001,68.839996,60282800,67.869245
"46",68.459999,70.620003,66.370003,66.879997,45475400,65.936885
"47",67.519997,72.989998,66.82,72.57,54672300,71.546649
"48",72.209999,76.739998,71.5,76.620003,42132600,75.739964
"49",76.599998,77.339996,73.82,74.260002,29093000,73.40707
"50",74.540001,76.410004,73.239998,73.459999,33239600,72.616256
"51",73.489998,77.660004,72.830002,76.830002,32997500,76.144718
"52",76.68,77.239998,73.919998,74.720001,32421500,74.053538
"53",74.379997,75.690002,70.18,75.18,36656200,74.509434
"54",75.400002,76,70.800003,74.139999,43446700,73.721883
"55",73.690002,77.980003,71.769997,76.199997,34879200,75.770263
"56",76.550003,76.730003,70.379997,70.589996,38264900,70.1919
"57",70.720001,82.940002,70.410004,82.669998,44957800,82.445757
"58",82.669998,85.279999,79.980003,83.160004,35639100,82.934433
"59",83.589996,85.169998,81.080002,81.290001,24600800,81.069503
"60",81.959999,90.330002,81.5,87.43,38630600,87.43
"61",88.010002,88.949997,86.610001,88.349998,10026500,88.349998
