"","stock_data$TSN.Open","stock_data$TSN.High","stock_data$TSN.Low","stock_data$TSN.Close","stock_data$TSN.Volume","stock_data$TSN.Adjusted"
"1",17.889999,18.700001,16.35,16.389999,77756100,15.599523
"2",16.309999,18.42,16.01,17.51,87424800,16.665507
"3",17.639999,17.870001,15.66,16.379999,113710100,15.627639
"4",16.51,17.209999,15.04,16.02,113869700,15.284176
"5",16.190001,16.33,14.59,15.55,113648600,14.835763
"6",15.62,16.66,14.79,15.83,97530100,15.140331
"7",16.09,17.809999,16.049999,17.219999,80672600,16.469772
"8",17.209999,17.5,16.17,16.450001,83746600,15.733321
"9",16.559999,19.139999,16.5,18.629999,90204400,17.857397
"10",18.84,19.99,18.24,19.190001,79583600,18.394174
"11",19.299999,19.950001,18.879999,19.9,59809300,19.074729
"12",19.959999,20.120001,17.620001,19.02,110400000,18.27075
"13",18.950001,19.629999,17.09,19.42,118323300,18.654992
"14",19.5,19.700001,17.27,17.559999,74763600,16.868262
"15",17.719999,17.799999,15.6,17.469999,112275400,16.820211
"16",17.559999,17.85,15.96,17.360001,76751000,16.714303
"17",17.26,19.68,16.379999,19.299999,82392800,18.582144
"18",18.799999,20.309999,18.719999,20.139999,70049700,19.430494
"19",20.18,21.059999,19.82,20.639999,66058500,19.91288
"20",20.889999,20.98,18.450001,18.639999,100228700,17.983337
"21",18.700001,19.83,18.5,18.91,87211600,18.282033
"22",18.93,19.99,18.709999,19.15,77390700,18.514063
"23",19.18,19.540001,17.299999,18.25,85088100,17.643951
"24",18.209999,19.77,17.639999,19.370001,95664100,18.76533
"25",19.15,19.549999,18.09,18.83,69212800,18.242186
"26",18.879999,18.879999,14.62,15.01,129150800,14.541435
"27",15.05,16.33,14.07,15.66,189086600,15.210094
"28",15.66,16.73,15.51,16.02,104023000,15.559752
"29",16.1,17,15.93,16.809999,86135300,16.327055
"30",16.85,19.4,16.5,19.17,116632900,18.766558
"31",19.25,19.91,19.030001,19.4,67620600,18.991717
"32",19.709999,22.860001,19.610001,22.120001,95238400,21.654474
"33",22.950001,24.309999,21.790001,22.67,117009700,22.242547
"34",22.65,24.85,22.6,24.82,72329800,24.352007
"35",24.76,25.1,22.469999,24.629999,82511200,24.165589
"36",24.52,25.860001,23.389999,25,110610900,24.578047
"37",24.950001,26,24.48,25.68,67092500,25.24657
"38",25.790001,27.66,25.690001,27.620001,59699200,27.153827
"39",27.879999,32.400002,27.860001,28.950001,120441700,28.510331
"40",29.18,30.559999,28.18,28.280001,98139200,27.850507
"41",28.209999,29.889999,27.389999,27.67,95423900,27.24977
"42",27.690001,31.98,27.33,31.690001,83244900,31.283013
"43",31.59,34.380001,31.450001,33.459999,71665800,33.03028
"44",33.52,38.25,33.029999,37.400002,82136100,36.919682
"45",37.349998,39.549999,35.209999,39.450001,72525000,39.018523
"46",39.049999,44.220001,38.299999,44.009998,66621000,43.528646
"47",44.130001,44.240002,40.790001,41.970001,76113400,41.510961
"48",42.240002,44,38,42.459999,85578400,42.07156
"49",42.560001,43.630001,34.900002,37.540001,124631800,37.196571
"50",37.5,41.880001,37.099998,37.209999,113736400,36.869589
"51",37.099998,38.200001,36.119999,38.060001,87973500,37.787961
"52",38.139999,39.869999,37.139999,39.369999,74844000,39.088595
"53",39.82,42.099998,37.02,40.349998,98682900,40.06159
"54",40.349998,43.369999,39.619999,42.34,84545100,42.139127
"55",42.139999,42.529999,38.25,40.09,113187900,39.899802
"56",40.09,42,38.389999,39.040001,96615900,38.854784
"57",39.040001,41.82,38.509998,41.310001,66029600,41.213325
"58",41.310001,42.41,37.099998,38.299999,111809000,38.210367
"59",38.150002,40,37.240002,39.5,71010500,39.40756
"60",39.560001,43.799999,39.34,42.450001,82835900,42.450001
"61",42.529999,42.75,40.709999,41.400002,23577800,41.400002
