"","stock_data$BEN.Open","stock_data$BEN.High","stock_data$BEN.Low","stock_data$BEN.Close","stock_data$BEN.Volume","stock_data$BEN.Adjusted"
"1",89.630013,95.070002,85.199999,86.189999,76001700,26.015275
"2",86.090012,102.200008,84,100.580006,86376000,30.358702
"3",102.330002,106.149994,93.950008,96.509995,70036500,29.130225
"4",98.100002,109.190014,97.179989,106.899994,65538600,32.332519
"5",108.209999,118.839993,106.040005,114.699989,69445500,34.691673
"6",115.169998,125.000015,112.539986,114.089996,57521400,34.507177
"7",116.360012,120.729984,107.78001,111.209999,76180800,33.712465
"8",111.96999,124.149994,108.330002,120.650013,80284800,36.574133
"9",121.959995,130.970009,119.879997,125.619987,51017400,38.080743
"10",125.73,127.730015,113.339996,125.079987,69724800,37.996102
"11",125.930008,129.540001,120.500015,129.120003,45617700,39.223356
"12",129.75,130.77,121.970009,129.579987,47969400,39.363087
"13",129.230015,131.649994,120.810001,131.289986,61094400,39.962341
"14",130.670013,137.559986,126.500015,126.959999,52124100,38.64437
"15",128.46999,129.159988,106.200005,119.919994,116139000,36.501517
"16",119.769985,120.879993,93.579992,95.639997,111219600,29.182823
"17",92.669998,112.379997,87.710009,106.629993,118373100,32.536222
"18",97.509991,109.919998,91.220009,100.820011,81368400,30.763411
"19",100.160007,101.679989,92.079992,96.060001,77111700,30.032005
"20",98.750015,108.21999,94.379997,106.100006,77915400,33.170892
"21",107.720009,119.78001,107.720009,117.890007,49220400,36.856894
"22",117.089996,126.48,115.049995,124.029991,55781700,38.860096
"23",124.070011,127.599987,118.629993,125.51001,44871900,39.323804
"24",125.51001,127.830002,105.110012,106.790005,68074200,33.4586
"25",103.520016,111.050011,100.910007,110.990009,75950700,34.86544
"26",111.080006,115.929989,105.980015,114.950008,56390400,36.1094
"27",115.529995,120.050011,110.279995,117.399994,41565000,36.879017
"28",117.080006,128.199989,116.609997,125.069996,34004400,39.373884
"29",125.300011,133.910007,124.779991,127.799995,38668500,40.233328
"30",127.850006,133.659988,126.099987,132.020016,39759900,41.561853
"31",132.959999,132.959999,124.01001,125.700005,39876300,40.584398
"32",128.600006,138.450005,128.009995,136.880013,54036900,44.194055
"33",140.040001,146.129997,136.070011,141.249985,39798900,45.604975
"34",140.079987,151.040005,138.959999,150.810001,36496500,48.786885
"35",150.650013,158.25,144.099987,154.659988,34281300,50.032352
"36",154.709999,169.620003,152.03001,154.809986,43227600,50.080876
"37",155.000015,157.319996,132.650013,136.02,85076100,44.090233
"38",136.899994,148.940014,47.450001,48.880001,72542300,47.532656
"39",49.349998,50.389999,45.060001,46.16,41497700,44.88763
"40",46.68,54.360001,45.950001,50.549999,54039300,49.25427
"41",50.580002,55.18,49.490002,53.860001,53999700,52.479428
"42",54.029999,55.77,50.75,55.389999,39544800,53.970209
"43",55.43,57.849998,53.57,57.73,45517900,56.368526
"44",57.360001,58.869999,50.650002,52.009998,48795500,50.783422
"45",51.939999,54.68,49.919998,53.25,52517400,51.99418
"46",52.470001,54.950001,50.880001,54.18,71249400,53.020776
"47",54.439999,55.169998,51,52.349998,43025800,51.229928
"48",52.380001,56.169998,51.439999,55.209999,40957000,54.028737
"49",55.419998,58.419998,54.93,57.84,32446500,56.720903
"50",57.639999,58.279999,54.139999,54.150002,33050800,53.102299
"51",53.52,56.869999,52.650002,56.52,30276500,55.426443
"52",56.689999,57.25,54.040001,54.610001,33368100,53.671682
"53",54.5,55.779999,49.119999,55.610001,58863200,54.6545
"54",55.59,57.450001,55.110001,56.860001,21015600,55.883022
"55",56.830002,59.43,52.27,55.369999,37648100,55.044899
"56",55.849998,55.91,50.490002,51.529999,44821600,51.227445
"57",51.16,54.720001,51.009998,53.830002,34025900,53.513944
"58",53.830002,54.849998,50.889999,51.32,46717700,51.166987
"59",51.279999,52.759998,50.91,51.560001,36588300,51.406273
"60",51.950001,52.650002,50.790001,50.91,29485400,50.758209
"61",51.110001,51.259998,49.400002,50.27,14642000,50.120118
