"","stock_data$BLL.Open","stock_data$BLL.High","stock_data$BLL.Low","stock_data$BLL.Close","stock_data$BLL.Volume","stock_data$BLL.Adjusted"
"1",50.880001,56.099998,50.830002,52.830002,30746400,25.294344
"2",52.650002,58.98,51.360001,58.240002,43837400,27.884584
"3",58.970001,59.599998,55.139999,56.080002,31191200,26.898019
"4",56.740002,60.490002,56.599998,58.849998,25737000,28.22661
"5",59.18,64.650002,58.73,64.360001,34107800,30.869409
"6",64.410004,66.260002,62.919998,65.879997,25288400,31.647239
"7",66.769997,69.699997,66.75,68.050003,26357800,32.68966
"8",68.75,73.669998,68.5,71.129997,34945600,34.169218
"9",71.449997,74.419998,35.5,36.099998,23397300,34.716976
"10",36.169998,36.439999,33.41,35.849998,27434500,34.476553
"11",36.080002,38.23,35.599998,37.310001,24891700,35.880622
"12",37.540001,39.549999,37.279999,39.509998,28171400,38.065009
"13",39.5,39.5,37.040001,38.459999,31690200,37.053411
"14",38.580002,40.560001,37.900002,38.799999,31062100,37.380976
"15",39.189999,39.200001,32.700001,35.919998,54169200,34.674389
"16",35.93,36.369999,30.67,31.02,37469900,29.94431
"17",30.790001,36.110001,29.690001,34.57,33770200,33.371205
"18",33.700001,35.639999,32.810001,35.110001,31891200,33.962464
"19",35.009998,36.060001,34,35.709999,20949500,34.542852
"20",36.240002,40.049999,35.66,39.259998,22973800,37.976823
"21",39.450001,40.650002,39.299999,40.080002,19100700,38.867438
"22",40.119999,42.990002,39.080002,42.880001,25820600,41.582727
"23",42.540001,43.700001,41.509998,41.759998,29949900,40.496608
"24",41.75,42.220001,38.389999,39.970001,25021400,38.857043
"25",39.380001,42.919998,38.98,41.049999,21518800,39.906968
"26",41.09,42.509998,39.689999,41.560001,18218000,40.40277
"27",41.540001,43.400002,39.330002,42.169998,16386600,41.093902
"28",42.169998,43.790001,41.52,42.310001,14480900,41.230332
"29",42.509998,43.450001,41.110001,42.830002,13997700,41.737063
"30",42.77,45.07,42.619999,44.689999,21699300,43.647156
"31",44.919998,45.470001,43.32,44.75,19453200,43.705757
"32",45.419998,46.990002,44.240002,44.52,17128300,43.481124
"33",44.720001,46.07,43.259998,44.41,18444200,43.502779
"34",44.34,47.630001,43.68,47.580002,16684800,46.608023
"35",47.48,48.5,43.720001,44.119999,22388500,43.218702
"36",44.130001,46.599998,43.150002,43.16,29257800,42.403769
"37",43.130001,43.889999,41.52,41.540001,21138900,40.812155
"38",41.700001,45.869999,41.610001,44.790001,18959000,44.00521
"39",45.040001,46.490002,43.950001,44.419998,21285100,43.769497
"40",44.950001,46.799999,43.939999,44.880001,15619900,44.222764
"41",44.880001,49.189999,44.290001,48.889999,23951900,48.174038
"42",48.93,50.709999,48.59,49.98,16367500,49.375764
"43",50.009998,51.970001,49.259998,51.66,14964800,51.035454
"44",51.25,52.740002,47.75,51.189999,19254100,50.571135
"45",51.299999,55.84,50.220001,55.560001,23178100,55.01847
"46",54.939999,56.330002,52.900002,54.810001,20198000,54.27578
"47",54.970001,56.919998,53.610001,56.189999,18863800,55.642327
"48",56.919998,61.240002,55.52,60.360001,25807500,59.901253
"49",60.619999,63.130001,59.830002,62.68,17126800,62.203621
"50",62.860001,64.910004,60.73,61.259998,17359800,60.794411
"51",61.23,64.389999,60.919998,64.099998,15430000,63.742935
"52",64.75,66.529999,62.849998,63.27,17982900,62.917561
"53",63.07,68.220001,61.759998,64.43,30730200,64.071099
"54",64.230003,67.599998,63.130001,67.07,19421200,66.828807
"55",67.050003,70.5,64.540001,68.169998,20153900,67.92485
"56",68.599998,69.019997,62.709999,63.330002,15617300,63.102259
"57",63.860001,77.199997,62.84,71.709999,38241800,71.581079
"58",71.889999,72.68,68.580002,70.639999,22315400,70.513003
"59",70.800003,74.919998,69.809998,73.410004,21975500,73.278028
"60",73.589996,75.239998,70.809998,70.989998,24518200,70.989998
"61",71.160004,72.019997,69.769997,71.779999,8857100,71.779999
