"","stock_data$TMK.Open","stock_data$TMK.High","stock_data$TMK.Low","stock_data$TMK.Close","stock_data$TMK.Volume","stock_data$TMK.Adjusted"
"1",51.149992,54.18,49.439991,49.510012,31209700,20.871906
"2",49.579986,54.979989,47.61,53.070007,44831900,22.372691
"3",54.200003,54.749993,47.299996,49.349994,42770700,20.804447
"4",50.109999,55.820001,49.900005,53.140007,35196500,22.468737
"5",53.520009,57.910004,52.420003,57.280007,26731500,24.219218
"6",57.499987,59.870004,56.139999,57.469993,27563700,24.299548
"7",58.560009,62.849994,58.459994,59.739996,26073300,25.259354
"8",60.39,63.749993,60.119998,62.300004,26836900,26.41142
"9",62.669994,65.819993,62.110013,65.25,24849700,27.66204
"10",65.499999,66.499987,62.009999,66.48001,33896400,28.252125
"11",66.700011,68.060002,64.419996,66.919995,28432500,28.439107
"12",67.180006,67.749999,65.040007,66.300005,33593300,28.24665
"13",66.070014,66.129996,61.390014,64.140007,44206300,27.326398
"14",64.199995,64.710001,40.14,40.390005,25961500,25.811816
"15",40.870005,40.870005,32.770005,38.209994,58405100,24.418648
"16",38.13,38.230004,33.12,34.86,39304900,22.277786
"17",34.699994,42.199994,32.950004,40.930006,49128600,26.247759
"18",39.400005,43.039996,39.079994,42.589994,47575900,27.312283
"19",42.400005,44.01,41.560006,43.390005,38909400,27.825317
"20",44.230004,46.090004,42.689999,45.670006,33623500,29.368017
"21",46.099995,49.390005,45.75,48.439997,29778600,31.149255
"22",48.490007,51,48.049994,49.849995,25149200,32.055952
"23",49.780003,50.539993,47.029996,48.709997,27299000,31.416734
"24",48.730007,49.720007,45.160006,46.660006,30055600,30.09454
"25",45.889996,50.779993,45.089999,50.550001,26000400,32.60349
"26",50.850002,52.000008,48.229998,49.750008,21200700,32.182654
"27",49.840004,51.799994,49.350002,51.179998,23527100,33.107697
"28",51.179998,53.149996,50.710007,51.349995,15324500,33.217666
"29",51.439997,52.360004,49.620003,50.590004,17633600,32.822518
"30",50.699999,52.069994,49.099995,51.99,23211400,33.730828
"31",51.959999,52.98,50.52,51.670006,18847000,33.523217
"32",52.399996,56.110004,51.629997,55.709999,19194300,36.249576
"33",56.260008,56.879997,54.499992,56.189999,16548900,36.561904
"34",55.810003,59.860004,55.379997,59.800003,14163300,38.910874
"35",59.830004,62.280001,57.689999,62.070002,17597700,40.503413
"36",61.240007,65.740007,60.850004,64.510008,16669700,42.095625
"37",64.409998,65.879997,62.509993,65.140005,14465900,42.506726
"38",65.480009,71.740007,65.449997,71.080004,13546400,46.502922
"39",71.749992,73.089993,68.689997,68.890005,11183100,45.070152
"40",69.679996,73.139997,68.740007,72.349995,10583700,47.333793
"41",71.629995,75.790003,70.26,72.859995,15154300,47.780075
"42",72.820004,76.879995,72.490007,76.000008,12753000,49.83923
"43",76.050001,79.420006,74.610003,78.149998,13324000,51.360686
"44",78.179998,78.940006,73.590002,75.149998,15678200,49.389067
"45",75.100004,78.090002,71.740007,77.509993,14760500,50.940071
"46",76.629988,80.429998,76.449989,78.699989,12787800,51.722144
"47",78.620012,80.179996,75.940006,79.699997,14616800,52.506121
"48",79.609995,81.980009,78.919996,80.929996,12218900,53.441972
"49",81.160006,82.879995,80.749992,81.919996,10114000,54.095717
"50",82.279993,82.870005,52.720001,52.740002,12835600,52.240143
"51",52.610001,55.310001,52.049999,54.549999,10574600,54.032986
"52",54.59,54.919998,52.279999,52.369999,11392200,51.873647
"53",52.27,53.139999,49.709999,52.959999,20183100,52.585578
"54",52.91,54.23,52.580002,53.75,12267500,53.369994
"55",53.540001,55.880001,51.279999,54.169998,16061700,53.911418
"56",54.509998,54.599998,49.98,50.07,12958000,49.830991
"57",50.049999,54.360001,49.77,53.25,13956300,52.995811
"58",53.25,56.189999,53.119999,54.919998,16054800,54.791792
"59",54.849998,56.880001,54.509998,56.110001,12543300,55.979017
"60",56.43,58.16,55.889999,57.07,12791300,56.936775
"61",57.34,58.400002,56.779999,58,5148500,57.864604
