"","stock_data$AFL.Open","stock_data$AFL.High","stock_data$AFL.Low","stock_data$AFL.Close","stock_data$AFL.Volume","stock_data$AFL.Adjusted"
"1",41.91,46.200001,41.66,42.669998,71444800,37.526022
"2",43.150002,51.84,41.549999,49.189999,106669900,43.260019
"3",50.060001,51.599998,44.349998,47.25,79362600,41.798943
"4",48.040001,53.880001,48,51.709999,64155100,45.744409
"5",52.43,56.98,50.919998,55.889999,61168900,49.442178
"6",56.279999,58.310001,50.889999,51.5,65880100,45.810111
"7",52.779999,57.490002,52.23,56.43,55774800,50.195428
"8",56.98,58.84,54.799999,57.580002,65755300,51.218374
"9",57.889999,59.490002,56,58.860001,61399800,52.635547
"10",59.049999,59.540001,48,52.779999,120716300,47.198506
"11",53.32,57.389999,51.25,56.189999,64972800,50.247898
"12",56.540001,56.650002,47.5,47.790001,95050200,42.974864
"13",47.84,47.84,44.150002,46.68,93504000,41.976702
"14",46.779999,47.5,44.060001,46.060001,73498000,41.419172
"15",46.799999,46.889999,34.34,37.720001,132008700,34.194129
"16",37.810001,37.990002,31.25,34.950001,111493100,31.683054
"17",34.5,47.98,32.740002,45.09,112351900,40.875218
"18",42.98,46.540001,38.93,43.439999,79986200,39.671215
"19",43.349998,45.560001,39.57,43.259998,73854500,39.506831
"20",44.48,49.59,42.299999,48.23,85206700,44.045643
"21",48.189999,50.330002,46.150002,47.25,70673500,43.447329
"22",47.369999,48.220001,44.369999,45.990002,70596700,42.288736
"23",45.900002,46.580002,40.52,45.040001,80809000,41.415191
"24",44.970001,46.16,38.84,40.080002,83040900,37.137008
"25",39.18,42.810001,38.130001,42.59,66694600,39.462703
"26",42.880001,44.27,40.970001,43.779999,57654900,40.565322
"27",44.130001,46.919998,42.389999,46.18,60767300,43.099231
"28",46.259998,50.240002,45.799999,47.880001,49533600,44.685821
"29",48.18,50.459999,47.25,49.779999,49909300,46.459066
"30",49.959999,53.139999,49.080002,52.990002,61797300,49.805526
"31",53.18,54.93,51.860001,53.119999,50425900,49.927711
"32",54.389999,54.439999,51.049999,53.060001,68858800,49.871319
"33",53.549999,54.07,48.169998,49.950001,86192900,47.282538
"34",50.09,52.490002,49.57,52.02,64854200,49.241994
"35",52.060001,54.709999,48.540001,54.439999,77890100,51.532758
"36",54.290001,56.959999,53.509998,55.689999,62967100,53.052142
"37",55.84,58.75,54.77,58.119999,56680100,55.367041
"38",58.529999,62.549999,56.080002,61.68,48900600,58.758416
"39",62.389999,63.630001,57.360001,57.790001,39965100,55.3728
"40",58.52,63,57.619999,61.990002,37771600,59.397126
"41",62.610001,67,61.959999,64.980003,47230300,62.262064
"42",65.169998,67.519997,64.220001,66.370003,37104800,63.944536
"43",66.349998,67.620003,65.129997,66.800003,39537000,64.358822
"44",66.629997,66.690002,61.34,62.779999,44886700,60.485728
"45",62.860001,64.480003,60.450001,64.080002,37429600,62.106423
"46",63.369999,66.010002,62.099998,63.040001,39042400,61.098453
"47",63.470001,64.470001,60.599998,62.720001,40983800,60.788308
"48",62.689999,63.91,60.869999,61.23,36018800,59.703623
"49",61.5,63.52,61.200001,62.25,34659000,60.698197
"50",62.259998,64.199997,59.639999,59.740002,35258300,58.250769
"51",59.27,61.639999,58.5,61.240002,40833000,60.083275
"52",61.619999,61.759998,57.700001,58.25,49588800,57.14975
"53",58.009998,61.02,54.990002,59.73,60518100,58.601795
"54",59.860001,60.299999,58.43,59.73,39198600,58.989687
"55",59.580002,62.459999,57.049999,61.09,45332100,60.332832
"56",61.5,61.610001,56.91,57.080002,41312800,56.372535
"57",56.900002,62.740002,56.41,62.25,40131300,61.868698
"58",62.189999,64.620003,61.049999,64.010002,47055600,63.61792
"59",63.869999,65.099998,62.139999,63.040001,34089200,62.65386
"60",63.419998,65.059998,61.630001,62.220001,45458900,62.220001
"61",62.5,62.849998,61.32,62.52,14539100,62.52
