"","stock_data$TIF.Open","stock_data$TIF.High","stock_data$TIF.Low","stock_data$TIF.Close","stock_data$TIF.Volume","stock_data$TIF.Adjusted"
"1",43.139999,45.360001,37.73,37.91,40269700,34.716187
"2",37.709999,42.709999,35.810001,42.07,60068600,38.525719
"3",42.75,44.57,39.43,39.630001,71783400,36.291283
"4",40.07,47.200001,40.060001,46.990002,45288400,43.277848
"5",47.720001,53,45.919998,53,37555700,48.813063
"6",53.119999,62.669998,52.959999,62.099998,52339000,57.194173
"7",62.950001,65.760002,62.110001,62.27,31236300,57.577931
"8",62.279999,62.810001,57.200001,58.130001,34144000,53.749882
"9",58.790001,65.589996,57.959999,61.549999,28968600,56.912182
"10",61.77,65.190002,54.580002,61.439999,57042300,57.063998
"11",61.75,69.720001,61.119999,69.440002,32490600,64.494209
"12",69.709999,77.019997,66.480003,75.660004,39189500,70.271198
"13",73.809998,79,70.959999,78.519997,38975200,73.218198
"14",78.800003,84.489998,77.919998,79.589996,32310500,74.21595
"15",80.720001,80.809998,57.209999,71.959999,86064900,67.101143
"16",71.949997,77.839996,60.200001,60.82,52973400,56.933153
"17",59.799999,80.989998,56.209999,79.730003,52796400,74.634667
"18",76.269997,79,63.98,67.040001,56584100,62.75565
"19",66.260002,69.889999,62.220001,66.260002,45026400,62.308098
"20",67.57,67.949997,58.610001,63.799999,63220800,59.994816
"21",64.199997,66.959999,63.290001,65.010002,30749400,61.132651
"22",65.029999,74.199997,64.75,69.129997,58566200,65.281492
"23",69,70.470001,65.529999,68.459999,36719700,64.648793
"24",68.440002,69.410004,54.919998,55.389999,58939400,52.306407
"25",54.290001,57.290001,49.720001,52.950001,57097100,50.302614
"26",53.490002,58.110001,50.52,54.93,44482800,52.183618
"27",55.25,63.220001,52.759998,61.950001,52480000,58.852633
"28",61.73,65.919998,59.009998,61.880001,42405300,59.075631
"29",62.349998,65.019997,61.07,63.220001,26464200,60.354903
"30",63.16,66.779999,57.869999,58.98,48197500,56.307056
"31",58.959999,60.34,55.830002,57.34,36861700,55.04077
"32",58.110001,66,57.110001,65.75,65405000,63.113544
"33",66.089996,67.5,61.419998,67.160004,35919600,64.467009
"34",66.940002,71.080002,66.769997,69.540001,43481800,67.060696
"35",69.690002,74.199997,68.910004,73.68,27989800,71.053092
"36",73.57,81.25,73.339996,77.779999,26681800,75.006913
"37",77.739998,79.559998,70.699997,72.839996,24175700,70.5597
"38",73.290001,80.32,72.059998,79.510002,21289800,77.020898
"39",80.150002,83.330002,76.650002,77.110001,28889500,74.69603
"40",77.75,81.080002,76.150002,76.620003,17830200,74.538717
"41",76.690002,80.459999,73.629997,79.169998,20308200,77.019445
"42",79.230003,89.720001,78.150002,89.139999,22061200,86.718623
"43",89.139999,93.019997,87.629997,92.779999,18279500,90.6008
"44",92.199997,93.639999,81.639999,83.190002,25982500,81.236052
"45",82.980003,93.970001,80.379997,93.25,20191900,91.059762
"46",92.160004,94.879997,84.470001,86.150002,32235000,84.43753
"47",86.510002,89.120003,84.120003,87.489998,22715000,85.75089
"48",87.449997,99.68,85.75,99.410004,25824400,97.433952
"49",99.650002,100.949997,98.400002,100.25,15743900,98.632773
"50",100.419998,103.379997,97.470001,97.610001,16333300,96.035362
"51",97.43,105.660004,95.379997,100.940002,21543600,99.311645
"52",101.330002,103.580002,95.650002,96.309998,20625600,95.116945
"53",96.209999,96.970001,85.690002,96.120003,27303400,94.929303
"54",96.279999,110.599998,94,107.919998,22667300,106.583125
"55",107.279999,109,101.18,106.860001,22834500,105.922578
"56",106.629997,107.879997,85.150002,86.639999,39895100,85.879956
"57",86.620003,90.650002,85.599998,88.220001,21324700,87.446097
"58",88.449997,90.830002,82.639999,88.010002,53481300,87.629786
"59",87.599998,90.519997,83.629997,87.480003,24110000,87.102077
"60",87.660004,96.330002,84.830002,93.730003,32267100,93.325076
"61",94,94.559998,91.449997,93.110001,7588700,92.707752
