"","stock_data$GD.Open","stock_data$GD.High","stock_data$GD.Low","stock_data$GD.Close","stock_data$GD.Volume","stock_data$GD.Adjusted"
"1",63.299999,68.080002,58.470001,58.560001,37868100,51.477017
"2",58.610001,63.080002,56.93,61.25,47289900,53.841653
"3",62.060001,64.440002,55.459999,55.869999,47571100,49.112377
"4",56.700001,64.599998,56.23,62.810001,43116400,55.212968
"5",63.330002,68.129997,61.509998,68.120003,44404300,60.279977
"6",68.330002,69.970001,64.830002,66.089996,38268900,58.483607
"7",67.029999,71.440002,66.959999,70.959999,39212900,62.793115
"8",70.260002,76.5,69.449997,75.400002,46857900,67.117753
"9",75.489998,78.269997,74.889999,76.120003,29773600,67.758666
"10",76.349998,78.120003,73.220001,76.559998,44407200,68.15033
"11",76.830002,78,70.470001,72.82,48764900,65.232129
"12",73.150002,75.290001,69.830002,74.220001,46198800,66.48625
"13",73.830002,74.980003,69.199997,74.519997,45079100,67.183196
"14",74.440002,75.93,66.559998,68.139999,40540400,61.431336
"15",68.449997,68.449997,57.389999,64.080002,73604100,57.771062
"16",64.080002,64.660004,53.950001,56.889999,54213300,51.288945
"17",56.849998,66.419998,54.720001,64.190002,45927900,58.35044
"18",62.790001,66.379997,60.599998,66.059998,45521600,60.050316
"19",66.07,67.360001,62.310001,66.410004,30098900,60.368481
"20",67.970001,72.889999,66.760002,69.160004,43474400,63.284591
"21",69.82,73.669998,69.099998,73.230003,31497500,67.008829
"22",72.760002,74.150002,70.690002,73.379997,29298700,67.14608
"23",73.389999,74.540001,66.440002,67.5,34687200,62.222338
"24",67.57,68.68,62.77,64.010002,39358100,59.005215
"25",63.139999,65.959999,61.540001,65.959999,34365000,60.802746
"26",66.089996,66.589996,61.299999,63.439999,36939700,58.934773
"27",63.700001,66.580002,61.09,65.510002,33896900,60.857774
"28",65.550003,67.290001,64.290001,66.120003,32732400,61.424455
"29",66.029999,68.75,65.029999,68.080002,28772300,63.728197
"30",68.290001,69.949997,61.700001,66.5,38889700,62.249192
"31",66.779999,70.589996,65.290001,69.269997,31884800,65.332116
"32",70.669998,72.010002,66.129997,66.300003,54965500,62.530961
"33",66.459999,69.040001,64.470001,67.970001,57675900,64.106023
"34",67.540001,70.800003,66.470001,70.510002,38094900,66.501629
"35",70.139999,74.089996,65.370003,73.959999,59580400,70.323521
"36",73.68,78.760002,73.669998,77.099998,38231400,73.309133
"37",77.230003,79.480003,75.629997,78.330002,38048800,74.478659
"38",78.059998,86.599998,77.400002,85.339996,45026700,81.723218
"39",85.800003,87.849998,82.230003,83.25,29017100,79.721798
"40",84.32,89.940002,83.760002,87.519997,25018100,83.810828
"41",87.449997,88.980003,83.610001,86.629997,33912300,83.508915
"42",86.849998,92.75,86.360001,91.660004,26425500,88.357702
"43",91.400002,95.760002,88.849998,95.550003,24337700,92.107553
"44",94.849998,102.18,93.849998,101.309998,48352900,98.233298
"45",101,110.25,97.580002,109.540001,52924600,106.213363
"46",108.059998,113.57,105.5,108.919998,49991200,105.612189
"47",109.160004,112.099998,104.220001,109.449997,38578800,106.748241
"48",109.510002,118.220001,109.18,118.120003,41201300,115.204229
"49",118.110001,121.68,116.160004,116.550003,30766500,113.672984
"50",115.169998,122.169998,114.040001,116.769997,31320900,114.49662
"51",116.419998,124.889999,114.099998,123.25,27140800,120.850465
"52",123.349998,130.169998,122.540001,127.089996,30466900,124.615701
"53",126.169998,140.779999,114.730003,139.759995,51105500,137.74665
"54",139.759995,146.130005,138.720001,145.360001,29582500,143.265984
"55",145,145.649994,135.050003,137.619995,42126200,135.637479
"56",138.470001,142.410004,132.630005,133.210007,39160700,131.88445
"57",133.889999,142.550003,132.5,138.779999,23680000,137.399016
"58",138.779999,140.619995,131.330002,135.729996,37454600,134.379363
"59",135.070007,140.190002,130.910004,137.320007,26967900,136.651996
"60",137.820007,141.960007,137.059998,140.160004,25672600,139.478177
"61",140.350006,141.899994,137.580002,141.539993,9302300,140.851453
