"","stock_data$LEG.Open","stock_data$LEG.High","stock_data$LEG.Low","stock_data$LEG.Close","stock_data$LEG.Volume","stock_data$LEG.Adjusted"
"1",22.41,23.32,19.99,20.059999,26216900,16.282722
"2",19.93,22.18,19.07,20.84,31002900,16.915849
"3",21.24,21.5,18.83,19.17,26170500,15.560308
"4",19.450001,23.33,19.450001,22.76,33015500,18.710491
"5",23.02,24.33,20.139999,20.379999,37888100,16.753945
"6",20.469999,20.74,19.709999,20.700001,31228900,17.017011
"7",20.940001,23.41,20.92,22.76,34357200,18.941063
"8",22.99,23.469999,22.25,22.530001,21013600,18.749656
"9",22.75,23.690001,22.16,23.059999,25757900,19.190725
"10",23.209999,24.68,22.309999,24.5,36123100,20.627008
"11",24.610001,26.950001,22.559999,26.290001,28771700,22.134044
"12",26.389999,26.6,25.059999,25.83,34349000,21.74676
"13",25.809999,25.9,22.799999,24.379999,35959100,20.76683
"14",24.450001,24.99,21.66,21.700001,28223300,18.484013
"15",21.92,22.26,17.799999,22.190001,61306200,18.901394
"16",22.15,22.459999,19.33,19.790001,39986100,17.088679
"17",19.700001,24.84,18.370001,21.9,43157700,18.910664
"18",21.360001,22.809999,20.459999,22.379999,28035200,19.325144
"19",22.41,23.85,21.33,23.040001,36316200,20.140025
"20",23.5,23.73,21.290001,21.459999,36590300,18.758893
"21",21.719999,23.469999,21.26,22.629999,39789800,19.781629
"22",22.74,23.370001,21.9,23.01,42664600,20.363772
"23",22.92,23.98,21.709999,21.77,40709500,19.266376
"24",21.75,22.299999,19.75,20.790001,40076100,18.39908
"25",20.389999,21.129999,19.26,21.129999,49613200,18.954152
"26",21.190001,23.309999,20.5,23.18,46289000,20.793056
"27",23.27,23.99,22.73,23.74,33426900,21.29539
"28",23.799999,25.24,23.57,25.049999,28202500,22.73877
"29",25.049999,26.950001,24.35,26.530001,29775500,24.082219
"30",26.690001,27.85,25.93,27.85,26356900,25.28043
"31",27.75,27.889999,26.120001,27.219999,28595700,24.975129
"32",27.620001,29.92,27.25,29.440001,24709500,27.012043
"33",29.68,30.879999,28.950001,30.58,28623900,28.058025
"34",30.459999,33.799999,30.219999,33.779999,20640600,31.272996
"35",33.779999,34.07,31.57,32.240002,25379000,29.847291
"36",32.16,34.279999,31.57,32,22146500,29.625101
"37",32.060001,32.939999,29.59,31.09,27140900,29.046948
"38",31.24,32.52,29.950001,31.41,19783400,29.345919
"39",31.77,32.029999,28.83,28.92,19096300,27.019548
"40",29.290001,31.32,28.59,30.15,24158100,28.450783
"41",30.110001,30.5,28,29.74,25730600,28.06389
"42",29.77,30.549999,28.93,30.209999,17186500,28.507401
"43",30.16,31.33,28.790001,30.940001,22287800,29.494791
"44",30.870001,30.940001,29.309999,30.02,24446600,28.617764
"45",30.02,32.25,28.9,32.049999,17036700,30.552941
"46",31.67,32.75,31.01,32.639999,17857200,31.409201
"47",32.599998,33.849998,31.540001,32.860001,19209600,31.620906
"48",32.84,34.060001,32.16,33.919998,18673900,32.640933
"49",33.91,34.799999,33.139999,34.279999,17356200,33.280579
"50",34.299999,34.490002,32.529999,32.799999,20624300,31.843728
"51",32.599998,35.209999,32.57,35.09,14287600,34.066965
"52",35.060001,35.939999,34.82,34.919998,17821100,34.200743
"53",34.810001,39.709999,32.639999,39.380001,29391700,38.568883
"54",39.349998,42.470001,39.299999,42.09,19233100,41.223063
"55",41.889999,43.150002,39.380001,42.610001,24111100,42.046739
"56",42.639999,45.790001,41.360001,42.630001,30924100,42.066475
"57",42.75,45.700001,42.040001,45.049999,18340700,44.454483
"58",45.5,46.950001,43.939999,46.09,24948500,45.800008
"59",46,46.139999,42.34,42.470001,16022600,42.202786
"60",42.529999,47.919998,42.529999,47.279999,20463600,46.982519
"61",47.41,49.389999,46.82,49.27,6757500,48.96
