"","stock_data$NTAP.Open","stock_data$NTAP.High","stock_data$NTAP.Low","stock_data$NTAP.Close","stock_data$NTAP.Volume","stock_data$NTAP.Adjusted"
"1",38.080002,41.869999,37.259998,37.310001,109209600,35.897661
"2",37.599998,44.25,36.66,42.299999,126772200,40.698767
"3",42.82,44.889999,37.040001,40.380001,184244300,38.851449
"4",41.009998,51.400002,40.740002,49.790001,184428100,47.905241
"5",49.580002,53.66,46.869999,53.25,135738800,51.234264
"6",53.630001,57.959999,48.599998,50.93,154530600,49.002086
"7",51.509998,56.549999,51.490002,54.959999,94361400,52.879533
"8",55.52,59.790001,53.139999,54.73,98373000,52.658239
"9",55.209999,61.02,49.82,51.66,138049300,49.704452
"10",51.93,52.830002,44.5,48.150002,161580900,46.327322
"11",48.389999,52.880001,45.400002,52.110001,130610300,50.137419
"12",52.52,56.490002,51.02,54.77,109083600,52.696726
"13",54.380001,55.080002,48.310001,52.779999,126641200,50.782054
"14",53.509998,54.57,46.900002,47.52,113431400,45.721169
"15",48.18,48.240002,33.32,37.619999,277083500,36.195924
"16",37.790001,38.689999,33.810001,33.93,156734300,32.645607
"17",34.150002,42.48,33,40.959999,142666700,39.409491
"18",39.75,44.490002,33.66,36.830002,187684100,35.435832
"19",36.720001,38.970001,34.470001,36.27,102476400,34.897029
"20",37,38.299999,33.5,37.740002,148261200,36.311384
"21",38.02,44.139999,37.700001,43,173638300,41.37227
"22",43.130001,46.52,40.529999,44.77,129666000,43.075268
"23",44.810001,46.799999,38.119999,38.830002,115491500,37.360123
"24",38.790001,41.049999,27.790001,29.76,248692300,28.633459
"25",29.09,32.400002,29.02,31.82,179457900,30.615479
"26",31.719999,33.200001,28.120001,32.669998,122164000,31.433302
"27",32.84,35.130001,31.219999,34.52,160034400,33.213274
"28",34.369999,36.41,32.759998,32.880001,110160500,31.635355
"29",33.759998,34.040001,26.83,26.91,153390700,25.891343
"30",27.24,32.259998,26.26,31.709999,147808000,30.509643
"31",31.82,34.810001,31.709999,33.549999,96771000,32.279991
"32",34.009998,37.02,31.74,36,121128400,34.637249
"33",36.439999,36.669998,33.509998,33.84,114203700,32.559014
"34",33.810001,34.950001,32.970001,34.16,100640100,32.866901
"35",34.07,36.16,32.75,34.889999,176331500,33.569267
"36",34.810001,39.150002,33.610001,37.529999,267649400,36.109331
"37",37.509998,39.509998,37.02,37.779999,118620900,36.349867
"38",37.740002,42.110001,37.720001,41.119999,106109900,39.71806
"39",41.220001,43.130001,40.200001,41.540001,123465400,40.123742
"40",41.619999,44.650002,41.619999,42.619999,99962600,41.166919
"41",42.669998,43.150002,38.68,38.810001,124732000,37.626382
"42",38.98,42.689999,38.34,41.25,84895300,39.991966
"43",40.5,41.950001,39,41.139999,67816700,39.88532
"44",41.009998,45.959999,39.599998,42.34,88491300,41.202657
"45",43.32,44.279999,39.650002,40.41,91256400,39.324501
"46",40.099998,41.029999,36.040001,36.900002,146227400,35.908788
"47",36.919998,38.299999,34.209999,35.610001,81950000,34.79723
"48",35.689999,37.169998,33.34,37.009998,102581000,36.165274
"49",36.189999,37.689999,35.330002,36.52,77802100,35.68646
"50",36.650002,39.299999,36.029999,38.84,75933600,38.122508
"51",38.759998,42.169998,38.18,42.16,70377500,41.381177
"52",42.099998,43.75,41.810001,42.959999,59791700,42.166398
"53",42.619999,42.860001,37.439999,42.799999,67105000,42.184018
"54",42.799999,43.669998,40.380001,42.549999,57064200,41.937616
"55",42.060001,43.580002,40.18,41.450001,53150600,40.853449
"56",41.68,41.790001,37.540001,37.799999,50442800,37.411505
"57",37.799999,39.900002,35.880001,38.650002,65590700,38.252771
"58",38.290001,38.93,34.98,35.459999,78401200,35.095554
"59",35.400002,37.07,34.939999,36.25,64100900,36.043514
"60",36.450001,36.98,30.85,33.400002,108154800,33.209749
"61",33.27,34,32.869999,33.540001,37366800,33.348951
