"","stock_data$ETR.Open","stock_data$ETR.High","stock_data$ETR.Low","stock_data$ETR.Close","stock_data$ETR.Volume","stock_data$ETR.Adjusted"
"1",73.099998,78.720001,71.43,71.620003,22282300,56.490516
"2",71.720001,80.029999,70.349998,77.510002,28696700,61.136272
"3",78.349998,80.199997,76.5,78.839996,29938300,62.840138
"4",79.279999,80.800003,75.879997,76.529999,35010600,60.998933
"5",76.699997,77.900002,72.669998,74.529999,32980400,59.404815
"6",75.370003,77.080002,71.120003,71.239998,34640900,57.416122
"7",71.959999,72.699997,68.650002,70.830002,34616000,57.085684
"8",71.730003,74.5,71.43,72.169998,24760100,58.165659
"9",72.550003,73.959999,70.57,71.199997,19826100,58.035615
"10",71.419998,74.260002,64.720001,67.209999,42703300,54.78334
"11",67.690002,70.400002,65.150002,69.720001,33906300,56.82926
"12",69.75,69.940002,66.43,68.150002,29976900,56.225684
"13",68.080002,70.050003,66.18,68.279999,33357400,56.332935
"14",68.400002,69.139999,66.199997,66.800003,36361400,55.111897
"15",67.239998,67.379997,57.599998,65.209999,47102500,54.560298
"16",65.400002,67.900002,61.619999,66.290001,32419800,55.463921
"17",66.059998,70.160004,62.66,69.169998,28056000,57.873574
"18",68.199997,70.379997,66.199997,70.360001,39514400,59.581605
"19",70.32,74,69.540001,73.050003,27049800,61.859528
"20",73.650002,73.660004,68.220001,69.379997,26950900,58.751728
"21",69.540001,69.980003,66.379997,66.629997,22223700,57.1124
"22",67.169998,68.839996,66.230003,67.199997,21456500,57.600979
"23",67.230003,68.129997,64.910004,65.559998,37594800,56.195242
"24",65.699997,66.540001,62.970001,64.529999,23971600,56.028249
"25",63.959999,68.199997,63.959999,67.889999,21523900,58.945574
"26",68.150002,74.5,67.529999,72.669998,19252400,63.095813
"27",72.800003,73.980003,67.739998,68.080002,29865000,59.797872
"28",68.169998,69.940002,67.07,69.300003,17767600,60.869457
"29",69.589996,72.980003,69.019997,72.580002,15056300,63.750434
"30",72.790001,72.849998,61.549999,63.540001,29895400,56.500835
"31",63.549999,65.599998,62.220001,63.75,18625600,56.68757
"32",64.519997,65.209999,62.380001,64.599998,20214100,57.443403
"33",64.809998,65.290001,61.09,62.259998,26558600,56.082982
"34",62.209999,65.389999,61.419998,63.240002,22937500,56.965756
"35",63.369999,71.809998,63.119999,71.230003,38094400,64.163044
"36",71.220001,72.099998,66.720001,68.879997,31453500,62.800193
"37",69.18,71.589996,66.25,69.68,23865300,63.529583
"38",69.940002,72.599998,67.339996,67.5,36972400,61.542004
"39",67.760002,70.050003,61.880001,63.23,35098100,58.366271
"40",63.48,65.830002,61.66,63.189999,23167600,58.329347
"41",63.389999,68.629997,63.029999,64.720001,28762000,59.741659
"42",64.919998,65.489998,61.599998,61.889999,24561200,57.868625
"43",62.060001,63.549999,60.220001,63.27,30862100,59.158959
"44",63.349998,63.490002,60.400002,63.029999,36653200,58.934552
"45",63.23,65.339996,61.669998,63.82,33476200,60.462271
"46",63.599998,67.019997,61.82,66.849998,29446700,63.332854
"47",66.809998,73.919998,66.410004,72.5,46307900,68.685595
"48",72.690002,75.690002,71.68,75.419998,39272600,72.258292
"49",75.559998,82.300003,75.419998,82.089996,33171700,78.648676
"50",81.879997,82.480003,72.809998,72.830002,40082000,69.776872
"51",72.879997,77.449997,70.699997,77.410004,32061000,75.023165
"52",77.330002,78.370003,75.290001,77.330002,25916400,74.94563
"53",77.330002,84.580002,76.510002,84.019997,38820400,81.429347
"54",84.300003,84.440002,80.040001,83.900002,35866000,82.137609
"55",83.209999,92.019997,82.18,87.480003,39882800,85.64241
"56",87.480003,90.330002,85.169998,87.510002,28820300,85.671779
"57",87.559998,89.519997,78.150002,79.510002,30743800,78.642697
"58",79.18,79.389999,73.879997,77.489998,30150700,76.644727
"59",77.309998,79.839996,76.25,77.18,21261600,76.338111
"60",77.199997,78.459999,73.5,76.470001,23786400,76.470001
"61",76.540001,77.160004,70.639999,70.709999,12060300,70.709999
