"","stock_data$LLY.Open","stock_data$LLY.High","stock_data$LLY.Low","stock_data$LLY.Close","stock_data$LLY.Volume","stock_data$LLY.Adjusted"
"1",33.349998,34.98,33.150002,33.5,118497400,27.153262
"2",33.43,36.200001,32.82,35.599998,177261200,28.855406
"3",35.84,37.919998,33.540001,33.59,192044200,27.584069
"4",34.110001,36.900002,33.830002,36.529999,109124800,29.998392
"5",36.68,38.080002,34.68,35.200001,141542000,28.906199
"6",35.259998,35.93,33.52,33.66,154540100,28.025462
"7",33.970001,35.400002,33.810001,35.040001,137645400,29.174457
"8",35.169998,35.610001,34.470001,34.77,166851100,28.949654
"9",34.830002,35.919998,33.959999,34.560001,165925300,29.176163
"10",34.5,35.419998,33.459999,35.169998,146245700,29.691133
"11",35.209999,37.459999,34.880001,37.009998,139523000,31.244494
"12",37.209999,39.400002,37.189999,38.48,187468000,32.901866
"13",38.299999,38.48,36.599998,37.529999,144853800,32.089579
"14",37.48,39.779999,37.150002,38.299999,181625600,32.747959
"15",38.91,38.91,33.75,37.509998,258036100,32.534701
"16",37.57,38.360001,35.439999,36.970001,175055500,32.066329
"17",37.02,38.98,35.689999,37.16,162008400,32.231126
"18",36.779999,39.040001,35.459999,37.849998,185012100,33.260184
"19",37.709999,41.919998,37.299999,41.560001,168685000,36.5203
"20",41.950001,42.029999,38.93,39.740002,174411200,34.920999
"21",39.82,40.110001,38.299999,39.240002,147097500,34.91687
"22",39.169998,40.450001,38.560001,40.27,108779000,35.833392
"23",40.299999,41.52,39.16,41.389999,148507500,36.829999
"24",41.32,41.82,40.34,40.950001,131024800,36.871216
"25",40.669998,42.91,39.93,42.91,112670100,38.635992
"26",43.060001,44.669998,41.59,44.029999,135507800,39.644434
"27",44.119999,45.450001,42.099998,44.91,192169600,40.896398
"28",44.970001,47.84,44.709999,47.41,116540900,43.172973
"29",47.490002,53.990002,47.459999,48.630001,220200100,44.283943
"30",48.889999,49.689999,44.880001,49.040001,163059700,45.114989
"31",49.209999,50.759998,47.610001,49.32,136541100,45.372578
"32",49.939999,54.869999,49.189999,53.689999,148193700,49.392816
"33",53.549999,54.990002,53.18,54.66,131206400,50.747379
"34",54.310001,56.939999,54.310001,56.790001,91334800,52.724912
"35",56.669998,58.400002,55.02,55.380001,95883200,51.415842
"36",55.099998,57.099998,53.150002,53.16,134228600,49.788232
"37",53.080002,53.419998,48.68,49.119999,106260900,46.004475
"38",49.349998,53.98,49.27,53.110001,100632200,49.741404
"39",53.43,56.5,51,51.400002,129821100,48.580277
"40",51.77,54.25,50.07,50.330002,86081900,47.568976
"41",50.41,51.139999,47.529999,49.82,154532000,47.086952
"42",49.91,51.619999,49.27,50.220001,149415500,47.934202
"43",50.299999,51.380001,48.880001,51,86488300,48.678698
"44",50.970001,55.790001,50.52,54.009998,135541200,51.551695
"45",54.110001,60.119999,52.290001,59.610001,114640900,57.412905
"46",58.950001,60.099998,56.810001,58.860001,96419000,56.690548
"47",59.130001,61.150002,57.349998,59.099998,111844100,56.9217
"48",59.18,60.490002,57.810001,59.860001,103920800,58.133078
"49",59.75,63.380001,58.5,62.169998,82058600,60.376433
"50",62.630001,65.699997,60.939999,61.060001,80409400,59.298459
"51",61.009998,63.59,60.139999,63.560001,64135700,62.223145
"52",63.599998,67.139999,63.48,64.849998,87297800,63.486009
"53",65.879997,67.43,60.580002,66.330002,107860700,64.934884
"54",66.050003,68.669998,66.029999,68.120003,69393400,67.172344
"55",67.970001,75.099998,67.599998,68.989998,112828400,68.030236
"56",69.769997,73.470001,68.449997,72,98840600,70.998364
"57",71.870003,72,69.379997,70.169998,76742800,69.688062
"58",70.169998,77.459999,68.309998,72.650002,102626900,72.151032
"59",72.919998,74.019997,70.199997,71.870003,87932800,71.376391
"60",72.260002,79.550003,71.25,78.900002,78599400,78.900002
"61",78.919998,83.489998,76.989998,83.18,48383300,83.18
