"","stock_data$GAS.Open","stock_data$GAS.High","stock_data$GAS.Low","stock_data$GAS.Close","stock_data$GAS.Volume","stock_data$GAS.Adjusted"
"1",36.07,38.400002,35.630001,35.82,5125700,28.856583
"2",35.75,40,35.290001,38,6814300,30.61279
"3",38.48,39.369999,35.779999,36.700001,6782400,29.902702
"4",37.220001,38.810001,37.060001,38.360001,5778000,31.255249
"5",38.459999,39.549999,38.240002,39.259998,6245900,31.988556
"6",39.369999,39.66,36.68,36.73,6535500,30.277541
"7",37.099998,37.970001,34.209999,35.849998,16245000,29.552132
"8",36.029999,36.919998,35.650002,36.700001,9931800,30.252812
"9",36.98,38.93,36.82,38.009998,10428000,31.703141
"10",38.209999,39.91,37.959999,39.84,9426500,33.229497
"11",39.950001,41.610001,38.580002,41.509998,6427400,34.622399
"12",41.669998,42.34,39.799999,41.110001,8364700,34.658438
"13",41.049999,41.09,38.75,40.709999,8344100,34.32121
"14",40.669998,42.400002,40.25,40.799999,6928400,34.397086
"15",41.220001,41.830002,34.080002,41.419998,16042500,35.320753
"16",41.5,42,38.869999,40.740002,10282100,34.740888
"17",40.5,43.689999,37.950001,41.939999,10142700,35.764181
"18",40.790001,42.07,38.709999,41.23,10177700,35.541633
"19",41.23,43,38.400002,42.259998,43685900,36.521105
"20",42.830002,42.880001,40.639999,41.509998,10232900,35.872955
"21",41.75,42,39.439999,39.869999,11075100,34.760317
"22",39.82,40.139999,38.419998,39.220001,12603000,34.193622
"23",39.18,39.75,37.75,39.43,9197100,34.376708
"24",39.290001,40.290001,36.59,37.48,15404700,33.077985
"25",37.119999,39.32,36.720001,38.75,11044800,34.198824
"26",38.75,40.990002,38.450001,40.5,9220000,35.743287
"27",40.380001,41.950001,39.049999,39.650002,8969000,35.393042
"28",39.779999,41.720001,39.720001,40.91,5847800,36.517763
"29",40.919998,41.709999,39.650002,40.830002,6219400,36.446354
"30",40.740002,41.040001,36.900002,38.98,8693600,35.218516
"31",39.099998,41.209999,38.509998,39.970001,10466100,36.112985
"32",40.380001,41.900002,40.049999,41.799999,8679600,37.766392
"33",42,42.369999,38.860001,39.959999,10657400,36.527535
"34",39.91,42,39.66,41.950001,10914000,38.3466
"35",41.900002,44.139999,41.209999,43.849998,9774100,40.083393
"36",43.77,44.849998,41.529999,42.330002,13629500,39.113576
"37",42.5,43.900002,41.470001,42.860001,8030500,39.603303
"38",43.080002,47,41.939999,45.790001,8198300,42.310669
"39",45.860001,46.5,43.790001,43.950001,15410200,41.028412
"40",44.299999,46.970001,42.860001,46.029999,11779100,42.970142
"41",46.040001,49.310001,44.560001,47.860001,12378400,44.678494
"42",47.939999,48.380001,46.400002,46.540001,12642200,43.879782
"43",46.060001,47.41,44.740002,47.23,15165600,44.53034
"44",47.110001,48.200001,45.169998,47.779999,10735600,45.048902
"45",47.619999,47.950001,45.299999,47.040001,15860800,44.829461
"46",46.830002,49.84,46.650002,48.959999,14979600,46.659233
"47",48.950001,54.07,48.290001,54,14926800,51.46239
"48",54.009998,54.16,51.82,53.380001,15679900,51.352278
"49",53.48,55.099998,51.900002,55.029999,12560800,52.939598
"50",55.060001,55.299999,51.549999,51.639999,10761200,49.678373
"51",51.509998,53.34,48.720001,53.310001,13401100,51.781082
"52",53.209999,54.27,50.709999,51.34,10922600,49.86758
"53",51.349998,55,50.5,53.91,16666000,52.363872
"54",53.91,55.59,51.02,52.310001,17806800,51.281468
"55",52.290001,56.669998,50.099998,54.509998,20839500,53.438209
"56",54.560001,57.75,52.84,56.380001,13782900,55.271443
"57",56.349998,57.540001,48.900002,49.110001,17193000,48.599169
"58",49,50.310001,46.5,49.650002,19137800,49.133553
"59",49.580002,51.880001,49.139999,50.27,14650300,49.747103
"60",50.439999,51.130001,48.32,50.369999,18607100,50.369999
"61",50.41,50.779999,47.369999,47.59,4396400,47.59
