"","stock_data$ADM.Open","stock_data$ADM.High","stock_data$ADM.Low","stock_data$ADM.Close","stock_data$ADM.Volume","stock_data$ADM.Adjusted"
"1",25.24,27.66,25.01,25.82,94245200,23.149522
"2",26.030001,28.209999,25.02,27.360001,103594900,24.530246
"3",27.639999,31.09,27.58,30.809999,140744600,27.762049
"4",31.25,33.540001,31.16,31.92,114512600,28.76224
"5",31.889999,34.029999,31.360001,33.32,96335200,30.023741
"6",33.43,33.880001,28.530001,28.99,120453300,26.252534
"7",29.360001,31.48,29,30.08,111095100,27.239607
"8",30.389999,34.580002,30.129999,32.669998,138954100,29.585037
"9",34.849998,38.02,34.43,37.18,154541200,33.816799
"10",37.5,37.709999,34.119999,36.009998,124033600,32.752633
"11",36.68,37.16,34.209999,37.02,91097200,33.671273
"12",37.279999,37.279999,30.719999,32.41,168860000,29.626367
"13",32.490002,32.52,28.98,30.15,153474200,27.560474
"14",30.43,32.41,29.530001,30.379999,118775300,27.770719
"15",30.91,30.950001,26,28.48,193198300,26.181983
"16",28.5,28.84,24.42,24.809999,131873200,22.808111
"17",24.620001,30.459999,23.690001,28.940001,102756800,26.604867
"18",27.549999,30.26,27.25,30.120001,96986700,27.853333
"19",30.17,30.549999,27.190001,28.6,83518700,26.44772
"20",29.190001,30.34,28.110001,28.629999,90489700,26.475461
"21",29.26,32.049999,28.799999,31.200001,108992500,29.016232
"22",31.41,32.360001,30.379999,31.66,86286300,29.444034
"23",31.67,32.490002,30.139999,30.83,75392000,28.672128
"24",31.34,33.98,30.98,31.879999,111485400,29.80646
"25",31.35,32.700001,28.549999,29.52,113354600,27.59996
"26",28.950001,29.33,25.959999,26.09,110282700,24.393054
"27",26.190001,27.059999,25.02,26.75,113562000,25.180065
"28",26.799999,27.799999,26.49,27.18,87347800,25.584828
"29",27.309999,29.23,26.52,26.84,99938100,25.264783
"30",26.98,27.34,24.379999,26.700001,122994200,25.308335
"31",26.780001,28.120001,26.370001,27.389999,92799900,25.96237
"32",28.139999,29.290001,27.9,28.530001,85583700,27.042952
"33",28.799999,33.099998,28.309999,31.860001,129395100,30.383231
"34",31.700001,33.77,31.389999,33.73,73053600,32.166552
"35",33.73,34.279999,31.5,33.939999,103307000,32.366817
"36",33.790001,35.040001,32.23,32.23,90802800,30.908857
"37",32.310001,34.220001,31.9,33.91,67829700,32.519993
"38",34.110001,36.849998,34.110001,36.470001,65760400,34.975057
"39",36.720001,38.810001,34.209999,35.209999,89604200,33.943005
"40",35.43,37.41,35.299999,36.84,62406700,35.514353
"41",36.799999,41.740002,36.009998,40.900002,95796300,39.428259
"42",41.029999,42.139999,39.869999,40.25,106020300,38.981679
"43",40.330002,43.990002,40.150002,43.400002,89316500,42.032421
"44",43.220001,43.580002,38.959999,39.48,104293000,38.235943
"45",39.279999,40.970001,37.919998,40.599998,98985800,39.553431
"46",40.139999,43.599998,39.529999,43.389999,81863200,42.271513
"47",43.419998,45.400002,41.720001,43.73,83809500,42.602749
"48",43.740002,44.98,42.900002,44.939999,51423300,44.018053
"49",44.889999,45.380001,43.41,44.110001,53767400,43.205083
"50",44.290001,48.84,44.150002,46.400002,72651000,45.448104
"51",46.330002,50.299999,46.119999,49.860001,55338500,49.073669
"52",49.98,52.360001,49.509998,51.099998,51005300,50.294111
"53",51.169998,51.32,41.630001,47,108094800,46.258773
"54",47.240002,53.540001,47.049999,52.68,54162600,52.089654
"55",52.66,53.91,49.189999,52,83997500,51.417274
"56",52.200001,52.599998,46.560001,46.630001,80297600,46.107453
"57",46.790001,48.900002,45.869999,47.880001,79572900,47.62767
"58",47.880001,47.889999,45.150002,47.400002,81092300,47.1502
"59",47.450001,49.43,47.23,48.880001,68229300,48.6224
"60",48.91,53.259998,48.91,52.849998,71751400,52.849998
"61",52.889999,53.310001,50.810001,52.209999,24920200,52.209999
