"","stock_data$DRI.Open","stock_data$DRI.High","stock_data$DRI.Low","stock_data$DRI.Close","stock_data$DRI.Volume","stock_data$DRI.Adjusted"
"1",42.099998,45.040001,38.77,38.849998,40129300,31.87149
"2",38.759998,43.939999,37.080002,41.889999,46735700,34.660329
"3",42.48,42.880001,39.360001,41.259998,34300700,34.139057
"4",41.689999,46.189999,41.689999,42.779999,42949200,35.396726
"5",43.169998,47.380001,42.5,45.709999,35562200,38.098059
"6",46.02,49.990002,45.759998,48.950001,29390400,40.798514
"7",49.77,50.84,46.27,46.439999,38710900,38.706495
"8",46.720001,47.34,45.07,47.110001,38824900,39.539024
"9",47.25,50.290001,45.880001,47.130001,30413900,39.55581
"10",47.220001,49.169998,45.509998,49.130001,46972800,41.234393
"11",49.029999,49.310001,46.259998,46.970001,28703200,39.683734
"12",47.169998,52.119999,46.599998,50.650002,35137000,42.792871
"13",50.299999,50.490002,46.529999,49.759998,43021700,42.04093
"14",49.82,53.810001,49.43,50.799999,39879900,43.269
"15",51.25,51.25,43.849998,48.099998,58520900,40.969269
"16",48.119999,48.599998,42.549999,42.75,64014700,36.412397
"17",42.52,49.16,40.689999,47.880001,48361400,41.191228
"18",46.860001,48.330002,44.529999,47.709999,34168700,41.044975
"19",47.599998,48.23,41.650002,45.580002,64701700,39.212536
"20",46.099998,47.259998,43.799999,45.869999,36104100,39.839018
"21",46.209999,51.900002,45.950001,50.990002,40509900,44.285843
"22",51.189999,53.200001,49.380001,51.16,43264600,44.43349
"23",50.43,51.650002,48.490002,50.080002,40618400,43.871962
"24",50.700001,55.84,49.610001,51.73,50275500,45.317421
"25",50.509998,52.060001,48.389999,50.630001,50296000,44.353781
"26",50.860001,52.509998,48.779999,51.18,30299800,45.271915
"27",51.459999,54.09,50.68,51.950001,27038300,45.953028
"28",51.82,57.93,51.299999,55.75,29905000,49.314366
"29",55.889999,56.18,51.790001,52.619999,23832000,46.964713
"30",52.93,54.209999,50,52.880001,22626900,47.196771
"31",53.139999,53.32,44.119999,45.07,48459100,40.226143
"32",45.68,46.869999,44.459999,46.5,35546600,41.958125
"33",46.549999,47.82,44.110001,46.27,49200700,41.750591
"34",45.939999,51.860001,45.43,51.68,35157200,46.63217
"35",51.740002,52,48.25,51.630001,40156600,47.052553
"36",51.43,54.209999,51.380001,51.799999,22003600,47.207479
"37",51.91,55.25,48.43,50.48,37328200,46.004509
"38",50.73,52.240002,47.759998,49.049999,27807900,45.185452
"39",49.380001,50.150002,46,46.209999,26973100,42.569209
"40",46.740002,49.849998,44.779999,46.290001,35170700,42.642908
"41",46.32,52.740002,45.43,51.529999,63925100,48.045898
"42",51.639999,54.080002,51.130001,53.330002,20699000,49.724197
"43",53.189999,54.889999,49.349998,54.369999,47348900,50.693877
"44",54.18,54.34,48.759998,49.439999,28483100,46.584495
"45",49.48,51.25,47.049999,51.060001,26655800,48.110931
"46",49.18,50.990002,47.900002,50.759998,34965600,47.828255
"47",50.950001,52.5,47.830002,49.709999,25570500,47.354954
"48",49.720001,51,47.919998,50.119999,27248900,47.74553
"49",50.16,51.209999,46.110001,46.27,29591400,44.077928
"50",46.48,46.990002,43.560001,46.75,40452700,45.072815
"51",46.669998,48.400002,46.029999,47.32,32149400,45.622365
"52",47.310001,52.139999,47.279999,51.459999,39713700,49.61384
"53",51.32,52.529999,46.700001,51.779999,47920800,50.476827
"54",51.810001,57.209999,51.5,56.990002,30261300,55.555708
"55",56.889999,59.59,55.82,58.630001,33100700,57.154433
"56",59,62.330002,57.549999,61.380001,31282400,60.406169
"57",61.299999,64.550003,59.209999,64,18975900,62.9846
"58",64.040001,70.379997,61.689999,69.339996,38389700,68.239874
"59",69.129997,69.440002,63.5,63.77,32807700,63.283542
"60",64.169998,65.760002,61.310001,65.540001,25112800,65.040041
"61",65.540001,67.120003,63.68,66.949997,7889100,66.439281
