"","stock_data$NFLX.Open","stock_data$NFLX.High","stock_data$NFLX.Low","stock_data$NFLX.Close","stock_data$NFLX.Volume","stock_data$NFLX.Adjusted"
"1",118.019997,127.959999,107.989998,108.650002,49292900,108.650002
"2",108.800003,124,95.330002,102.550003,77296600,102.550003
"3",104.019997,140.899994,98.730003,125.519997,123317000,125.519997
"4",130.869995,174.399994,129.110001,162.160004,121866700,162.160004
"5",160.600006,184.740005,147.350006,173.570007,124762900,173.570007
"6",173.949997,206.800003,163.570007,205.899994,107087900,205.899994
"7",207.820007,209.240005,175.529999,175.699997,141624500,175.699997
"8",175,218,173.5,214.080002,108770300,214.080002
"9",214.630005,247.550003,203,206.669998,105283200,206.669998
"10",206.199997,242.169998,188.889999,237.779999,141193100,237.779999
"11",241,254.979996,224.410004,232.669998,111997100,232.669998
"12",238.220001,270.799988,225.300003,270.799988,96884000,270.799988
"13",269.470001,277.700012,240.119995,262.690002,87639400,262.690002
"14",262.059998,304.790009,251.460007,265.98999,102389500,265.98999
"15",268.540009,269.5,203.350006,235.009995,91512100,235.009995
"16",234.529999,238.5,107.629997,113.269997,239941200,113.269997
"17",115.139999,128.5,74.25,82.080002,241583300,82.080002
"18",80.110001,93.839996,62.369999,64.529999,150494500,64.529999
"19",64.419998,77.589996,64,69.290001,120290800,69.290001
"20",70.279999,129.479996,70.129997,120.199997,261331800,120.199997
"21",121.410004,133.429993,106.639999,110.730003,143239100,110.730003
"22",109.099998,123.480003,102.529999,115.040001,116380100,115.040001
"23",114.800003,114.800003,79.760002,80.139999,120322000,80.139999
"24",80.290001,82.980003,62.369999,63.439999,112694400,63.439999
"25",60.950001,70.480003,60.700001,68.489998,71344500,68.489998
"26",68.769997,86.650002,56.139999,56.849998,141149300,56.849998
"27",57.43,66.650002,52.810001,59.720001,85858400,59.720001
"28",58,61.419998,53.049999,54.439999,91304500,54.439999
"29",54.599998,84.949997,54.34,79.239998,159187800,79.239998
"30",77.849998,84.559998,74.5,81.709999,71146800,81.709999
"31",81.849998,97.800003,74.5,92.589996,85462300,92.589996
"32",95.209999,177.25,90.690002,165.240005,141701300,165.240005
"33",170,197.619995,162.779999,188.080002,107938800,188.080002
"34",187.110001,197.059998,176.160004,189.279999,74344100,189.279999
"35",190.949997,224.300003,159,216.070007,122076600,216.070007
"36",215.919998,248.850006,204.020004,226.25,76684000,226.25
"37",227.050003,235.880005,205.75,211.089996,58948100,211.089996
"38",213.619995,270.309998,212,244.479996,77560100,244.479996
"39",246.539993,290.230011,241.380005,283.910004,59548400,283.910004
"40",287.429993,320.390015,284.549988,309.209991,55265400,309.209991
"41",314.769989,389.160004,282.799988,322.480011,120065200,322.480011
"42",328.829987,367.799988,325.149994,365.799988,49079700,365.799988
"43",364.880005,383.959991,352,368.170013,44758400,368.170013
"44",366.809998,412.399994,319.070007,409.329987,85774100,409.329987
"45",411.899994,457.790009,397.01001,445.630005,45340600,445.630005
"46",441.190002,458,349.880005,352.029999,53891400,352.029999
"47",351.75,380.880005,299.5,322.040009,92657900,322.040009
"48",324.049988,421.73999,314.359985,417.829987,74833900,417.829987
"49",419.480011,450.820007,412.5,440.600006,50380000,440.600006
"50",456.230011,475.869995,418.519989,422.720001,61405600,422.720001
"51",421.76001,485.299988,412.51001,477.640015,39182700,477.640015
"52",478.5,489.290009,438.880005,451.179993,38335100,451.179993
"53",448.690002,467.98999,331,392.769989,83317400,392.769989
"54",393.230011,395.519989,344,346.589996,36649600,346.589996
"55",345,357.950012,315.540009,341.609985,37994400,341.609985
"56",344.059998,457.380005,316.850006,441.799988,60845400,441.799988
"57",439.899994,486.5,433.690002,474.910004,29950700,474.910004
"58",474,480.25,410.01001,416.690002,46838000,416.690002
"59",417.5,576.130005,409.25,556.5,72637700,556.5
"60",558.98999,631.440002,552.26001,624.059998,39671100,624.059998
"61",621.859985,692.789978,615.609985,671.099976,19239400,671.099976
