"","stock_data$CTAS.Open","stock_data$CTAS.High","stock_data$CTAS.Low","stock_data$CTAS.Close","stock_data$CTAS.Volume","stock_data$CTAS.Adjusted"
"1",24.98,26.4,23.93,23.969999,15581400,21.912392
"2",23.969999,26.82,23.5,26.459999,23384100,24.188648
"3",26.790001,27.26,24.99,25.49,29493700,23.301914
"4",25.799999,28.280001,25.700001,27.549999,29178400,25.185081
"5",27.83,28.469999,26.860001,27.469999,25596200,25.111949
"6",27.51,28.360001,26.48,26.75,18024300,24.887741
"7",27.219999,29.719999,27.18,27.959999,30486100,26.013504
"8",28.200001,30.190001,27.52,28.059999,23552600,26.106542
"9",28.35,29.6,27.34,28.120001,15990600,26.162366
"10",28.15,30.48,27.219999,30.280001,23548300,28.171993
"11",30.49,31.379999,29.68,31.049999,20395000,28.888387
"12",31.24,32.900002,30.27,32.849998,23667900,30.563075
"13",32.689999,33.119999,31.24,33.029999,28520300,30.730544
"14",33.080002,34.540001,30.35,32.549999,35381700,30.283961
"15",32.799999,32.799999,26.59,31.98,38171100,29.753643
"16",31.99,32.48,28.02,28.139999,24116800,26.180973
"17",27.85,30.84,26.389999,29.889999,21922000,27.809143
"18",29.08,30.59,27.620001,30.4,31151400,28.806333
"19",30.34,35.290001,29.309999,34.810001,25075300,32.985148
"20",35.57,38.220001,35.189999,37.09,24751600,35.145622
"21",37.419998,39.34,37.16,38.560001,14045900,36.538561
"22",38.66,40.610001,37.330002,39.119999,19429300,37.069202
"23",39.060001,39.59,37.599998,39.169998,13674200,37.11658
"24",39.189999,39.849998,36.400002,36.900002,13900200,34.965584
"25",36.25,38.779999,35.41,38.610001,14618700,36.585939
"26",38.849998,40.200001,36.970001,39.630001,21672100,37.552468
"27",39.720001,41.639999,39.16,40.419998,11545400,38.301051
"28",40.299999,42.549999,40,41.43,11675900,39.258106
"29",41.740002,42.740002,41.029999,41.810001,14662000,39.618186
"30",42.73,45.599998,39.220001,41.439999,11121600,39.878155
"31",41.639999,42.84,40.130001,40.900002,12034100,39.35851
"32",41.48,42.990002,41.240002,42.259998,11822900,40.66725
"33",42.599998,45.290001,41.98,43.900002,12926800,42.245443
"34",43.75,45.939999,42.110001,44.130001,12600400,42.466774
"35",44.099998,45.939999,42.349998,44.869999,9481500,43.178881
"36",44.73,46.27,44.169998,45.650002,9060300,43.929486
"37",45.709999,46.5,44.549999,45.540001,8517300,43.823632
"38",45.66,48.169998,45.459999,47.509998,10366400,45.719381
"39",47.740002,49.419998,47.68,47.759998,10003000,45.959959
"40",48.27,52.209999,47.639999,51.200001,10395400,49.27031
"41",51.349998,54.380001,49.77,53.77,14820800,51.743448
"42",54,57.990002,52.27,55.5,7533900,54.17894
"43",55.630001,59.73,53.830002,59.59,13037600,58.171587
"44",59.25,60.93,56.490002,57.07,12745200,55.71157
"45",57.130001,63.279999,55.349998,60.66,15365900,59.216117
"46",60,62,58.470001,59.610001,12079400,58.191111
"47",59.77,60.43,55.650002,58.93,11972400,57.527297
"48",59.16,62.259998,58.25,62.119999,12050600,60.641364
"49",63.130001,64.32,61.700001,63.540001,9797400,62.027566
"50",63.630001,64.910004,62.220001,62.599998,9017100,61.109938
"51",62.349998,66.5,62.240002,66.139999,10422800,64.565677
"52",66.419998,71.610001,65.790001,70.589996,11156700,68.909751
"53",70.220001,73.949997,66.75,73.239998,18261200,71.496675
"54",73.239998,73.860001,70,73.150002,12668600,73.150002
"55",72.910004,80.349998,70.610001,78.440002,17309400,78.440002
"56",78.910004,80.93,75.900002,78.699997,19657600,78.699997
"57",78.779999,84.18,77.959999,83.480003,9211600,83.480003
"58",83.519997,88.230003,80.760002,81.629997,15555300,81.629997
"59",81.790001,82.82,79.510002,79.949997,12974100,79.949997
"60",80.230003,86.830002,80.190002,86.089996,11343000,86.089996
"61",86.389999,86.68,84.709999,86.379997,3873500,86.379997
