"","stock_data$ALTR.Open","stock_data$ALTR.High","stock_data$ALTR.Low","stock_data$ALTR.Close","stock_data$ALTR.Volume","stock_data$ALTR.Adjusted"
"1",23.190001,26.34,23,24.809999,114334900,23.241568
"2",24.75,29.049999,24.200001,27.719999,198095300,25.967605
"3",27.969999,28.15,24.48,24.65,157338100,23.141829
"4",25.09,30.969999,25.040001,30.16,246426200,28.314709
"5",30.16,31.450001,28.5,31.24,222958400,29.328631
"6",31.209999,36,30.92,35.09,168966900,33.002627
"7",35.759998,38.139999,34.389999,35.580002,130066400,33.46348
"8",35.970001,39.880001,35.459999,37.57,128896800,35.335101
"9",37.990002,42.91,37.959999,41.860001,97594900,39.428087
"10",42.099998,45,38.34,44.02,131682700,41.462599
"11",44.23,49.59,41.200001,48.700001,100855400,45.870709
"12",49.200001,49.25,45.540001,48.09,87158200,45.352838
"13",48,48.200001,42.240002,46.349998,92126900,43.711873
"14",46.439999,48.349998,39.810001,40.880001,105635100,38.553214
"15",41.200001,41.84,32.98,36.389999,136653700,34.394323
"16",36.349998,38.970001,30.84,31.530001,136731000,29.800853
"17",31.190001,40.599998,30.389999,37.919998,137089800,35.840415
"18",37.150002,39.32,34.099998,37.669998,89948200,35.678243
"19",37.669998,38.41,33.439999,37.099998,102370500,35.138381
"20",38.540001,41.619999,36.66,39.790001,103551800,37.686153
"21",40.220001,41.630001,37.98,38.470001,65999400,36.50824
"22",38.439999,40.139999,36.16,39.82,89812100,37.789396
"23",39.639999,39.860001,33.959999,35.57,101998400,33.756123
"24",35.18,35.860001,32.669998,33.41,95402400,31.782603
"25",32.599998,34.549999,31.82,33.84,78350600,32.191658
"26",33.889999,36.299999,29.67,35.450001,85450400,33.723236
"27",35.689999,37.529999,34.700001,37.330002,76172900,35.60861
"28",37.139999,38.799999,33.77,34,62769800,32.432164
"29",34.25,34.52,29.59,30.48,102074300,29.07448
"30",30.57,32.59,29.889999,32.389999,71374900,30.997803
"31",32.57,34.990002,30.889999,34.389999,66871400,32.911839
"32",35.040001,36.029999,31.65,33.419998,77643900,31.98353
"33",33.610001,36.619999,33.549999,35.43,66548400,34.005277
"34",35.380001,36.299999,34.040001,35.459999,65524400,34.03407
"35",35.73,35.73,30.620001,32.009998,84077900,30.722802
"36",31.98,34.220001,31.82,33.220001,58837500,31.980943
"37",33.369999,34.150002,31.42,32.990002,71601900,31.759522
"38",33.139999,36.349998,32.650002,35.560001,58553900,34.233665
"39",36.130001,36.52,34.299999,35.169998,66803400,33.999282
"40",35.529999,39.18,35.5,37.16,62401200,35.923042
"41",37.119999,38,32.009998,33.599998,75379500,32.481544
"42",33.73,34.48,30.99,32.25,71231900,31.318366
"43",31.799999,32.580002,30.73,32.509998,61676900,31.570854
"44",31.93,33.689999,31.049999,33.43,74258500,32.464279
"45",33.380001,36.689999,32.009998,36.310001,66768600,35.425394
"46",36.060001,37.560001,34.959999,36.240002,58385100,35.3571
"47",36.52,37.16,32.130001,32.52,77084500,31.727728
"48",33.029999,33.5,31.780001,33.130001,70137300,32.473581
"49",33.18,35.32,32.619999,34.759998,55290300,34.071282
"50",34.919998,35.75,32.66,32.720001,54756900,32.071704
"51",32.5,35.34,32.419998,35.34,39917200,34.830761
"52",35.459999,37.630001,34.990002,35.779999,67458800,35.264419
"53",35.610001,35.900002,30.469999,34.369999,99473100,33.874737
"54",34.32,37.669998,34.279999,37.619999,36301900,37.267671
"55",37.470001,38.650002,36.669998,36.939999,59415100,36.594039
"56",37.119999,37.490002,32.880001,32.919998,85606100,32.611688
"57",33,37.139999,32.669998,37.009998,44373100,36.859212
"58",36.799999,45,33.950001,42.91,101793400,42.735175
"59",42.490002,45.380001,38.669998,41.68,192517900,41.510187
"60",44.07,50.099998,43.400002,48.849998,115251000,48.849998
"61",51.889999,51.91,51.369999,51.549999,144898500,51.549999
