"","stock_data$ORLY.Open","stock_data$ORLY.High","stock_data$ORLY.Low","stock_data$ORLY.Close","stock_data$ORLY.Volume","stock_data$ORLY.Adjusted"
"1",49.380001,51.16,47.23,47.560001,17816500,47.560001
"2",47.450001,50.169998,45.650002,49.279999,30357800,49.279999
"3",49.880001,49.900002,45.740002,47.27,30281000,47.27
"4",47.5,54.189999,47.5,53.200001,21761300,53.200001
"5",53.669998,58.599998,52.400002,58.5,24055400,58.5
"6",58.650002,61,56.93,60.18,21834500,60.18
"7",60.740002,63.049999,59.209999,60.419998,23102700,60.419998
"8",60.990002,61.700001,55.599998,56.830002,22730200,56.830002
"9",57.310001,59.349998,53.330002,55.580002,27545300,55.580002
"10",55.619999,58.549999,54.5,57.459999,21254700,57.459999
"11",57.599998,59.5,54.98,59.060001,21502100,59.060001
"12",59.27,61.290001,57.110001,60.110001,25754900,60.110001
"13",59.900002,65.629997,58.580002,65.510002,26253300,65.510002
"14",65.610001,66.519997,58.32,59.5,29223500,59.5
"15",59.080002,66.019997,56.25,64.879997,58436600,64.879997
"16",64.470001,72,63.389999,66.629997,31308100,66.629997
"17",66.339996,77.349998,63.75,76.050003,24852600,76.050003
"18",74.139999,78.989998,73.900002,77.239998,21261100,77.239998
"19",77.309998,82.169998,76.919998,79.949997,17401000,79.949997
"20",80.949997,85.32,77.769997,81.510002,17088600,81.510002
"21",81.529999,87.360001,81.419998,86.5,24146700,86.5
"22",86.639999,91.790001,86.519997,91.349998,17974700,91.349998
"23",91.190002,106.82,91.089996,105.5,21489900,105.5
"24",105.010002,107.129997,91.650002,95.790001,29951500,95.790001
"25",94.699997,102.959999,75.610001,83.769997,40576600,83.769997
"26",84.25,97,82.459999,85.739998,37201600,85.739998
"27",86.290001,88.900002,84.059998,84.949997,25835700,84.949997
"28",84.82,86.489998,80.059998,83.620003,34889300,83.620003
"29",83.580002,88.449997,78.580002,85.849998,38988500,85.849998
"30",85.949997,94.389999,85,94.080002,29045500,94.080002
"31",94.68,94.879997,87.32,89.419998,26655500,89.419998
"32",90.660004,92.959999,87.059998,92.650002,22106300,92.650002
"33",92.860001,103.699997,92.209999,101.790001,26143800,101.790001
"34",101.68,105.220001,101.129997,102.440002,17884800,102.440002
"35",103.129997,108.989998,97.769997,107.32,20773700,107.32
"36",107.5,112.919998,106.790001,108.849998,13159200,108.849998
"37",109.239998,114.059998,107.800003,112.620003,12417100,112.620003
"38",113.029999,126.139999,112.720001,125.300003,14913500,125.300003
"39",126.230003,128.449997,121.410004,122.709999,11851600,122.709999
"40",123.970001,127.970001,121.610001,127.589996,11932800,127.589996
"41",127.300003,135.619995,122.660004,123.809998,20266700,123.809998
"42",124.809998,126.400002,122.419998,124.959999,11294300,124.959999
"43",124.300003,129.990005,120.339996,128.710007,15292800,128.710007
"44",128.419998,137.279999,128.199997,130.979996,14557800,130.979996
"45",133.389999,155.940002,129.720001,150.850006,19776000,150.850006
"46",150.130005,153.050003,145.130005,148.389999,12126300,148.389999
"47",148.479996,151.259995,141.080002,148.789993,15909900,148.789993
"48",148.990005,151.199997,144.380005,147.949997,12023800,147.949997
"49",148.429993,154.210007,147.210007,150.600006,10781500,150.600006
"50",150.029999,156.369995,145.509995,150,15916900,150
"51",150.179993,157.179993,148.740005,155.979996,11681700,155.979996
"52",156.649994,158.630005,149.509995,150.360001,11977600,150.360001
"53",149.970001,177,146.220001,175.880005,19250300,175.880005
"54",175.649994,183.630005,175.009995,182.740005,13455500,182.740005
"55",182.720001,196.800003,180.690002,192.619995,14630100,192.619995
"56",192.860001,195.029999,179,187.360001,16945400,187.360001
"57",187.699997,214.149994,184.759995,208.130005,14624700,208.130005
"58",209.119995,220.110001,202.440002,216.240005,12513600,216.240005
"59",216.639999,230.770004,212.149994,217.830002,12614700,217.830002
"60",219,226,216.410004,219.529999,10266100,219.529999
"61",220.800003,226.210007,218.820007,225.679993,3404100,225.679993
