"","stock_data$XL.Open","stock_data$XL.High","stock_data$XL.Low","stock_data$XL.Close","stock_data$XL.Volume","stock_data$XL.Adjusted"
"1",16.879999,18.4,15.89,16.01,78267200,14.5252
"2",16.129999,18.35,15.59,17.73,106899300,16.085683
"3",18.030001,18.9,17.16,17.91,94786400,16.24899
"4",18.190001,22.139999,18.190001,21.66,101237800,19.74878
"5",21.66,22.52,20.940001,21.15,83272200,19.283781
"6",21.34,21.559999,19.360001,19.66,101475500,17.925255
"7",19.98,22.290001,19.9,21.82,75333700,19.989354
"8",22.049999,23.68,21.83,22.92,103024500,20.997067
"9",23.07,24.66,22.549999,23.35,69733300,21.390992
"10",23.450001,24.82,21.17,24.6,92461300,22.647634
"11",25.07,25.43,23.540001,24.42,80671900,22.48192
"12",24.6,24.82,22.73,23.66,73011200,21.782236
"13",23.58,23.709999,20.530001,21.98,114020600,20.342789
"14",22.02,22.65,20.440001,20.52,77799500,18.99154
"15",20.77,21.879999,17.940001,20.809999,146482000,19.259938
"16",21.01,21.1,18.1,18.799999,79979300,17.498773
"17",18.65,23,17.690001,21.74,97921900,20.235284
"18",21.120001,21.91,18.65,20.620001,82825900,19.192805
"19",20.52,21.35,19.16,19.77,61572300,18.503714
"20",20.25,20.799999,19.25,20.27,70304000,18.971688
"21",20.459999,21.42,18.860001,20.799999,106382400,19.46774
"22",20.85,22.030001,20.16,21.690001,74952100,20.406369
"23",21.6,22.16,20.780001,21.51,55484000,20.237021
"24",21.52,22.639999,19.860001,20.42,87058100,19.211528
"25",20.049999,21.110001,19.52,21.040001,57309500,19.902737
"26",21.110001,21.389999,19.9,20.65,58296400,19.533816
"27",20.809999,23.530001,20.49,23.120001,60686100,21.870308
"28",23.1,24.889999,22.76,24.030001,41792700,22.836579
"29",24.25,25.780001,23.940001,24.74,41566000,23.511316
"30",24.73,25.120001,23.15,24.33,37992200,23.121679
"31",24.389999,25.43,24.1,25.059999,36132500,23.920717
"32",25.52,27.9,25.200001,27.719999,49519000,26.459787
"33",27.860001,29.23,27.360001,28.639999,50082200,27.337962
"34",28.5,30.610001,28.23,30.299999,44199600,29.058555
"35",30.35,31.74,29.93,31.139999,41944400,29.864139
"36",31.139999,32.959999,30.700001,31.43,61893000,30.142258
"37",31.530001,31.700001,28.879999,30.32,45319700,29.210252
"38",30.48,33.119999,30.09,31.35,39063700,30.202553
"39",31.67,32.200001,29.48,29.559999,37295200,28.478068
"40",30.049999,31.639999,29.629999,30.82,34976300,29.828465
"41",30.85,32.279999,30.030001,30.57,41055700,29.586508
"42",30.57,32.290001,30.030001,31.99,38691400,30.960824
"43",30.75,32.029999,29.620001,31.84,42330800,30.95673
"44",31.709999,31.85,28.43,28.74,49244600,27.942726
"45",28.74,30.43,27.790001,30.4,37285000,29.556676
"46",29.98,31.280001,29.860001,31.25,42811800,30.543642
"47",31.34,31.99,30.540001,31.35,35920700,30.641382
"48",31.43,32.639999,31.370001,32.459999,37142200,31.726291
"49",32.610001,33.41,32.25,32.73,27491800,32.145292
"50",32.919998,35.52,32.200001,32.240002,42294400,31.664047
"51",32.080002,34.290001,31.83,34.18,39549100,33.569389
"52",34.330002,34.580002,33.099998,33.169998,28529100,32.732469
"53",33.169998,34.049999,30.83,33.880001,63329600,33.433107
"54",33.82,35.84,33.48,35.52,26712500,35.051474
"55",35.43,36.349998,32.880001,34.369999,56058900,34.070502
"56",34.5,36.34,33.98,34.490002,70793100,34.189459
"57",34.57,36.299999,34.209999,36.200001,46635800,35.884558
"58",36.200001,37.450001,35.380001,36.799999,64623300,36.643694
"59",36.970001,38.259998,36.529999,37.080002,67773200,36.922507
"60",37.189999,38.02,36.330002,37.68,63487500,37.519957
"61",37.790001,37.900002,36.73,37.669998,20273400,37.509998
