"","stock_data$TROW.Open","stock_data$TROW.High","stock_data$TROW.Low","stock_data$TROW.Close","stock_data$TROW.Volume","stock_data$TROW.Adjusted"
"1",47.16,51.040001,44.279999,44.389999,35650300,38.865007
"2",44.259998,49.75,42.810001,48.23,51162500,42.227062
"3",48.919998,50.43,43.299999,43.790001,53341600,38.339687
"4",44.790001,51.209999,44.450001,50.060001,43386500,44.074099
"5",50.689999,55.470001,49.349998,55.27,43858800,48.661115
"6",55.470001,60.52,54.939999,58.330002,36160700,51.355218
"7",59.59,65.379997,59.18,64.540001,35700600,57.069437
"8",64.919998,68.980003,63.68,65.919998,32541900,58.289698
"9",66,71.290001,65.470001,66.980003,26294400,59.227007
"10",67.169998,67.839996,60.580002,66.419998,36250300,59.015992
"11",67.07,68.589996,63.040001,64.25,30859700,57.087889
"12",64.610001,64.650002,61.299999,63.299999,32015900,56.243787
"13",61.290001,61.73,55.939999,60.34,49140200,53.901197
"14",60.389999,62.25,55.419998,56.799999,41046300,50.738945
"15",57.459999,57.959999,46.279999,53.48,83973400,47.773218
"16",53.34,53.709999,45.75,47.77,61748100,42.941836
"17",47.32,57.23,44.68,52.84,62493000,47.499405
"18",50.439999,56.900002,49.349998,56.759998,49876100,51.023205
"19",56.419998,59.549999,53.57,56.950001,46154700,51.469286
"20",58.509998,62.139999,56.48,57.84,39381600,52.273635
"21",56.98,63,56.5,61.59,37265200,55.662745
"22",61.700001,65.629997,60,65.300003,28951700,59.339081
"23",65.040001,66,60.470001,63.119999,25685400,57.358079
"24",62.939999,63.889999,56.540001,57.59,40478700,52.332887
"25",56.240002,62.970001,54.470001,62.959999,38139500,57.549288
"26",63.16,63.400002,58.84,60.75,28679500,55.529214
"27",61.290001,63,58.52,61.439999,19175600,56.159915
"28",61.470001,65.970001,61.119999,63.299999,19556900,58.172777
"29",63.66,66.660004,62.349998,64.879997,21504900,59.624797
"30",65.050003,66.5,62.669998,64.669998,24556800,59.431807
"31",64.919998,66.949997,63.380001,65.120003,29346400,60.157726
"32",66.32,72.650002,66.18,71.410004,34545400,65.968416
"33",71.650002,74.440002,69.849998,71.190002,27414000,65.765179
"34",71.209999,76,70.230003,74.870003,25934100,69.516034
"35",75,77.139999,70.93,72.5,30869100,67.315511
"36",72.290001,80.129997,71.660004,75.910004,28335500,70.481664
"37",76.389999,76.580002,70.07,73.199997,27201800,68.309443
"38",73.589996,80.260002,72.900002,75.239998,32824200,70.21315
"39",76.029999,77.029999,69.970001,70.139999,26473100,65.453887
"40",70.940002,74.989998,69.900002,71.93,27337800,67.480246
"41",71.989998,78.82,70.959999,77.410004,37947100,72.621244
"42",77.459999,81.620003,76.580002,80.459999,23670800,75.482559
"43",80.650002,83.989998,77.720001,83.769997,24331800,78.969529
"44",83.580002,84.410004,76.5,78.440002,35602100,73.944972
"45",78.480003,81.690002,75.57,81.169998,24830300,76.518524
"46",80.099998,84.400002,79.220001,82.349998,28506900,78.046144
"47",83.019997,84.730003,76.760002,82.129997,32964000,77.83764
"48",82.099998,82.650002,78.57,81.529999,22455600,77.269
"49",81.800003,84.889999,80.860001,84.410004,21567100,80.42186
"50",84.519997,85.739998,77.639999,77.660004,33776300,73.990779
"51",77.5,81.559998,75.610001,81,34091800,77.172969
"52",81.190002,81.5,77.919998,78.400002,27663600,75.108034
"53",78.5,82.190002,71.779999,82.089996,39364100,78.643088
"54",81.699997,84,81.32,83.470001,23139000,79.965147
"55",83.029999,88.639999,80.550003,85.860001,26337100,82.686835
"56",86.599998,87.220001,77.959999,78.720001,32590700,75.810711
"57",78.879997,84.169998,78.610001,82.599998,25812500,79.547314
"58",82.5,84.379997,80.769997,80.980003,27586600,78.486858
"59",81.150002,83.519997,79.010002,81.18,31993300,80.644772
"60",81.449997,82.5,80.169998,80.690002,22281100,80.158005
"61",80.949997,81.220001,78.07,78.870003,13263900,78.350004
