"","stock_data$CF.Open","stock_data$CF.High","stock_data$CF.Low","stock_data$CF.Close","stock_data$CF.Volume","stock_data$CF.Adjusted"
"1",61.339998,67.879996,59.790001,63.450003,185095500,11.981252
"2",64.129996,82.57,63.060002,81.190004,275111000,15.331093
"3",82.709999,93.480005,78.900003,92.5,335406500,17.488267
"4",93.290005,103.959999,91.519995,95.500002,248850000,18.055454
"5",95.769997,125.139999,92.410002,122.530003,278595500,23.16581
"6",122.609997,130,112.230005,120.769997,258201000,22.851314
"7",123.430004,138.740005,116.359997,135.149994,179813500,25.572204
"8",136.77,149.649992,127.580004,135.039997,246225000,25.551391
"9",136.240005,153.830004,123.42,141.280003,275896500,26.749681
"10",142.509995,142.509995,120.010004,136.789989,288607500,25.89955
"11",137.969999,145.249996,127.620001,141.550007,192792500,26.800803
"12",142.139997,158.42,127.290001,153.780003,239731500,29.137627
"13",153.780003,156.199999,134.60001,141.669998,281313000,26.843072
"14",143.23,163.250008,137.770004,155.320005,207233000,29.429421
"15",158.169994,192.700005,134.399996,182.749996,371031500,34.719586
"16",183.530006,188.610001,123.09,123.389997,279222000,23.442133
"17",121.009998,172.390003,115.339994,162.270012,237814500,30.828716
"18",155,176.970005,138.109999,139.800005,222791000,26.62013
"19",141.710005,149.890003,128.029995,144.979992,188003000,27.606481
"20",149.580002,183.670006,149.580002,177.380009,218169000,33.775956
"21",179.850006,195.480003,172.600002,186.000004,201645500,35.493781
"22",189.320011,192.000008,168.35001,182.649994,210768500,34.854509
"23",183.199997,199.389992,178.190002,193.059998,149754500,36.841016
"24",193.080006,203.320007,154.169998,170.960007,219020000,32.699717
"25",166.040001,195.799999,156.610003,193.740005,149001000,37.056874
"26",195.760002,208.429985,190.100002,195.760002,133475500,37.443241
"27",197.290001,218.250008,190.880013,207.010002,128931000,39.669587
"28",206.830006,227.989998,202.57,222.240009,93702500,42.588132
"29",223.039989,226.499996,200.869999,205.19001,93877500,39.32082
"30",205.629997,214.750004,191.899986,214.029999,104101500,41.098173
"31",213.429985,218.500004,198.400002,203.16,83486500,39.010909
"32",208.94001,233.429985,205.020008,229.169998,103221500,44.005365
"33",231.779995,231.779995,189.820004,200.830002,113402500,38.634426
"34",199.549999,208.600006,189.740009,190.369987,115052000,36.622193
"35",189.790001,193.670006,170.529995,186.509991,126174500,35.879631
"36",185.760002,197.380009,181.420002,190.960007,95836500,36.812062
"37",191.590004,196.25,171.499996,171.499996,103183000,33.060685
"38",173.220005,203.439999,169.330006,196.009998,130819000,37.785568
"39",198.419991,200.779991,185.109997,190.340004,97940500,36.769941
"40",192.460003,216.490002,189.440002,210.830002,85715500,40.728205
"41",210,220.629997,203.039989,215.600014,89903000,41.649678
"42",215,221.479988,207.280006,217.380009,72960500,42.186805
"43",217.859993,239.399986,213.699989,233.039989,84657500,45.225928
"44",233.029995,249.099998,225.600014,230.860004,86695500,44.802859
"45",231.339989,251.300011,220.119991,250.900002,114017000,48.903659
"46",253.009987,267.76001,249.920006,260.640011,98063500,50.802112
"47",261.599998,266.940002,232.399998,245.170002,79389000,47.786807
"48",244.740009,250.550003,233.999996,243.309994,85405000,47.615525
"49",243.320007,247.630005,233.380013,240.529995,63082500,47.071482
"50",242.280006,257.290001,238.549995,250.340004,63000500,48.991292
"51",246.990013,261.100006,240.669994,257.670021,68471000,50.734877
"52",258.980007,280.340004,248.210011,279.220009,89321000,54.97804
"53",279.160004,290.290012,239.460011,260,113569500,51.193646
"54",261.25,280.279999,241.030006,268.149986,74879500,53.096878
"55",267.719994,279.399986,244.80999,272.540016,73574000,53.966156
"56",274.230003,310.620003,272.989998,305.380001,78801500,60.468863
"57",307.43,314.429989,291.260014,306.230011,60779000,60.943124
"58",306.230011,313.619995,282.739983,283.68,74672500,56.455425
"59",284.689999,297.119999,277.999992,287.469997,63204500,57.209676
"60",289.80999,323.190002,287.670021,315.880013,73696500,63.176003
"61",316.730003,323.689995,314.070015,320.419998,22074000,64.084
