"","stock_data$PCS.Open","stock_data$PCS.High","stock_data$PCS.Low","stock_data$PCS.Close","stock_data$PCS.Volume","stock_data$PCS.Adjusted"
"1",4.4,4.4,3.85,4.15,2500,4.15
"2",4.051,4.646,4.05,4.5,20200,4.5
"3",4.55,5.33,4.3,5.09,479400,5.09
"4",5,5.25,4.871,5,112200,5
"5",5,5.2,4.9,5.1,32700,5.1
"6",5.1,5.1,4.61,5.099,26600,5.099
"7",5,5.03,5,5,11000,5
"8",5,5.25,5,5,21400,5
"9",5,5.1,4.9,5,17800,5
"10",4.92,5.139,4.899,5.01,35300,5.01
"11",4.8,5.003,4.8,5.003,5800,5.003
"12",5.001,5.001,5,5,1800,5
"13",5,5,5,5,0,5
"14",5,5,5,5,0,5
"15",5,5,5,5,0,5
"16",5,5,5,5,0,5
"17",5,5,5,5,0,5
"18",5,5,5,5,0,5
"19",5,5,5,5,0,5
"20",5,5,5,5,0,5
"21",5,5,5,5,0,5
"22",5,5,5,5,0,5
"23",5,5,0.12,0.12,0,0.12
"24",0.12,0.12,0.065,0.065,36300,0.065
"25",0.065,0.08,0.065,0.08,82600,0.08
"26",0.08,0.1,0.065,0.1,116500,0.1
"27",0.1,0.11,0.06,0.11,198500,0.11
"28",0.11,0.11,0.09,0.11,38000,0.11
"29",0.11,0.11,0.09,0.09,215100,0.09
"30",0.09,0.1,0.09,0.1,4000,0.1
"31",0.1,0.105,0.085,0.1,136000,0.1
"32",0.1,0.1,0.075,0.095,360800,0.095
"33",0.095,0.135,0.085,0.135,172400,0.135
"34",0.135,0.14,0.105,0.105,114500,0.105
"35",0.105,0.12,0.1,0.11,225200,0.11
"36",0.11,0.16,0.105,0.13,523300,0.13
"37",0.135,0.175,0.135,0.15,579900,0.15
"38",0.165,0.205,0.1,0.155,768000,0.155
"39",0.155,0.27,0.145,0.215,606200,0.215
"40",0.22,0.22,0.115,0.16,217800,0.16
"41",0.16,0.19,0.1,0.15,171200,0.15
"42",0.18,0.19,0.11,0.15,378300,0.15
"43",0.15,0.155,0.115,0.115,205000,0.115
"44",0.155,0.17,0.105,0.125,120100,0.125
"45",0.125,0.15,0.115,0.13,142900,0.13
"46",0.13,0.13,0.09,0.1,575700,0.1
"47",0.1,0.13,0.085,0.085,246900,0.085
"48",0.085,0.11,0.06,0.11,160900,0.11
"49",0.11,0.11,0.08,0.08,182700,0.08
"50",0.085,0.105,0.075,0.08,269800,0.08
"51",0.08,0.1,0.075,0.095,182500,0.095
"52",0.095,0.11,0.08,0.085,180400,0.085
"53",0.085,0.1,0.085,0.09,238900,0.09
"54",0.09,0.095,0.085,0.09,188700,0.09
"55",0.095,0.115,0.06,0.085,569900,0.085
"56",0.09,0.115,0.085,0.085,171100,0.085
