"","stock_data$FLR.Open","stock_data$FLR.High","stock_data$FLR.Low","stock_data$FLR.Close","stock_data$FLR.Volume","stock_data$FLR.Adjusted"
"1",44.700001,47.720001,41.68,42.5,31204400,40.285357
"2",42.169998,49.75,41.200001,48.290001,49450400,45.773646
"3",49.240002,49.93,44.040001,44.66,37746300,42.332801
"4",45.380001,51,45.299999,49.529999,39477200,47.080803
"5",50,53.34,47.939999,48.189999,53611500,45.807064
"6",48.279999,58.439999,48.259998,57.830002,61948100,54.970382
"7",58.650002,67.309998,58.639999,66.260002,38760000,63.119965
"8",67.129997,72.809998,63.75,69.190002,47703200,65.911114
"9",69.620003,75.760002,63.43,70.760002,46458500,67.406712
"10",70.540001,75.459999,65.709999,73.660004,48755900,70.296836
"11",74.019997,74.580002,65.879997,69.940002,37622400,66.746682
"12",70.239998,73.18,64.75,68.93,51426800,65.782795
"13",68.599998,69.040001,60.099998,64.660004,38840400,61.819864
"14",64.760002,68,62.009998,63.529999,33193100,60.739494
"15",64.889999,64.980003,49.040001,60.720001,66275800,58.172935
"16",60.650002,61.5,45.860001,46.549999,48833400,44.597333
"17",46.279999,60.759998,44.16,56.849998,47905900,54.465271
"18",54.310001,58.799999,49.5,54.82,51577600,52.64681
"19",54.599998,56.16,46.830002,50.25,41223400,48.257976
"20",51.529999,58.529999,51.02,56.240002,34623800,54.01052
"21",56.959999,64.669998,56.959999,60.48,35413300,58.082435
"22",60.950001,63.330002,57.889999,60.040001,39365800,57.812824
"23",59.98,61.650002,56.59,57.75,30437700,55.60777
"24",57.540001,59.990002,46.049999,46.880001,51556400,45.291304
"25",45.91,50.959999,44.990002,49.34,45612700,47.667938
"26",49.490002,51.790001,45.610001,49.580002,31629500,47.899806
"27",49.950001,55,48.889999,51.5,31569600,49.907714
"28",51.52,60.82,51.130001,56.279999,36281700,54.539924
"29",56.560001,59.400002,54.549999,55.849998,25555400,54.123218
"30",56.189999,58,51.09,53.080002,41620600,51.593537
"31",53.27,59.959999,52.790001,58.740002,30931500,57.095033
"32",60.139999,66.669998,59.32,64.830002,26838500,63.014488
"33",65.669998,66.279999,59.610001,61.900002,30624100,60.320887
"34",61.290001,66.459999,58.560001,66.330002,29672400,64.637875
"35",66.300003,66.830002,53.5,56.98,57913600,55.526398
"36",56.5,66.900002,55.630001,63.209999,41530100,61.753309
"37",63.259998,63.610001,57.84,59.310001,31728800,57.943188
"38",59.84,63.400002,57.5,62.560001,30979000,61.118291
"39",63.189999,67.059998,61.68,63.43,34069000,62.1228
"40",64.080002,74.720001,63.209999,70.959999,27103800,69.497617
"41",70.769997,78.230003,68.93,74.220001,30173500,72.690435
"42",73.889999,79.949997,73.150002,77.809998,29204300,76.36136
"43",77.900002,80.449997,74.589996,80.290001,23327600,78.795191
"44",79.82,83.93,74.93,75.959999,30843600,74.545804
"45",75.870003,83.099998,73.32,77.690002,32576200,76.449002
"46",76.699997,80.769997,73.889999,77.730003,29679200,76.488364
"47",77.730003,79.900002,74.029999,75.699997,23201600,74.490784
"48",75.57,77.809998,72.699997,75.080002,26534000,74.086459
"49",75.089996,79.93,74.580002,76.900002,23024500,75.882374
"50",77.25,79.199997,72.769997,72.870003,22123400,71.905705
"51",73.919998,75.550003,70.82,73.889999,21070300,73.118364
"52",73.739998,74.800003,66.519997,66.790001,32739800,66.092511
"53",67.040001,67.379997,59.32,66.339996,42691200,65.647206
"54",66.519997,69.690002,61.790001,61.990002,36894100,61.536324
"55",61.099998,63.689999,55.599998,60.630001,56573900,60.186277
"56",60.779999,61.060001,51.799999,53.59,43942000,53.197799
"57",53.970001,60.189999,53.84,58,39967400,57.78431
"58",57.959999,58.77,56.110001,57.16,26648500,56.947434
"59",56.43,62.259998,56.220001,60.139999,27186400,59.916351
"60",58.240002,60.619999,55.889999,56.220001,26037600,56.220001
"61",56.349998,57.970001,55.02,55.68,8485300,55.68
