"","stock_data$ICE.Open","stock_data$ICE.High","stock_data$ICE.Low","stock_data$ICE.Close","stock_data$ICE.Volume","stock_data$ICE.Adjusted"
"1",115.809998,129.529999,112.580002,113.029999,16856300,110.594607
"2",113.620003,114.440002,101.339996,105.620003,18682800,103.344269
"3",107,111.550003,92.18,95.559998,22419400,93.501021
"4",97.510002,107.830002,97.410004,104.720001,15811800,102.46366
"5",105.629997,119.089996,105.080002,114.870003,16924100,112.394965
"6",114.519997,117.669998,110.360001,112.699997,12045200,110.271715
"7",114.220001,121.900002,113.5,119.150002,11059800,116.582745
"8",119.800003,120.989998,112.129997,120.489998,16292500,117.893869
"9",120.550003,131.539993,117.550003,128.199997,17383300,125.437746
"10",128.399994,135.380005,121.209999,123.540001,15127000,120.878156
"11",122.599998,124.940002,117.660004,120.349998,16360200,117.756886
"12",120.639999,126.669998,112.199997,120.650002,18183600,118.050426
"13",120.43,125.849998,112.660004,124.709999,11933800,122.022945
"14",124.839996,131.720001,121.5,123.300003,8904100,120.643329
"15",124.730003,124.730003,102.57,117.949997,22189100,115.408596
"16",117.730003,126.459999,108.82,118.260002,15329400,115.711922
"17",117.870003,132.889999,115.230003,129.880005,14934300,127.081555
"18",126.790001,129.770004,113,121.720001,16778700,119.097371
"19",121.43,127.540001,115.800003,120.550003,10564900,117.952582
"20",122.400002,123.120003,110.669998,114.480003,16690300,112.013369
"21",115.559998,140.5,114.580002,137.960007,16814500,134.987462
"22",138.059998,142.75,134.639999,137.419998,12245500,134.459089
"23",137.089996,139.559998,126.730003,133.039993,9690100,130.173457
"24",132.220001,132.860001,120.379997,122.449997,14157100,119.811637
"25",120.870003,137.589996,117.82,135.979996,12299600,133.050113
"26",141.770004,141.770004,128.860001,131.220001,9657600,128.39268
"27",134.080002,139.5,126.220001,136.699997,8467300,133.754601
"28",136.729996,141.149994,133.179993,133.410004,10773100,130.535495
"29",133.860001,134.75,128.020004,131,10384600,128.177419
"30",129.559998,133.910004,126.07,132.149994,8432300,129.302634
"31",132.240005,135.399994,122.720001,123.809998,30194400,121.142335
"32",125.669998,139.720001,124.029999,138.75,29464300,135.760434
"33",139.850006,158.470001,138.559998,154.820007,25466700,151.48419
"34",154.330002,163.809998,152.309998,163.070007,12266000,159.556432
"35",162.470001,163.520004,150.119995,162.929993,13393000,159.419434
"36",159.5,179.100006,158.449997,171.210007,16118900,167.521043
"37",171.419998,184.119995,162.949997,177.759995,15187400,173.929902
"38",179.600006,183.889999,173.539993,182.449997,13859600,178.518852
"39",184.009995,188.779999,178.570007,179.75,11688600,175.87703
"40",182.229996,184.949997,177.259995,181.419998,10979900,177.511046
"41",181.089996,198.529999,179.100006,192.729996,16542300,188.577354
"42",194.679993,218.130005,192.210007,213.289993,19197400,208.694357
"43",213.830002,227.070007,210.369995,224.919998,18825100,220.730416
"44",224.160004,229.5,201.009995,208.789993,22935100,204.900865
"45",208.179993,219.830002,202.899994,208.839996,17605000,204.949936
"46",207.410004,219.339996,195.339996,197.830002,20372700,194.750299
"47",197.589996,206.229996,188.300003,204.440002,21074400,201.257399
"48",204.779999,207,186.899994,196.399994,20435400,193.342552
"49",197,203,185.699997,188.899994,19546200,186.603318
"50",189.839996,199.210007,182.399994,192.220001,21366500,189.882961
"51",192.009995,194.740005,185.279999,189,16000700,186.702109
"52",189.949997,205.130005,184.270004,195.050003,17999100,193.338789
"53",195.050003,208.300003,193.419998,208.289993,19957000,206.462622
"54",208.449997,226.660004,208.449997,225.990005,14609400,224.007348
"55",226.009995,228.789993,214.699997,219.289993,15731300,217.994621
"56",220.389999,223.850006,202.240005,205.729996,21356600,204.514724
"57",207.080002,240.050003,205.570007,235.360001,12888400,233.969701
"58",234.889999,239.919998,225.880005,233.270004,14768500,232.547053
"59",232.660004,235.389999,221.160004,224.529999,10725700,223.834135
"60",224.25,241.979996,224.039993,236.779999,15972000,236.046169
"61",237.490005,240.699997,231.759995,240.470001,4728500,239.724736
