"","stock_data$CMCSA.Open","stock_data$CMCSA.High","stock_data$CMCSA.Low","stock_data$CMCSA.Close","stock_data$CMCSA.Volume","stock_data$CMCSA.Adjusted"
"1",17.709999,18.879999,17.32,17.370001,341410000,15.768546
"2",17.32,19.76,17.07,19.469999,537388100,17.770093
"3",19.73,19.799999,16.76,17.1,462842400,15.607016
"4",17.57,18.66,17.42,18.08,476947400,16.501453
"5",18.280001,20.950001,16.91,20.629999,584108300,18.92973
"6",20.57,21.190001,19.85,20.040001,314647300,18.388358
"7",20.25,22.4,20.25,21.969999,347474600,20.159291
"8",22.17,23.799999,22.049999,22.75,311328400,20.965663
"9",22.9,25.82,22.799999,25.76,302196400,23.739582
"10",25.790001,25.91,23.309999,24.719999,357981800,22.781151
"11",24.799999,26.24,23.82,26.209999,292932500,24.263043
"12",26.309999,27.16,24.18,25.24,362831000,23.365098
"13",25.1,25.469999,23.32,25.34,414984100,23.45767
"14",25.299999,26.139999,23.629999,24.02,361586000,22.335325
"15",24.15,24.32,19.190001,21.51,589189500,20.001367
"16",21.5,23.4,20.25,20.92,424203600,19.452747
"17",20.629999,25.32,19.719999,23.450001,417225300,21.923724
"18",22.93,23.860001,20.9,22.67,395571300,21.194491
"19",22.700001,24,22.370001,23.709999,322915700,22.272415
"20",24.280001,26.809999,24.280001,26.58,303136700,24.968402
"21",26.719999,29.92,26.57,29.41,327621100,27.626813
"22",29.41,30.41,28.719999,30.01,260808100,28.190434
"23",29.75,30.459999,28.540001,30.35,237112300,28.665517
"24",30.280001,30.879999,28.09,28.91,297073800,27.305439
"25",28.57,31.99,28.34,31.969999,326204100,30.355004
"26",32.099998,32.779999,31.040001,32.549999,262310900,30.905705
"27",33.59,35.16,33.380001,33.529999,287814600,31.836199
"28",33.470001,36.900002,33.419998,35.740002,242579600,33.934562
"29",35.950001,37.849998,34.939999,37.529999,266046700,35.797398
"30",37.66,37.959999,34.950001,37.200001,239653000,35.482634
"31",37.369999,38.220001,36.299999,37.360001,230711200,35.792972
"32",38.049999,40.279999,37.209999,38.080002,255720900,36.482773
"33",38.400002,42,37.810001,39.790001,323984100,38.121048
"34",39.720001,42.009998,39.459999,41.98,246726600,40.219189
"35",41.459999,42.610001,39.66,41.299999,282742600,39.752366
"36",41.98,43.740002,40.150002,40.169998,227236600,38.664709
"37",40.25,41.990002,38.75,41.75,290874900,40.185504
"38",41.889999,45.630001,40.259998,45.080002,256538900,43.594334
"39",45.77,46.330002,41.060001,42.09,209556200,40.702872
"40",42.610001,45.310001,42.09,45.119999,203258300,43.82402
"41",45.150002,48.349998,44.09,47.599998,238116200,46.232786
"42",47.849998,50.75,46.580002,49.869999,197311300,48.437586
"43",49.82,52.09,48.209999,51.970001,192263000,50.668045
"44",51.799999,54.700001,50.669998,54.450001,258753900,53.085915
"45",54.740002,55.279999,50.189999,51.689999,401193000,50.395057
"46",51.080002,52.369999,49,50.040001,328337800,49.008893
"47",50.34,52,47.740002,51.759998,391316300,50.693448
"48",51.82,52.48,49.16,52.200001,287805100,51.124384
"49",52.110001,54.259998,51.939999,53.68,226068000,52.793333
"50",53.860001,56.490002,53.25,53.73,281327300,52.842507
"51",53.540001,55.099998,52.52,54.720001,187671100,53.816156
"52",54.709999,57.490002,53.41,53.779999,275730800,53.112
"53",53.689999,55.689999,49.330002,55.349998,487030200,54.662499
"54",55.259998,57.279999,51.560001,57.040001,344050900,56.33151
"55",56.970001,59.299999,54.740002,58.009998,257700500,57.289459
"56",58,58.349998,53.02,53.150002,305921800,52.696571
"57",53.150002,59.889999,52.450001,59.380001,282910700,58.873421
"58",59.509998,60.700001,55.669998,56.470001,312042700,56.239587
"59",56.790001,60.849998,56.049999,57.759998,429137300,57.52432
"60",57.799999,60.099998,56.200001,58.459999,317835500,58.221465
"61",58.709999,59.68,57.080002,58.23,101758800,57.992404
