"","stock_data$HP.Open","stock_data$HP.High","stock_data$HP.Low","stock_data$HP.Close","stock_data$HP.Volume","stock_data$HP.Adjusted"
"1",40.349998,43.720001,36.439999,36.52,30112300,33.743767
"2",36.580002,41.950001,35.630001,40.529999,32222100,37.448928
"3",41.450001,42.029999,35.560001,37.040001,30132700,34.27542
"4",37.639999,41.439999,37.59,40.459999,25296500,37.440157
"5",40.880001,45.040001,39.650002,42.779999,32251300,39.586998
"6",43.150002,47.549999,41.84,45.360001,29543000,42.031763
"7",46.290001,49.459999,45.790001,48.48,18201900,44.922835
"8",49.099998,58.779999,47.529999,58.73,27236000,54.420753
"9",58.970001,65.5,57.650002,64.989998,23354400,60.282221
"10",65.690002,69.720001,59.139999,68.690002,30921600,63.714203
"11",69.339996,70.470001,63.860001,66.339996,23389200,61.534428
"12",66.150002,66.25,57.080002,62.68,37059200,58.196912
"13",62.610001,66.599998,57.849998,66.120003,29551000,61.390873
"14",66.230003,73.400002,65.25,69.050003,26545700,64.11131
"15",70.419998,70.910004,48.41,57.02,52707600,53.009545
"16",57.110001,58.490002,40.599998,40.599998,35252000,37.74443
"17",39.73,57,35.580002,53.18,47020800,49.439628
"18",50.439999,57.439999,49.240002,56.959999,34458900,53.025352
"19",56.650002,60.880001,53.43,58.360001,31157800,54.328645
"20",60.290001,68.599998,56.169998,61.709999,43375700,57.447234
"21",62.75,64.199997,58.220001,61.299999,33018700,57.13303
"22",61.669998,62.959999,51.689999,53.950001,29219700,50.28266
"23",54.060001,55.740002,50.130001,51.389999,32195100,47.896679
"24",51.240002,52.560001,43.16,45.299999,41249800,42.284476
"25",44.689999,48.48,38.709999,43.48,43435100,40.58563
"26",43.240002,49.400002,41.82,46.5,34948100,43.404596
"27",46.950001,50.040001,44.349998,45.639999,26060200,42.661667
"28",45.73,51.709999,43.759998,47.610001,30620400,44.503111
"29",48.049999,51.740002,44.950001,47.799999,32008300,44.680711
"30",47.82,52.599998,45.380001,52.200001,29704500,48.866845
"31",52.52,57.189999,52.23,56.009998,25757400,52.43356
"32",57.619999,65.510002,55.790001,64.339996,26253700,60.231658
"33",64.589996,69.379997,62.799999,66.260002,30923900,62.171615
"34",65.839996,66.610001,59.959999,60.700001,31908600,56.954678
"35",60.900002,63.630001,55.779999,58.619999,30733400,55.003017
"36",57.959999,66.019997,57.110001,61.740002,24952000,58.069969
"37",62.27,64.620003,59.77,62.450001,24816100,58.737763
"38",63.299999,68.279999,62.349998,63.200001,24154900,59.443181
"39",64.75,68.410004,62.84,63.040001,23447700,59.736499
"40",63.990002,71.360001,62.389999,68.949997,20205100,65.336792
"41",68.910004,79.120003,68.870003,77.550003,22646900,73.486129
"42",77.639999,79.629997,75.169998,77,20777800,73.443593
"43",77.300003,84.870003,76.360001,84.080002,21222400,80.19659
"44",83.949997,88.580002,81.339996,88.040001,24385200,83.973688
"45",88.120003,99.349998,83.139999,98.75,26295400,94.862071
"46",95.919998,108.43,95.110001,107.559998,27695700,103.325207
"47",107.970001,117,104.099998,108.650002,24361800,104.372296
"48",107.510002,110.459999,103.540001,109.949997,21215600,106.236242
"49",109.900002,118.019997,107.349998,116.110001,19721700,112.188181
"50",116.910004,118.949997,104.809998,106.260002,19146500,102.670884
"51",105.459999,107.400002,98.309998,105.050003,24524400,102.196395
"52",104.739998,105.5,96.790001,97.870003,21803600,95.211435
"53",98,98.470001,76.949997,86.82,43659000,84.461597
"54",87.290001,89.349998,68.790001,69.550003,39529000,68.206313
"55",68.879997,71.910004,59.240002,67.419998,49524100,66.117459
"56",67.019997,68.260002,54,59.560001,57610500,58.409316
"57",60.669998,71.550003,60.48,67.059998,53703700,66.453488
"58",67.059998,70.559998,60.970001,68.07,52323000,67.454355
"59",68.440002,79.290001,67.599998,77.970001,46869200,77.264818
"60",77.720001,79.900002,71.419998,72.989998,30680800,72.989998
"61",72.980003,75.25,71.730003,75.120003,10514600,75.120003
