"","stock_data$MSI.Open","stock_data$MSI.High","stock_data$MSI.Low","stock_data$MSI.Close","stock_data$MSI.Volume","stock_data$MSI.Adjusted"
"1",6.779954,7.37995,6.499956,6.519956,93246500,24.344296
"2",6.539956,8.099946,6.359957,7.489948,200062800,27.966067
"3",7.599949,8.179945,7.289952,7.519949,162766600,28.078084
"4",7.64995,8.739941,7.64995,8.529943,111091800,31.849214
"5",8.559943,8.719941,7.699948,8.159945,166460000,30.46771
"6",8.139945,8.279944,7.64995,7.659948,128489300,28.600814
"7",7.869948,9.179938,7.819947,9.06994,180799100,33.865462
"8",9.099939,40.369999,9.079938,38.77,101367100,35.809508
"9",38.91,40.509998,37.060001,38.639999,66028600,35.689433
"10",38.68,44.939999,37.93,44.689999,91333300,41.277452
"11",44.740002,47.639999,42.5,45.880001,67511200,42.376586
"12",45.98,47.900002,44.57,47.869999,60672400,44.214626
"13",47.619999,47.91,44.73,46.040001,69544500,42.524368
"14",46.130001,47.490002,43.23,44.889999,88783700,41.462181
"15",45.139999,45.200001,38.360001,42.09,124477300,38.875991
"16",42.169998,45,38.639999,41.900002,81870900,38.910208
"17",41.880001,47.75,39.619999,46.91,52883400,43.562715
"18",45.490002,46.990002,43.360001,46.669998,54057200,43.339839
"19",46.490002,47.439999,45.279999,46.290001,45159400,43.190509
"20",46.889999,48.049999,44.18,46.41,42209900,43.302473
"21",46.259998,51.060001,45.68,49.799999,51928900,46.465484
"22",49.830002,52.779999,49.580002,50.830002,54259200,47.635364
"23",50.740002,51.849998,47.959999,51.029999,46143600,47.822791
"24",51.139999,52.060001,46.869999,48.080002,48396200,45.0582
"25",47.240002,49.59,46.380001,48.110001,49118200,45.293779
"26",47.889999,48.599998,44.490002,48.34,45453300,45.510315
"27",48.490002,48.57,45.610001,47.66,43150100,44.87012
"28",47.580002,51.919998,47.110001,50.549999,31891200,47.843833
"29",50.849998,51.849998,49.490002,51.68,32926200,48.91334
"30",51.779999,54.860001,51,54.450001,40353200,51.53505
"31",54.630001,55.77,53.779999,55.68,30483100,52.950657
"32",56.139999,59.48,55.630001,58.389999,37837100,55.527816
"33",58.900002,62.509998,58.5,62.209999,30510600,59.160566
"34",61.939999,64.099998,61.240002,64.029999,28814600,61.147239
"35",63.970001,64.720001,53.279999,57.200001,41969600,54.624742
"36",57,59.07,56.009998,57.959999,53552200,55.350523
"37",58.119999,58.580002,54.639999,57.73,44729400,55.386299
"38",57.810001,60.689999,53.619999,54.830002,47424900,52.604034
"39",55.07,57.959999,54.919998,56.009998,36989200,53.736126
"40",56.380001,60.77,55.799999,59.380001,42340400,57.278821
"41",59.419998,66.389999,58.93,62.52,47186400,60.307711
"42",62.68,66.290001,61.990002,65.879997,23521200,63.548813
"43",65.75,67.669998,64.209999,67.5,25180400,65.421544
"44",67.370003,67.690002,62.68,63.799999,33655800,61.835474
"45",63.900002,66.339996,62.5,66.199997,18915600,64.161571
"46",65.800003,67.5,62.470001,64.290001,22849300,62.604082
"47",64.400002,65.599998,62.07,63.580002,34311100,61.912702
"48",60.18,68.330002,59.919998,67.419998,57953600,65.651999
"49",67.379997,67.970001,66.050003,66.57,27983000,65.122489
"50",66.900002,67.559998,63.59,63.68,28920200,62.29533
"51",63.799999,64.349998,59.029999,59.400002,44203100,58.108397
"52",59.310001,63.450001,58.610001,63.279999,53195200,62.249744
"53",63.380001,65.150002,57.790001,64.5,47090400,63.449883
"54",64.510002,66.989998,62.610001,65.720001,39006000,64.650021
"55",65.589996,67.980003,61.630001,67.080002,31161300,66.342991
"56",67.540001,67.730003,62.32,62.41,32856300,61.724298
"57",62.740002,70.260002,61.889999,67.940002,47100700,67.193543
"58",68,69.160004,64.18,66.669998,29877600,66.282449
"59",66.660004,67.459999,59.32,59.75,37765000,59.402677
"60",60.119999,61,58.200001,59,25045000,58.657036
"61",59.09,59.990002,57.759998,58.490002,6952700,58.150003
