"","stock_data$SRCL.Open","stock_data$SRCL.High","stock_data$SRCL.Low","stock_data$SRCL.Close","stock_data$SRCL.Volume","stock_data$SRCL.Adjusted"
"1",62.200001,67.029999,61.93,65.580002,16133300,65.580002
"2",65.779999,67,61.02,63,17941200,63
"3",63.720001,67.470001,62.700001,65.5,13263200,65.5
"4",65.860001,70.980003,65.860001,69.480003,10880400,69.480003
"5",70.089996,73.449997,69.169998,71.739998,9263500,71.739998
"6",71.639999,74.290001,69.800003,73.900002,9397600,73.900002
"7",74.489998,82.160004,74.379997,80.919998,11399700,80.919998
"8",81.690002,82.209999,76.57,78.489998,10295400,78.489998
"9",79.059998,87.910004,77.339996,86.419998,10957100,86.419998
"10",86.739998,89.709999,83.379997,88.669998,10821700,88.669998
"11",88.989998,95.709999,88.910004,91.279999,9607300,91.279999
"12",91.970001,93.93,86.739998,89.089996,10658600,89.089996
"13",88.980003,89.339996,84.389999,89.120003,9165300,89.120003
"14",89.559998,93.949997,82,82.120003,8686600,82.120003
"15",82.540001,88.849998,73.050003,87.709999,17472400,87.709999
"16",87.919998,87.989998,77.849998,80.720001,11001300,80.720001
"17",79.919998,89.480003,76.230003,83.580002,8966100,83.580002
"18",81.150002,82.989998,75.940002,81.019997,12398400,81.019997
"19",80.949997,81.889999,75.800003,77.919998,7862200,77.919998
"20",78.949997,84.900002,75.75,84.019997,9303500,84.019997
"21",84.389999,89.910004,84.029999,86.769997,9219800,86.769997
"22",86.690002,88.400002,83.540001,83.639999,7108800,83.639999
"23",83.540001,88.889999,83.459999,86.599998,8251100,86.599998
"24",87.07,87.949997,81.160004,87.260002,10499100,87.260002
"25",86.150002,91.889999,85.209999,91.669998,10233600,91.669998
"26",91.699997,94.639999,88.07,92.849998,9838300,92.849998
"27",93.040001,93.290001,88.669998,91.519997,7644800,91.519997
"28",91.260002,94.709999,89.699997,90.480003,7117300,90.480003
"29",90.739998,95.440002,88.760002,94.760002,10016700,94.760002
"30",95,96,89.769997,93.470001,9959300,93.470001
"31",93.860001,95.330002,90.82,93.279999,8918200,93.279999
"32",94.389999,96.199997,93.190002,94.349998,7382900,94.349998
"33",94.739998,99.059998,94.029999,95.919998,12505700,95.919998
"34",95.730003,106.279999,95.32,106.18,9620300,106.18
"35",106.699997,110.300003,103.510002,108.32,8948100,108.32
"36",107.959999,113.110001,107.150002,109.760002,8288700,109.760002
"37",110.209999,111.580002,105.5,110.43,8392000,110.43
"38",110.720001,119.589996,109.940002,115.940002,6709400,115.940002
"39",116.629997,117.980003,111.32,112.559998,5265500,112.559998
"40",113.260002,117.580002,111.209999,115.400002,5852200,115.400002
"41",115.709999,121.610001,112.889999,116.199997,6955700,116.199997
"42",116.599998,120.989998,115.099998,117.480003,4554700,117.480003
"43",117.75,118.720001,113,116.169998,8380700,116.169998
"44",115.279999,120.739998,111.029999,117.059998,10803600,117.059998
"45",116.970001,117.739998,111.75,114,9532200,114
"46",113.309998,117.93,111.730003,113.620003,8627600,113.620003
"47",113.949997,116.589996,108.620003,116.440002,9176300,116.440002
"48",116.25,116.690002,111.029999,114.370003,7888700,114.370003
"49",114.239998,119.730003,113.730003,118.419998,6941700,118.419998
"50",118.790001,125.43,117,117.650002,6931600,117.650002
"51",117.550003,120.410004,116.279999,118.849998,4988000,118.849998
"52",118.730003,119.43,115.010002,116.559998,6559500,116.559998
"53",116.870003,126.089996,114.260002,126,11153200,126
"54",126.370003,133.479996,125.43,128.919998,6488300,128.919998
"55",129.100006,134.139999,126.25,131.080002,8295700,131.080002
"56",131.509995,136.800003,129.919998,131.289993,7946300,131.289993
"57",133.710007,136,129.580002,134.970001,8867700,134.970001
"58",135.369995,141.440002,132.009995,140.429993,9028900,140.429993
"59",139.729996,142.690002,131,133.429993,8944200,133.429993
"60",133.869995,139.220001,132.149994,137.300003,7919500,137.300003
"61",137.369995,138.080002,135.119995,136.610001,2668400,136.610001
