"","stock_data$TXN.Open","stock_data$TXN.High","stock_data$TXN.Low","stock_data$TXN.Close","stock_data$TXN.Volume","stock_data$TXN.Adjusted"
"1",24.200001,25.85,23.16,23.280001,228904400,20.678967
"2",23.209999,25.92,22.65,24.690001,295078400,22.034799
"3",24.65,25.85,22.950001,23.02,284840500,20.544394
"4",23.360001,27.4,23.16,27.139999,290646100,24.221321
"5",27.309999,29.75,26.92,29.57,314000800,26.507044
"6",29.77,32.560001,29.16,31.799999,256209200,28.506053
"7",32.419998,33.93,32,32.5,204614600,29.133545
"8",32.689999,34.869999,32.25,33.91,173446600,30.513073
"9",34.189999,36.549999,34.130001,35.610001,173283800,32.042776
"10",35.810001,36.709999,32.330002,34.560001,253873100,31.097961
"11",34.93,35.98,33.110001,35.529999,250966500,32.086981
"12",35.610001,35.66,33.869999,35.299999,167535000,31.87927
"13",35.119999,35.16,30.959999,32.830002,217496300,29.648626
"14",32.990002,33.66,29.68,29.75,222618700,26.982514
"15",29.98,30.139999,24.690001,26.209999,349351300,23.771821
"16",26.23,28.34,24.34,26.65,292980900,24.170891
"17",26.889999,32,26.08,30.73,302700000,28.025036
"18",29.85,32.09,27.790001,30.1,235350300,27.450492
"19",29.889999,31.030001,27.9,29.110001,204243900,26.547635
"20",29.6,34.099998,29.24,32.380001,221575100,29.68575
"21",32.790001,34.209999,32.450001,33.349998,156548800,30.575037
"22",33.490002,34.240002,31.66,33.610001,173045600,30.813405
"23",33.139999,33.41,31.200001,31.940001,216529500,29.438901
"24",31.639999,32.200001,28.299999,28.48,179929300,26.249839
"25",28.09,29.01,26.549999,28.690001,198899800,26.443396
"26",28.690001,28.790001,26.059999,27.24,172814300,25.265725
"27",27.48,30.379999,27,29.040001,181977200,26.935268
"28",28.92,29.709999,26.940001,27.559999,176859800,25.562532
"29",27.549999,28.92,27,28.09,202334700,26.244695
"30",28.299999,30.200001,28.049999,29.469999,189777100,27.534038
"31",29.76,31.809999,29.389999,30.889999,152431200,28.860755
"32",31.549999,33.610001,31.389999,33.080002,177510700,31.104589
"33",33.18,34.66,32.189999,34.43,196367000,32.373971
"34",34.130001,35.73,33.830002,35.48,187510700,33.361268
"35",35.259998,36.259998,33.560001,36.209999,223514900,34.313746
"36",36.25,37.360001,35.529999,35.91,194793500,34.029457
"37",35.939999,36.990002,34.099998,34.849998,159090700,33.024966
"38",34.950001,39.740002,34.810001,39.18,169832200,37.395943
"39",39.360001,39.990002,38,38.200001,133517300,36.460567
"40",38.619999,40.939999,38.48,40.290001,103361100,38.455399
"41",40.34,42.34,38.919998,42.09,174359300,40.469479
"42",42.360001,43.080002,41.5,43,97768400,41.344443
"43",42.950001,44.09,41.91,43.91,95473100,42.219407
"44",43.439999,44.82,41.259998,42.400002,145213500,41.054642
"45",42.419998,45.189999,40.330002,44.959999,117464200,43.53341
"46",44.68,47.650002,44.150002,47.16,140809300,45.663605
"47",47.32,49.77,44.540001,45.450001,155028500,44.294623
"48",45.91,47.150002,44.68,46.98,113023000,45.785728
"49",47,48.450001,45.650002,47.790001,85859600,46.575139
"50",48.029999,49.529999,46.02,46.25,135402400,45.361687
"51",46.27,48.5,45.599998,48.18,98592000,47.254618
"52",48.43,49.369999,47.099998,47.689999,98924000,46.774028
"53",47.509998,50.209999,41.470001,49.66,242744600,49.050048
"54",49.650002,54.740002,49.549999,54.419998,94714000,53.751582
"55",54.27,56,51.959999,53.470001,120943100,52.813253
"56",53.560001,55.459999,51.720001,53.450001,117793400,53.122914
"57",53.5,59.490002,52.41,58.799999,103624300,58.440173
"58",59.07,59.990002,54.619999,57.189999,112836600,56.840025
"59",57.049999,58.869999,53.919998,54.209999,121216700,54.209999
"60",54.709999,56.400002,53.34,55.919998,104791900,55.919998
"61",55.700001,56.34,52.439999,54.189999,38330300,54.189999
