"","stock_data$MMC.Open","stock_data$MMC.High","stock_data$MMC.Low","stock_data$MMC.Close","stock_data$MMC.Volume","stock_data$MMC.Adjusted"
"1",21.280001,25.32,21.190001,22.549999,76817500,19.670833
"2",22.48,23.73,22.129999,23.52,68519000,20.702156
"3",23.870001,24.200001,22.85,23.719999,62936300,20.878194
"4",23.99,24.719999,23.48,24.120001,64247600,21.230273
"5",24.35,25.440001,23.4,24.98,60350500,22.181244
"6",25.09,26.49,24.709999,25.08,57254000,22.27004
"7",25.4,27.5,25.389999,27.34,46803200,24.27683
"8",27.51,28.690001,26.719999,27.879999,54462700,24.943402
"9",28.120001,31.08,27.870001,30.440001,67509300,27.233759
"10",30.34,30.799999,28.82,29.809999,87664100,26.670116
"11",29.83,30.49,28.709999,30.280001,50442400,27.282485
"12",30.370001,31.1,29.51,30.67,62134300,27.633877
"13",30.690001,31.4,29.440001,31.190001,77509600,28.102401
"14",31.120001,31.57,28.93,29.49,57175700,26.75865
"15",29.74,29.84,25.889999,29.719999,144814600,26.967347
"16",29.780001,29.93,26.129999,26.549999,86629600,24.090951
"17",26.51,31.93,25.290001,30.620001,82236100,28.010043
"18",29.690001,31.389999,28.059999,30.190001,67349800,27.616695
"19",30.18,32,29.99,31.620001,54493200,28.924806
"20",32.09,32.259998,30.690001,31.59,72497200,29.10054
"21",31.959999,32.720001,31.16,31.200001,59833600,28.741274
"22",31.24,33.400002,31.24,32.790001,54880200,30.205974
"23",32.73,33.57,31.41,33.450001,48882300,31.023841
"24",33.470001,34.68,31.530001,31.98,71404300,29.660461
"25",31.58,32.880001,30.74,32.23,78444800,29.892328
"26",32.470001,33.849998,31.42,33.209999,56472300,31.019696
"27",33.349998,34.380001,32.66,34.169998,44276300,31.91638
"28",34.119999,34.990002,33.610001,33.93,45034900,31.69221
"29",34.049999,35.189999,33.09,34.029999,46003700,31.997517
"30",34.02,35.779999,33.880001,35.220001,60154700,33.116445
"31",35.279999,35.439999,33.950001,34.470001,46505800,32.41124
"32",35.009998,35.59,34.639999,35.48,69949900,33.580773
"33",35.560001,37.240002,34.43,37.139999,79619600,35.151914
"34",36.959999,38,36.400002,37.970001,57870400,35.937486
"35",37.880001,38.630001,37,38.009998,52557500,36.198009
"36",38,41.68,37.459999,40.02,53723300,38.112192
"37",40.060001,40.66,37.470001,39.919998,53320300,38.016957
"38",40.07,42.23,39.959999,41.869999,37994400,40.119892
"39",42.150002,42.82,40.939999,41.23,41387300,39.506644
"40",41.759998,44.630001,40.950001,43.549999,49439500,41.729671
"41",43.639999,46.779999,41.98,45.799999,54640500,44.144505
"42",45.939999,47.970001,45.48,47.450001,36659300,45.734865
"43",47.459999,48.560001,46.689999,48.360001,35260500,46.611972
"44",48.009998,48.830002,45.450001,45.709999,43688700,44.296579
"45",45.720001,48.48,44.25,48.16,44792000,46.670822
"46",47.299999,50.48,47.02,49.299999,49507700,47.775571
"47",50.450001,50.450001,46.779999,49.310001,40302500,48.033989
"48",49.330002,50.310001,47.84,50.27,41044100,48.969146
"49",50.27,52.389999,50.110001,51.82,44384300,50.479035
"50",51.82,53.549999,50.740002,50.77,49551800,49.724576
"51",50.689999,53.16,50.09,53.099998,35844800,52.006596
"52",53.220001,53.639999,51.650002,52.34,32478200,51.262247
"53",52.41,54.389999,48.66,54.369999,59925300,53.54372
"54",54.299999,56.959999,54.299999,56.59,30433800,55.729983
"55",56.5,58.740002,56.049999,57.240002,39633000,56.370106
"56",57.529999,57.73,53.700001,53.77,40424900,53.216148
"57",53.849998,57.580002,53.5,56.889999,47240600,56.30401
"58",56.889999,58.110001,55.34,56.09,40907300,55.512251
"59",56.209999,57.740002,55.790001,56.16,41555500,55.857171
"60",56.5,59.279999,56.110001,58.23,37936900,57.916009
"61",58.389999,58.950001,57.669998,58.869999,14497400,58.552557
