"","stock_data$UNH.Open","stock_data$UNH.High","stock_data$UNH.Low","stock_data$UNH.Close","stock_data$UNH.Volume","stock_data$UNH.Adjusted"
"1",30.92,31.799999,28.309999,28.4,149131600,26.365376
"2",28.309999,31.719999,27.129999,30.450001,184052600,28.268511
"3",30.889999,33.790001,30.82,31.719999,175165600,29.447525
"4",32.009998,35.939999,31.84,35.110001,160229900,32.714865
"5",35.07,37.950001,33.939999,36.049999,171901700,33.590739
"6",36.27,37.5,34.5,36.52,180833400,34.028677
"7",37.139999,38.060001,34.939999,36.110001,159579700,33.757545
"8",36.380001,42.439999,36.369999,41.049999,162433900,38.375718
"9",41.360001,44.330002,40.900002,42.580002,125298200,39.806046
"10",42.560001,45.75,41.459999,45.200001,121843800,42.376965
"11",45.5,49.400002,43.299999,49.23,136937300,46.155264
"12",49.400002,51.459999,46.970001,48.950001,158332700,45.892753
"13",48.700001,52.639999,47.57,51.580002,165969400,48.518617
"14",51.84,53.5,48.110001,49.630001,148267000,46.684353
"15",50.279999,50.360001,41.27,47.52,231912900,44.699586
"16",47.580002,51.240002,44.09,46.119999,178852800,43.533079
"17",45.77,50,41.32,47.990002,181413500,45.298191
"18",46.810001,48.880001,43.419998,48.77,144450500,46.034439
"19",48.59,51.709999,47.630001,50.68,132044300,47.999526
"20",51.240002,54.18,49.82,51.790001,156819300,49.050818
"21",52.16,56.16,50.68,55.75,132436700,52.801372
"22",55.75,59.43,53.400002,58.939999,139862700,55.986341
"23",58.939999,59.709999,55.48,56.150002,134294800,53.336159
"24",56.27,57.419998,53.779999,55.77,115177500,52.975201
"25",55.220001,60.75,54.689999,58.5,165413900,55.773782
"26",58.889999,59.310001,50.889999,51.09,165278500,48.709103
"27",51.209999,55.029999,50.32,54.299999,120000500,51.76951
"28",54.400002,56.75,52.580002,55.41,133898300,53.041757
"29",55.720001,58.290001,55.34,56,107598600,53.606541
"30",55.860001,57.240002,51.09,54.389999,137959500,52.065352
"31",54.560001,55.82,53.279999,54.240002,94058200,52.128726
"32",54.880001,56.689999,51.360001,55.209999,161036700,53.060967
"33",55.740002,58.259998,52.509998,53.450001,120496500,51.369476
"34",53.34,57.310001,52.880001,57.209999,109815200,55.196534
"35",57.16,63.950001,57.009998,59.93,157336600,57.820807
"36",59.959999,64.900002,58.869999,62.630001,119800600,60.425783
"37",62.889999,66.190002,60.950001,65.480003,103889300,63.453834
"38",65.889999,73.660004,64.650002,72.849998,116538400,70.595777
"39",73.230003,73.669998,71,71.739998,70393400,69.520123
"40",71.809998,75.879997,70.400002,71.610001,88995300,69.655483
"41",71.739998,75.489998,66.720001,68.260002,154282100,66.396919
"42",68.269997,74.989998,67.949997,74.480003,77403500,72.447152
"43",73.639999,75.540001,70.199997,75.300003,87821400,73.523988
"44",74.910004,77.330002,70.839996,72.279999,111391100,70.575213
"45",72.139999,77.709999,69.57,77.269997,100618500,75.447518
"46",76.699997,83.32,75.650002,81.989998,104454400,80.34543
"47",82.349998,83.050003,73.610001,75.040001,112716600,73.534837
"48",75.050003,79.739998,74.260002,79.629997,73562500,78.032766
"49",79.769997,82.540001,77.529999,81.75,75611400,80.486729
"50",81.739998,87.239998,80.550003,81.050003,87663600,79.797549
"51",81.139999,87.230003,78.739998,86.68,69078600,85.340546
"52",87.120003,88.849998,85.580002,86.25,67055400,85.278293
"53",86,95.669998,80.720001,95.010002,108326400,93.939603
"54",95.449997,99.419998,93.010002,98.629997,68331700,97.518815
"55",98.75,104,95.75,101.089996,81173900,100.327972
"56",101.5,114.32,98.459999,106.25,100742400,105.449079
"57",106.730003,116.580002,105.07,113.629997,76120800,112.773445
"58",113.629997,123.760002,111.650002,118.290001,83244700,117.791098
"59",119.519997,122.32,111.120003,111.400002,86883100,110.930158
"60",112.290001,121.849998,111.739998,120.209999,72260800,119.702998
"61",120.540001,120.559998,115.360001,118.550003,27883800,118.050004
