"","stock_data$GIS.Open","stock_data$GIS.High","stock_data$GIS.Low","stock_data$GIS.Close","stock_data$GIS.Volume","stock_data$GIS.Adjusted"
"1",37.700001,38.98,34.950001,35.52,98077000,30.144583
"2",35.610001,36.830002,33.84,34.200001,122168600,29.24909
"3",35.029999,36.200001,33.110001,36.16,122674800,30.925353
"4",36.41,37.43,35.52,36.540001,106456500,31.250344
"5",36.860001,37.700001,36.450001,37.560001,75496900,32.366172
"6",37.700001,37.700001,34.82,35.330002,96009500,30.444538
"7",35.639999,36.779999,34.959999,35.59,93683100,30.668584
"8",35.75,37.23,34.720001,34.779999,106141300,30.201514
"9",34.93,37.450001,34.540001,37.139999,92868400,32.250841
"10",37.27,37.48,35.029999,36.549999,85968600,31.738509
"11",36.549999,38.75,35.889999,38.580002,82984300,33.760477
"12",38.68,40,38.290001,39.77,74115100,34.801818
"13",39.610001,39.630001,36.549999,37.220001,95953300,32.570372
"14",36.880001,38,36.59,37.349998,92806400,32.953588
"15",37.91,38.09,34.639999,37.91,127749500,33.447673
"16",37.939999,39.880001,36.540001,38.490002,133537400,33.959403
"17",38.259998,40.25,37.369999,38.529999,100186800,34.269461
"18",38.110001,39.950001,37.900002,39.950001,70520900,35.532443
"19",39.91,40.799999,38.52,40.41,74874000,35.941577
"20",40.59,41.060001,39.630001,39.830002,63585800,35.693062
"21",40.16,40.41,37.759998,38.310001,115105800,34.330937
"22",38.360001,39.59,37.91,39.450001,92839700,35.35253
"23",39.16,39.900002,38.41,38.889999,72850400,35.120578
"24",39.060001,39.720001,38.200001,38.279999,87186000,34.569702
"25",38.09,38.959999,36.75,38.540001,91345000,34.804504
"26",38.41,39.330002,37.720001,38.700001,87241200,35.246933
"27",38.790001,39.759998,37.900002,39.330002,87794600,35.820722
"28",39.150002,40.759998,38.779999,39.849998,91128800,36.294321
"29",39.790001,40.619999,39.07,40.080002,69459800,36.805032
"30",40.169998,40.990002,39.139999,40.990002,77233500,37.640675
"31",41.029999,41.880001,39.75,40.419998,72698200,37.117247
"32",40.900002,42.240002,40.439999,41.939999,73881700,38.821002
"33",42.310001,46.470001,41.720001,46.25,79160000,42.810477
"34",46.220001,49.369999,45.509998,49.310001,90178800,45.642912
"35",48.25,50.900002,48.130001,50.419998,77897800,46.988504
"36",50.450001,50.970001,47.080002,47.080002,81324600,43.875822
"37",47.139999,50.02,46.18,48.529999,77568500,45.227135
"38",48.540001,52.380001,48.529999,52,59368100,48.839496
"39",53.029999,53.07,48.25,49.32,66850300,46.322384
"40",49.669998,50.360001,47.5,47.919998,80060500,45.007473
"41",47.73,51.119999,47.310001,50.419998,63175000,47.733495
"42",50.549999,51.66,49.200001,50.43,53448700,47.742964
"43",50.220001,51.959999,48.240002,49.91,66391500,47.25067
"44",49.599998,49.939999,47.720001,48.02,76145400,45.810582
"45",48.07,50.32,46.700001,50.029999,53813200,47.7281
"46",49.52,52,49.439999,51.82,71871600,49.435742
"47",51.650002,53.389999,50.970001,53.02,67335800,50.983679
"48",53.220001,54.98,52.450001,54.93,45191200,52.820322
"49",54.869999,55.639999,51.5,52.540001,65052400,50.522114
"50",52.18,53.650002,50.139999,50.150002,59323200,48.59689
"51",50.279999,53.650002,50.240002,53.380001,48356700,51.726859
"52",53.400002,53.84,49.860001,50.450001,74338500,48.887598
"53",49.709999,52,48.32,51.959999,65511200,50.765619
"54",52,53.439999,50.43,52.75,52778500,51.53746
"55",52.529999,54.610001,51.080002,53.330002,66495500,52.10413
"56",53.099998,55.59,51.900002,52.48,71595400,51.672493
"57",52.650002,53.84,51.900002,53.790001,51236300,52.962337
"58",53.610001,57.25,51.43,56.599998,77305300,55.729098
"59",56.389999,57.73,55.110001,55.34,53216800,54.919383
"60",55.509998,57.25,54.939999,56.150002,38872800,55.723228
"61",56.32,56.389999,54.139999,55.09,16067900,54.671283
