"","stock_data$MET.Open","stock_data$MET.High","stock_data$MET.Low","stock_data$MET.Close","stock_data$MET.Volume","stock_data$MET.Adjusted"
"1",39.599998,42.060001,37.669998,37.759998,100621500,33.363641
"2",37.950001,42.290001,36.220001,42.060001,156100200,37.162999
"3",41.720001,43.119999,35.380001,37.650002,313061100,33.266451
"4",38.060001,41.790001,37.759998,38.450001,168279700,33.973307
"5",38.790001,40.990002,38.23,40.330002,211138400,35.634421
"6",40.900002,42.959999,37.330002,38.150002,153517100,34.299889
"7",38.91,45.09,38.52,44.439999,148070400,39.955097
"8",44.950001,47.290001,44.77,45.77,103615500,41.150875
"9",46.240002,48.720001,45.09,47.360001,112520200,42.580411
"10",47.5,47.610001,41.25,44.73,456466200,40.215831
"11",44.950001,46.790001,42.759998,46.790001,124947000,42.067936
"12",46.98,47.099998,42.919998,44.099998,142143400,39.64941
"13",43.759998,44.040001,39.130001,43.869999,183386100,39.442622
"14",43.939999,44.560001,39.509998,41.209999,152575400,37.05107
"15",41.73,41.98,30.120001,33.599998,311856200,30.209074
"16",33.5,33.630001,26.389999,28.01,261621300,25.18322
"17",28.01,37.400002,25.610001,35.16,320137600,31.611639
"18",32.919998,35.189999,27.67,31.48,228255700,28.918489
"19",31.379999,33.700001,28.93,31.18,172832500,28.642901
"20",32.07,37.32,31.35,35.330002,221766900,32.455219
"21",35.639999,39.209999,35.419998,38.549999,154143000,35.413207
"22",38.82,39.549999,36.529999,37.349998,206095300,34.310849
"23",37.419998,38.290001,34.299999,36.029999,149081400,33.098257
"24",35.889999,36.459999,28.9,29.209999,238377900,26.833197
"25",28.540001,31.190001,27.6,30.85,208798400,28.339753
"26",31.309999,31.49,28.33,30.77,143822500,28.266262
"27",30.82,35.900002,30.07,34.130001,186706800,31.352861
"28",34.139999,36.52,33.689999,34.459999,196406800,31.656008
"29",34.75,37.41,33.880001,35.490002,228094900,32.602199
"30",35.43,35.75,30.549999,33.189999,212510900,31.147328
"31",33.349998,34.330002,31.790001,32.939999,233580700,30.912714
"32",34.040001,38.110001,33.93,37.34,181224400,35.041918
"33",37.830002,38.25,33.889999,35.439999,176157200,33.420705
"34",35.32,40.639999,34.759998,38.02,197817700,35.853704
"35",38.040001,39.439999,35.25,38.990002,174053200,36.768437
"36",38.970001,45.259998,38.369999,44.209999,174917000,41.974273
"37",44.669998,46.16,42.459999,45.759998,169170500,43.445887
"38",46.150002,49.860001,46.009998,48.419998,137730000,45.971369
"39",49.07,51.650002,45.52,46.189999,132606000,44.098739
"40",46.84,50.790001,46.360001,46.950001,141301300,44.824332
"41",46.950001,49.810001,45.75,47.310001,123277900,45.168034
"42",47.419998,53.110001,47.110001,52.189999,124291900,50.11378
"43",52.419998,54.32,50.130001,53.919998,117372500,51.774957
"44",53.549999,54.700001,48.34,49.049999,112347900,47.098696
"45",49.060001,51.759998,46.98,50.669998,122689400,48.940237
"46",49.900002,54.799999,49.66,52.799999,125837700,50.997524
"47",54.43,54.450001,48.75,52.349998,134710800,50.562885
"48",51.080002,52.470001,49.060001,50.93,127805100,49.538549
"49",51.200001,56.869999,51.02,55.560001,131650800,54.042054
"50",55.59,57.57,52.400002,52.599998,112841200,51.162921
"51",52.299999,54.990002,50.810001,54.740002,108100600,53.607583
"52",54.880001,56.59,53.07,53.720001,103853400,52.608684
"53",53.490002,54.310001,46.150002,54.240002,178140500,53.117927
"54",54.52,56.599998,53.509998,55.610001,93499900,54.81381
"55",55.150002,57.009998,50.630001,54.09,135918500,53.315572
"56",54.48,54.759998,46.099998,46.5,189716900,45.834241
"57",46.709999,51.73,46.580002,50.830002,141629900,50.461881
"58",50.830002,53.34,49.98,50.549999,141468900,50.183906
"59",50.25,52.48,49.919998,51.290001,118601300,50.918548
"60",51.75,53.869999,50.700001,52.259998,117270900,52.259998
"61",52.09,56.27,51.900002,56.23,54262500,56.23
