"","stock_data$NBR.Open","stock_data$NBR.High","stock_data$NBR.Low","stock_data$NBR.Close","stock_data$NBR.Volume","stock_data$NBR.Adjusted"
"1",20.43,22.129999,17.530001,17.620001,97235600,17.113091
"2",17.530001,19.040001,16.870001,18.41,138180400,17.880362
"3",18.85,18.889999,15.54,15.68,130453600,15.228902
"4",16.02,19.129999,15.95,18.059999,91954300,17.540431
"5",18.33,20.99,17.360001,20.9,122692400,20.298727
"6",21.129999,22.49,20.58,22.09,86666300,21.454493
"7",22.6,24.07,21.540001,23.459999,76299800,22.785078
"8",23.74,24.610001,21.5,24.4,90982300,23.698036
"9",24.67,28.799999,24.48,28.469999,110221500,27.650945
"10",28.66,30.700001,25.639999,30.379999,114862200,29.505996
"11",30.6,32.470001,28.93,30.639999,114202400,29.758517
"12",30.780001,30.85,25.5,27.889999,110740800,27.087632
"13",27.799999,27.99,22.43,24.639999,130885100,23.931131
"14",24.48,27.629999,23.639999,26.41,104672200,25.65021
"15",26.940001,27.139999,16.200001,18.440001,182027200,17.9095
"16",18.540001,18.860001,12.26,12.26,161444600,11.907292
"17",12.12,20.040001,11.05,18.33,206069400,17.802664
"18",17.25,21,15.96,17.940001,172484500,17.423884
"19",17.860001,19.01,16.040001,17.34,113696000,16.841145
"20",17.98,19.940001,16.360001,18.620001,151238900,18.084322
"21",18.799999,22.73,18.24,21.780001,162812900,21.153411
"22",21.84,22.27,16.82,17.49,163672400,16.98683
"23",17.4,17.84,15.19,16.65,129166300,16.170996
"24",16.68,17.51,13,13.55,161140000,13.16018
"25",13.11,14.49,12.4,14.4,160442500,13.985726
"26",14.46,14.8,12.77,13.84,164639200,13.441837
"27",13.97,16.549999,13.26,14.77,185206200,14.345082
"28",14.72,16.83,13.65,14.03,101826900,13.62637
"29",14.16,15.5,13.45,13.49,125914000,13.101906
"30",13.46,14.86,12.75,14.7,82894400,14.277095
"31",14.81,15.01,13.5,14.45,81522800,14.034288
"32",14.89,16.940001,14.35,16.67,105080800,16.190421
"33",16.709999,18.24,15.41,16.76,102356000,16.277832
"34",16.559999,17.280001,15.3,16.219999,97259700,15.792215
"35",16.200001,16.889999,14.34,14.79,112623400,14.399931
"36",14.63,17.35,14.37,16.01,83420900,15.587755
"37",16.139999,16.9,14.99,15.31,72734200,14.942774
"38",15.41,16.26,14.5,15.39,107731400,15.020855
"39",15.57,16.059999,15.16,15.4,60937000,15.030615
"40",15.63,16.719999,15.21,16.059999,69193000,15.71555
"41",16.059999,18.07,16.059999,17.48,95802000,17.105094
"42",17.540001,18.33,16.450001,16.549999,56611700,16.195041
"43",16.629999,17.049999,15.32,16.99,73156000,16.666936
"44",16.92,17.690001,16.43,17.08,79845000,16.755225
"45",17.110001,23.18,16.530001,23.02,125163500,22.582276
"46",22.860001,25.059999,21.67,24.65,103564300,24.2235
"47",24.719999,26.18,23.360001,25.52,108299800,25.078448
"48",25.76,26.41,24.450001,26.23,83775900,25.776162
"49",26.34,29.9,25.98,29.370001,82588200,28.905335
"50",29.959999,30.24,27.15,27.16,76027300,26.730299
"51",27.34,27.549999,25.25,27.209999,69369600,26.779507
"52",27.1,27.34,22.51,22.76,133208500,22.45233
"53",22.76,23.08,16.17,17.85,198125900,17.608703
"54",17.99,18.469999,12.87,13.12,153330500,12.942643
"55",13.3,13.7,9.91,12.98,264469900,12.867767
"56",12.82,13.09,9.96,11.51,233023900,11.410478
"57",11.65,14.09,11.33,12.81,192639300,12.699238
"58",12.81,14,11.41,13.65,242299500,13.594095
"59",13.74,16.950001,13.7,16.700001,181721400,16.631605
"60",16.6,16.99,14.31,14.75,129234800,14.689591
"61",14.75,15.34,14.4,15.13,42480000,15.13
