"","stock_data$AMT.Open","stock_data$AMT.High","stock_data$AMT.Low","stock_data$AMT.Close","stock_data$AMT.Volume","stock_data$AMT.Adjusted"
"1",42.490002,46.209999,42.360001,44.5,66191800,42.004717
"2",44.330002,47.209999,43.259998,46.240002,83561000,43.64715
"3",46.810001,48.330002,44.27,46.860001,67225100,44.232383
"4",47.32,52.32,47.040001,51.259998,62702400,48.385656
"5",51.450001,52.34,49.380001,51.610001,57429100,48.716033
"6",51.790001,53.52,50,50.57,56327500,47.734348
"7",51.490002,52.48,48.830002,51.639999,48708700,48.744349
"8",51.91,52.48,48.779999,50.860001,60468200,48.008088
"9",51.080002,56.84,51.049999,53.959999,54794900,50.934258
"10",53.990002,54.119999,45.849998,51.82,108233500,48.914256
"11",51.98,53.139999,49.080002,52.310001,62073600,49.376782
"12",52.509998,55.509998,51.23,55.48,64002500,52.369026
"13",55.459999,55.52,49.189999,52.330002,84799000,49.395661
"14",52.599998,54.389999,51.099998,52.529999,42744800,49.584443
"15",52.919998,54.889999,46.040001,53.860001,94981800,50.839867
"16",54.060001,56.209999,51.450001,53.799999,78028400,50.78323
"17",53.75,57.279999,51.049999,55.099998,67707100,52.010333
"18",53.490002,59.610001,53.02,59,61411900,55.691647
"19",58.779999,60.91,56.990002,60.009998,61122000,56.981326
"20",60.450001,63.630001,57.98,63.509998,67985700,60.304683
"21",63.709999,64.550003,61.75,62.580002,61268500,59.421623
"22",62.610001,64,61.27,63.02,61609300,59.839415
"23",63.060001,65.589996,61.560001,65.580002,43670400,62.477123
"24",65.639999,68.519997,64.150002,64.879997,59543200,61.810239
"25",63.619999,70.650002,62.540001,69.910004,48022100,66.813356
"26",70.129997,73.040001,68.650002,72.309998,57776500,69.107043
"27",70.860001,75.620003,68.870003,70.400002,56418700,67.281649
"28",70.480003,73.199997,69.839996,71.389999,42187300,68.450413
"29",71.610001,76.220001,70.449997,75.290001,47699400,72.189827
"30",75.169998,76.040001,71.760002,74.93,44229600,71.84465
"31",75,77.269997,73.519997,77.269997,37772300,74.322412
"32",78.389999,79.980003,75.370003,76.150002,47708600,73.245141
"33",76.610001,78.309998,72.559998,77.599998,57424500,74.639826
"34",77.540001,79.349998,73.910004,76.919998,42734300,73.985765
"35",76.970001,84.290001,76.599998,83.989998,41497500,81.056884
"36",78.540001,85.260002,77.839996,77.839996,45106800,75.121654
"37",77.830002,79.050003,69.540001,73.169998,80458700,70.871246
"38",73.43,78.330002,69.739998,70.790001,117683900,68.56602
"39",71.400002,72.510002,67.889999,69.489998,69021100,67.306859
"40",69.82,75.989998,68.690002,74.129997,60693700,72.067472
"41",74.129997,81.360001,71.550003,79.349998,59663400,77.142236
"42",79.449997,80.43,76.220001,77.769997,44546400,75.606195
"43",77.629997,80.129997,75.650002,79.82,43255800,77.889458
"44",79.510002,84.650002,78.599998,80.879997,51783400,78.923818
"45",80.739998,84.900002,78.379997,81.470001,42835400,79.499552
"46",81.080002,82.989998,80.010002,81.870003,44761900,79.889879
"47",81.980003,84.269997,80.099998,83.519997,44888900,81.824543
"48",84.050003,90,83.699997,89.629997,37601800,87.810511
"49",89.669998,90.730003,87.050003,89.980003,32108100,88.494395
"50",90.080002,97.559998,89.050003,94.389999,35240800,92.83158
"51",94.470001,99.900002,93.879997,98.599998,39678400,96.97207
"52",99.129997,99.900002,92.779999,93.629997,42435900,92.431178
"53",93.860001,100.360001,90.199997,97.5,48857900,96.25163
"54",95.830002,106.309998,95.720001,105.010002,38550600,103.665476
"55",103.75,105.089996,95.580002,98.849998,42336100,97.956766
"56",99.160004,101.879997,95.870003,96.949997,44564500,96.073933
"57",96.949997,100.800003,94.050003,99.139999,73198600,98.244146
"58",99.139999,99.889999,93.209999,94.150002,59203700,93.299239
"59",96.260002,98.639999,93.5,94.529999,46522500,94.083718
"60",94.650002,95.769997,92.099998,92.790001,51562100,92.351935
"61",92.699997,95.690002,91.989998,92.699997,23027800,92.262356
