"","stock_data$SO.Open","stock_data$SO.High","stock_data$SO.Low","stock_data$SO.Close","stock_data$SO.Volume","stock_data$SO.Adjusted"
"1",32.869999,34.360001,32.59,33.279999,61629400,26.445916
"2",33.330002,36.779999,33,35.330002,103340600,28.428459
"3",35.490002,37,35.189999,36.689999,91749600,29.522787
"4",36.84,37.73,36.540001,37.240002,74395300,29.96535
"5",37.32,38.619999,37.099998,37.869999,87841200,30.838642
"6",37.93,38.48,37.32,37.720001,66917200,30.716494
"7",38.029999,38.490002,37.43,38.23,66404200,31.131801
"8",38.369999,38.790001,37.549999,37.619999,105440700,30.635059
"9",37.849998,38.189999,37.049999,38.110001,71487400,31.414023
"10",37.950001,38.619999,36.509998,38.110001,88640200,31.414023
"11",38.150002,39.049999,37.43,39.040001,71050500,32.576629
"12",39.169998,40.869999,38.849998,40.080002,85906000,33.44445
"13",40.029999,40.41,39.049999,40.380001,78739200,33.694782
"14",40.41,40.869999,39.43,39.540001,78077700,33.386685
"15",39.790001,41.41,35.73,41.360001,200707700,34.923452
"16",41.360001,43.09,40.310001,42.369999,131396900,35.776272
"17",42.490002,43.950001,41,43.200001,147831200,36.477107
"18",42.91,43.970001,42.110001,43.91,82919100,37.486775
"19",43.93,46.689999,43.740002,46.290001,81886800,39.518626
"20",45.869999,46.060001,44.330002,45.560001,126067700,38.895411
"21",45.57,45.68,43.849998,44.189999,74199300,38.123175
"22",44.18,45.5,43.709999,44.93,83186400,38.761582
"23",44.919998,46,44.220001,45.939999,99448900,39.632918
"24",46.02,46.299999,44.950001,45.91,84416800,40.034422
"25",45.619999,48.450001,45.619999,46.299999,84688300,40.374509
"26",46.450001,48.59,46.25,48.150002,100953500,41.987747
"27",48.299999,48.57,45.099998,45.330002,76704500,39.937282
"28",45.299999,46.400002,44.639999,46.09,74512500,40.606866
"29",46.080002,47.09,45.310001,46.84,77943700,41.267642
"30",46.700001,46.700001,41.75,43.549999,118080800,38.774666
"31",43.57,44.139999,42.040001,42.810001,90943200,38.11581
"32",43.34,45,42.82,44.23,130540400,39.818256
"33",44.290001,45.25,43.369999,45.009998,68007500,40.520453
"34",44.880001,46.950001,44.549999,46.919998,64909600,42.239939
"35",46.84,48.740002,46.57,48.23,102392600,43.419274
"36",48.290001,48.299999,43.709999,43.900002,83993700,39.944497
"37",43.990002,45.060001,42.32,44.130001,97161700,40.153773
"38",44.240002,45.75,42.93,44.84,108130200,40.799799
"39",44.459999,44.48,41.310001,41.619999,81966200,38.303017
"40",41.810001,42.959999,40.630001,41.18,87707700,37.898085
"41",41.299999,42.939999,40.360001,40.91,146238700,38.11075
"42",41.040001,42.470001,40.450001,40.630001,110535400,37.84991
"43",40.720001,41.709999,40.029999,41.110001,108626800,38.297066
"44",41.130001,41.869999,40.27,41.240002,106401400,38.900504
"45",41.279999,42.740002,40.700001,42.349998,72270000,39.947532
"46",42.220001,44,41.59,43.939999,89074200,41.447333
"47",43.880001,46.810001,43.18,45.830002,107293300,43.230119
"48",45.099998,45.450001,42.549999,43.779999,92002400,41.77496
"49",43.709999,45.580002,42.779999,45.380001,96348400,43.301685
"50",45.369999,45.470001,43.220001,43.290001,98797200,41.801904
"51",43.34,44.400002,41.869999,44.400002,82238400,42.873748
"52",44.32,44.82,43.040001,43.650002,85876100,42.14953
"53",43.799999,47.689999,43.549999,46.360001,169295100,45.278462
"54",46.419998,47.970001,46.299999,47.43,100343500,46.323499
"55",47.150002,51.279999,47.07,49.110001,108470800,47.964307
"56",49.189999,53.16,48.84,50.720001,110077100,49.536747
"57",50.650002,51.139999,45.220001,45.790001,130303700,45.216835
"58",45.799999,45.799999,43.549999,44.279999,125309800,43.725734
"59",44.349998,45.439999,43.799999,44.299999,97937400,43.745484
"60",44.240002,45.330002,42.73,43.689999,114874700,43.689999
"61",43.77,43.919998,42.299999,42.34,47521700,42.34
