"","stock_data$AIZ.Open","stock_data$AIZ.High","stock_data$AIZ.Low","stock_data$AIZ.Close","stock_data$AIZ.Volume","stock_data$AIZ.Adjusted"
"1",34.490002,38.009998,34.200001,34.700001,25967200,31.582991
"2",34.75,37.98,33.950001,37.290001,35533200,33.940339
"3",37.759998,38.349998,35.110001,36.560001,26244500,33.424799
"4",36.98,41.240002,36.77,40.700001,21944700,37.209773
"5",41.130001,41.869999,39.459999,39.540001,20959200,36.149249
"6",39.669998,41.549999,33.43,35.27,38851800,32.394274
"7",35.82,39.080002,35.610001,38.52,24332800,35.379287
"8",38.830002,40.330002,37.540001,39.23,19804000,36.031396
"9",39.389999,41.900002,38.619999,40.630001,16500800,37.465629
"10",40.73,40.990002,36.82,38.509998,28513400,35.510738
"11",38.75,40.110001,36.880001,39.700001,18986300,36.60806
"12",39.869999,39.990002,36.68,36.990002,15802800,34.271676
"13",36.900002,37.07,34.27,36.27,22104400,33.604586
"14",36.34,36.720001,33.59,35.619999,19891300,33.002352
"15",36.009998,36.119999,30.65,35.169998,32804600,32.757273
"16",35.169998,36.700001,32.310001,35.799999,27900100,33.344055
"17",35.459999,41.310001,33.259998,38.540001,21908500,35.896088
"18",37.330002,39.330002,35.73,39.240002,18324900,36.725486
"19",38.98,41.73,38.349998,41.060001,15587800,38.428859
"20",41.77,42.060001,37.580002,39.599998,20164000,37.062414
"21",39.779999,44.540001,39.610001,42.470001,18235100,39.913437
"22",42.740002,43.630001,39.66,40.5,29935800,38.062024
"23",40.389999,41.669998,38,40.34,22185000,37.911656
"24",40.549999,40.84,32.860001,33.380001,31793600,31.566462
"25",32.709999,35.279999,32.41,34.84,22899000,32.947139
"26",35.049999,36.529999,32.799999,36.209999,15931200,34.242706
"27",36.439999,37.209999,33.360001,35.25,22608600,33.538715
"28",35.189999,38.310001,34.84,37.299999,15576500,35.489193
"29",37.439999,41.360001,37,37.810001,17836100,35.974436
"30",37.950001,38.43,33.619999,34.209999,20540700,32.749126
"31",34.279999,35.84,33.68,34.700001,15245300,33.218203
"32",35.279999,38.98,34.830002,38.240002,17285000,36.607035
"33",38.509998,42.380001,37.939999,41.990002,21820000,40.402384
"34",41.740002,45.049999,41.290001,45.009998,18195100,43.308196
"35",45.009998,47.860001,44.740002,47.540001,16957900,45.742541
"36",47.689999,51.189999,47.23,49.740002,14565800,48.10015
"37",49.84,51.919998,48.41,50.91,10256400,49.231575
"38",51.169998,54.43,50.200001,54.16,10132200,52.374428
"39",54.549999,56.119999,52.939999,53.040001,12718100,51.526204
"40",53.73,56.419998,53.049999,54.099998,11350000,52.555948
"41",54.189999,60.259998,53.77,58.48,13530100,56.810941
"42",58.740002,65.379997,58.27,64.940002,9535900,63.331437
"43",64.959999,66.730003,63.080002,66.370003,12982500,64.726016
"44",66.040001,68.949997,64.050003,65.349998,13236200,63.731278
"45",65.43,65.93,59.169998,65.629997,14584700,64.256127
"46",64.900002,69.260002,63.459999,64.959999,12476700,63.600154
"47",65.32,67.910004,62.540001,67.410004,11694500,65.998872
"48",67.389999,68.629997,65.43,67.809998,9218800,66.6609
"49",67.970001,69.709999,65.169998,65.550003,12821100,64.439203
"50",65.980003,66.989998,63.27,63.360001,12456200,62.286312
"51",63.09,66.980003,63.02,66.75,8155300,65.889769
"52",66.779999,67.279999,64.040001,64.300003,9406100,63.471346
"53",64.110001,68.43,60.16,68.220001,12889300,67.340826
"54",68.43,69.260002,67.160004,67.589996,10961900,66.985147
"55",67.160004,69.940002,64.879997,68.43,11048000,67.817634
"56",68.519997,68.82,63.369999,63.509998,11064400,62.94166
"57",63.57,67.190002,59.82,61.27,14304100,60.993593
"58",61.27,62.939999,59.990002,61.41,12163500,61.132961
"59",61.07,63.009998,59.73,61.459999,10419900,61.182735
"60",61.849998,66.860001,61.200001,65.849998,15468900,65.849998
"61",66.019997,67.660004,65.220001,67.550003,4231000,67.550003
