"","stock_data$CTL.Open","stock_data$CTL.High","stock_data$CTL.Low","stock_data$CTL.Close","stock_data$CTL.Volume","stock_data$CTL.Adjusted"
"1",34.189999,35.240002,33.279999,33.310001,43931400,23.814413
"2",33.32,35.950001,32.919998,35.619999,70087400,25.465906
"3",35.849998,36.549999,35.540001,36.16,78300600,25.85197
"4",36.380001,40,35.93,39.459999,75556200,28.779312
"5",39.619999,41.540001,39.18,41.380001,68884700,30.179625
"6",41.57,43.279999,41.25,42.990002,70815400,31.353844
"7",43.490002,46.869999,42.93,46.169998,90535100,34.237504
"8",46.360001,46.779999,41.650002,43.240002,84171300,32.064756
"9",43.509998,45.34,39.450001,41.18,85084900,31.050774
"10",41.27,42.189999,39.450001,41.549999,110050400,31.329762
"11",41.630001,41.82,38.66,40.779999,104451300,30.749162
"12",41.150002,43.490002,39.279999,43.189999,108726600,32.566364
"13",43.209999,43.299999,38.970001,40.43,98545100,31.012052
"14",40.439999,41.32,36.419998,37.110001,115360600,28.465428
"15",37.610001,37.77,31.75,36.150002,213223200,27.729056
"16",35.34,35.439999,32.490002,33.119999,132162500,25.924806
"17",33,36.029999,31.16,35.259998,114676800,27.599899
"18",34.48,38.009998,34.110001,37.52,167524500,29.368924
"19",37.34,37.529999,34.810001,37.200001,118295800,29.701535
"20",37.66,38.040001,36.25,37.029999,106608000,29.565801
"21",37.16,40.540001,36.57,40.25,156180200,32.136741
"22",40.32,40.419998,38.040001,38.650002,94495300,31.430361
"23",38.689999,39.040001,37.759998,38.560001,77401900,31.357172
"24",38.580002,39.889999,37.790001,39.220001,122610200,31.893887
"25",37.990002,39.630001,36.91,39.490002,110311800,32.718266
"26",39.490002,41.84,38.959999,41.540001,106737100,34.416731
"27",41.709999,43.43,41.240002,42.259998,138221500,35.013264
"28",42.220001,43.080002,40.02,40.400002,106426700,34.046933
"29",40.150002,40.41,38.02,38.380001,98294600,32.344586
"30",38.389999,40.490002,36.52,38.84,102216600,32.732249
"31",38.990002,40.16,37.610001,39.119999,102634700,33.595483
"32",39.900002,40.880001,39.419998,40.450001,93079000,34.737662
"33",40.740002,42.009998,32.049999,34.669998,248457200,29.77391
"34",34.529999,35.84,34,35.130001,115880500,30.633618
"35",35.110001,37.900002,34.66,37.57,111063100,32.761314
"36",37.470001,38.400002,34.130001,34.150002,143853200,30.230376
"37",34.119999,36.59,33.830002,35.349998,104958600,31.292641
"38",35.32,36.490002,34.900002,35.849998,82136600,31.735253
"39",36.060001,36.450001,32.259998,33.119999,135426000,29.318594
"40",33.32,33.34,31.209999,31.379999,99007300,28.241707
"41",31.34,34.18,31.01,33.860001,98623500,30.473685
"42",33.84,34.060001,30.540001,30.700001,105332400,28.107003
"43",30.629999,32.099998,29.93,31.85,126327200,29.159871
"44",31.74,31.82,28.309999,28.860001,117232700,26.422414
"45",28.9,31.48,27.93,31.26,115728300,28.619704
"46",31.02,32.98,30.34,32.84,111685700,30.584635
"47",32.810001,34.93,32.450001,34.91,99323000,32.512473
"48",34.91,38.209999,34.419998,37.669998,126666100,35.082922
"49",37.740002,38.099998,35.689999,36.200001,72016600,34.199489
"50",36.220001,45.669998,35.700001,39.240002,124246800,37.071491
"51",39.110001,41.689999,38.25,40.990002,75641500,39.239841
"52",41.07,41.5,39.450001,40.889999,80895300,39.144109
"53",40.720001,41.990002,37.639999,41.48,66310100,39.708918
"54",41.529999,41.970001,38.330002,40.77,60655300,39.548598
"55",40.82,41.5,37.560001,39.580002,63158000,38.39425
"56",39.830002,40.040001,36.810001,37.169998,67645700,36.056446
"57",37.32,40.59,36.209999,37.860001,109894700,36.725777
"58",38.060001,38.330002,34.040001,34.549999,107475700,34.002231
"59",34.509998,37,34.419998,35.959999,75164300,35.389876
"60",36.16,36.389999,33.009998,33.240002,84527200,33.240002
"61",33.240002,33.369999,31.83,32.259998,32438500,32.259998
