"","stock_data$SE.Open","stock_data$SE.High","stock_data$SE.Low","stock_data$SE.Close","stock_data$SE.Volume","stock_data$SE.Adjusted"
"1",20.1,22.120001,20,20.07,52400800,16.552119
"2",20.1,21.76,19.67,20.790001,83258800,17.145918
"3",21.17,22.110001,20.190001,20.34,81534800,16.969307
"4",20.57,22.809999,20.57,22.549999,60825600,18.81307
"5",22.76,24,22.370001,23.77,57051600,19.830896
"6",23.959999,24.77,23.48,23.77,51292100,20.035002
"7",24.17,25.450001,24.129999,24.99,54805900,21.063302
"8",25.200001,26.299999,24.440001,26.23,60099000,22.108459
"9",26.309999,26.75,25.51,26.75,60175100,22.771527
"10",26.83,27.5,25.16,27.18,72599100,23.137574
"11",27.530001,29.15,26.709999,29.040001,63811200,24.720941
"12",29.24,29.24,26.65,27.59,72587700,23.701462
"13",27.48,27.58,26.17,27.41,77674700,23.546831
"14",27.43,28,26.620001,27.02,54806700,23.211798
"15",27.309999,27.389999,22.799999,25.969999,126430200,22.550972
"16",26,26.299999,24.08,24.530001,104584800,21.300554
"17",24.440001,29.75,23.17,28.629999,89684100,24.860775
"18",27.809999,29.83,27.530001,29.42,93644600,25.792328
"19",29.379999,31.33,28.85,30.75,61411700,26.95833
"20",30.17,31.98,30.17,31.49,73321800,27.607083
"21",31.690001,31.91,30.25,31.379999,66131600,27.758808
"22",31.440001,32.27,30.83,31.549999,56706800,27.909191
"23",31.549999,31.790001,29.77,30.74,63495000,27.192664
"24",30.690001,31.57,28.23,28.709999,83891300,25.633329
"25",28.23,29.4,27.360001,29.059999,93352600,25.945822
"26",29.16,31,28.799999,30.690001,60286900,27.401146
"27",30.83,30.98,28.02,28.26,63367300,25.471529
"28",28.27,29.540001,28.139999,29.360001,63826900,26.46299
"29",29.450001,30.219999,28.709999,28.870001,55102200,26.021339
"30",28.799999,28.870001,26.559999,27.950001,75397700,25.463671
"31",28.030001,28.08,26.549999,27.379999,86884000,24.944374
"32",27.799999,28.4,26.860001,27.780001,126279500,25.308793
"33",27.93,29.940001,27.780001,29.040001,127436700,26.729918
"34",28.969999,30.940001,28.540001,30.75,74066300,28.30389
"35",30.700001,31.530001,29.75,31.530001,93334500,29.021843
"36",31.43,32.049999,30.540001,30.57,66858400,28.416443
"37",30.68,34.830002,29.620001,34.459999,106035800,32.032405
"38",34.759998,37.110001,34.259998,35.990002,88381300,33.454624
"39",36.23,36.48,32.990002,33.110001,75778600,31.044227
"40",33.330002,34.470001,32.57,34.23,64321000,32.094348
"41",34.200001,36.16,33.73,35.57,58548600,33.350744
"42",35.810001,36.009998,33.450001,33.549999,59662600,31.731643
"43",33.610001,35.740002,32.799999,35.619999,63955900,33.689453
"44",35.490002,36.349998,34.23,35.950001,59742600,34.001569
"45",35.93,38.049999,34.34,37.279999,65842700,35.575354
"46",37.139999,37.869999,36.09,36.939999,54263600,35.2509
"47",37.25,40.139999,37.169998,39.709999,51096400,37.894241
"48",39.580002,40.990002,38.099998,40.580002,51175000,39.057736
"49",40.75,42.610001,40.599998,42.48,54183400,40.886459
"50",42.610001,43.119999,40.91,40.919998,52313700,39.384978
"51",40.799999,41.689999,39.23,41.66,63188700,40.437933
"52",41.59,42.18,38.549999,39.259998,60883500,38.108333
"53",39.209999,40,34.459999,39.130001,90055600,37.98215
"54",39.040001,40,37.66,37.880001,61871800,37.121356
"55",37.68,37.790001,32.5,36.299999,117590800,35.572998
"56",36.439999,36.810001,32.43,33.439999,138764300,32.770276
"57",33.919998,36.900002,33.560001,35.490002,90894000,35.13539
"58",35.459999,36.900002,33.34,36.169998,87714100,35.808592
"59",36.23,38.470001,35.580002,37.25,62882700,36.877802
"60",37.279999,37.73,34.68,35.169998,73505000,35.169998
"61",35.200001,35.200001,33.68,33.68,25337900,33.68
