"","stock_data$RDC.Open","stock_data$RDC.High","stock_data$RDC.Low","stock_data$RDC.Close","stock_data$RDC.Volume","stock_data$RDC.Adjusted"
"1",23.58,25.92,21.790001,21.940001,56947400,21.502177
"2",21.790001,25.709999,20.440001,25.26,56558600,24.755924
"3",25.790001,27.9,24.360001,25.709999,41219600,25.196943
"4",26.92,31.24,26.85,30.360001,50561800,29.754151
"5",30.889999,33.490002,29.860001,32.900002,53375600,32.243465
"6",33.240002,33.439999,29.23,30.15,62270700,29.548341
"7",30.83,35.389999,30.629999,34.91,45718700,34.213353
"8",35.380001,35.400002,32.240002,34.279999,41818600,33.595924
"9",34.59,43.220001,34.490002,42.669998,63201900,41.818496
"10",42.799999,44.830002,39.099998,44.18,58005300,43.298366
"11",44.560001,44.830002,39.509998,41.700001,31952800,40.867856
"12",41.849998,42.209999,36.82,39.650002,54796800,38.858765
"13",39.490002,39.740002,35.419998,38.810001,44871700,38.035528
"14",38.599998,40.400002,36.279999,39.169998,48076500,38.388341
"15",39.860001,40.759998,30.469999,36.07,90015600,35.350204
"16",36.02,38.32,30.18,30.190001,56777700,29.587543
"17",29.68,36.709999,28.129999,34.490002,65391200,33.801736
"18",32.900002,36.110001,31.139999,33.91,55158100,33.233308
"19",33.779999,34.32,29.040001,30.33,34893200,29.724749
"20",31.219999,36.25,30.780001,34.009998,35154200,33.331311
"21",34.459999,39.400002,34.09,36.869999,54171600,36.134239
"22",36.950001,37.450001,32.02,32.93,53999400,32.272865
"23",32.75,35,30.84,34.529999,56415200,33.840935
"24",34.709999,36.220001,29.129999,30,56160900,29.401335
"25",29.139999,32.439999,28.620001,32.330002,45426300,31.68484
"26",32.240002,36.509998,32.080002,35.130001,37704400,34.428964
"27",35.23,36.23,33.869999,35.18,27478700,34.477965
"28",35.169998,39.400002,33.59,33.77,30848500,33.096103
"29",33.990002,34.73,31.01,31.709999,32651300,31.07721
"30",31.25,33.009998,30.049999,31.73,40828800,31.096811
"31",31.91,33.07,30.26,31.27,23373100,30.645991
"32",31.98,35.380001,31.549999,34.48,29918100,33.791933
"33",34.880001,36.849998,33.349998,34.59,23200500,33.899739
"34",34.73,36.349998,33.630001,35.360001,21386500,34.654374
"35",35.259998,35.450001,30.209999,32.529999,23774800,31.880846
"36",31.42,36.509998,30.610001,33.240002,23755500,32.57668
"37",33.389999,34.639999,32.48,34.07,21302100,33.390115
"38",34.299999,36.060001,33.860001,34.349998,19839500,33.664527
"39",34.73,36.700001,34.509998,35.419998,23319700,34.713174
"40",35.779999,38.650002,35.029999,36.720001,24795300,35.987235
"41",36.73,37.57,35.799999,36.080002,27509600,35.360007
"42",36.09,37.810001,34.279999,34.619999,25345400,33.929139
"43",34.630001,35.380001,32.75,35.360001,22913900,34.654374
"44",35.07,35.169998,31.18,31.370001,39155400,30.743996
"45",31.67,33.470001,31.129999,33.360001,27713500,32.694285
"46",33.200001,33.779999,31.27,33.68,31278300,33.007899
"47",33.720001,33.779999,30.01,30.92,40060800,30.302976
"48",30.82,31.950001,29.5,30.959999,46174500,30.440626
"49",31,32.849998,30.84,31.93,39644400,31.394355
"50",32.060001,32.16,30.52,30.52,35417300,30.008009
"51",30.379999,30.75,28.43,30.32,74227900,29.914803
"52",30.27,30.27,24.959999,25.309999,49180900,24.971756
"53",25.25,25.629999,21.190001,24.27,60529800,23.945656
"54",24.290001,25.35,21.540001,21.77,39908600,21.570311
"55",21.5,24.190001,19.5,23.32,49108300,23.106093
"56",23.15,24.35,20.01,21.120001,46180700,20.926274
"57",21.370001,25.129999,20.040001,21.610001,57038800,21.512921
"58",21.540001,21.549999,17.23,17.709999,71393600,17.63044
"59",17.84,21.49,17.559999,21.190001,68759200,21.094808
"60",21.09,24.309999,20.83,21.48,69850800,21.48
"61",21.49,22.610001,20.98,22.209999,19188500,22.209999
