"","stock_data$LH.Open","stock_data$LH.High","stock_data$LH.Low","stock_data$LH.Close","stock_data$LH.Volume","stock_data$LH.Adjusted"
"1",76.449997,80.940002,75.279999,75.349998,15174700,75.349998
"2",75.309998,78.650002,71.580002,72.980003,27281100,72.980003
"3",73.940002,77.389999,72.330002,72.620003,20890600,72.620003
"4",73.769997,78.940002,72.940002,78.43,25086000,78.43
"5",78.529999,81.5,75.75,81.32,23051500,81.32
"6",81.760002,84,80.080002,82.029999,17431000,82.029999
"7",83.730003,89.480003,82.459999,87.919998,18142900,87.919998
"8",88.349998,92.980003,88.349998,89.910004,21875300,89.910004
"9",90.230003,91.279999,86.660004,90.129997,20509800,90.129997
"10",90.110001,92.5,86.190002,92.129997,16412100,92.129997
"11",92.629997,98.519997,92.089996,96.470001,16275000,96.470001
"12",96.75,100.940002,95.120003,100.830002,18172900,100.830002
"13",100.32,100.370003,93.809998,96.790001,14955000,96.790001
"14",96.690002,99.760002,89.5,90.760002,17185300,90.760002
"15",91.18,91.18,76.910004,83.529999,25614100,83.529999
"16",83.639999,87.389999,77.870003,79.050003,20566700,79.050003
"17",78.169998,87.129997,74.57,83.849998,24898500,83.849998
"18",82,86.089996,79.010002,85.720001,19042300,85.720001
"19",85.529999,88.150002,80.519997,85.970001,12382200,85.970001
"20",87.209999,92.370003,85.580002,91.389999,14130100,91.389999
"21",92.190002,93.300003,86.900002,89.889999,18276200,89.889999
"22",89.919998,92.139999,87.910004,91.540001,18441600,91.540001
"23",91.650002,94.330002,86.410004,87.889999,17931700,87.889999
"24",87.620003,89.309998,83.230003,83.279999,15183800,83.279999
"25",82.459999,94.150002,81.559998,92.610001,18007400,92.610001
"26",93.599998,95.300003,83.5,84.089996,21664500,84.089996
"27",87.260002,89.489998,85.470001,87.949997,18507600,87.949997
"28",87.68,92.610001,86.879997,92.470001,10838200,92.470001
"29",92.760002,94.300003,84.360001,84.730003,16134600,84.730003
"30",85.010002,87.32,82.150002,84.589996,15827100,84.589996
"31",84.589996,88.940002,82.980003,86.620003,12563600,86.620003
"32",87.440002,90.709999,85.800003,89.5,22716000,89.5
"33",90.040001,91.839996,87.730003,88.599998,15819800,88.599998
"34",88.330002,90.889999,87.650002,90.199997,14477200,90.199997
"35",89.790001,95.919998,89.68,93.360001,20655400,93.360001
"36",93.18,101.690002,91.25,99.489998,18950600,99.489998
"37",99.800003,101.489998,97.739998,100.099998,13101800,100.099998
"38",100.330002,101.029999,95.360001,96.739998,18716700,96.739998
"39",97.260002,99.160004,95.5,95.720001,11053200,95.720001
"40",96.139999,101.919998,95.629997,99.139999,11114900,99.139999
"41",99.230003,104.370003,98.349998,100.900002,16463700,100.900002
"42",100.919998,108,100.150002,101.849998,13722400,101.849998
"43",101.580002,101.610001,87.010002,91.370003,28748500,91.370003
"44",91.370003,93.489998,88.589996,89.830002,21423300,89.830002
"45",90,94.699997,87.25,93.540001,22066200,93.540001
"46",93.080002,102,92.5,98.209999,25151000,98.209999
"47",100.160004,102.970001,95.120003,98.699997,24831300,98.699997
"48",98.639999,102.910004,97.309998,102.580002,15795000,102.580002
"49",102.720001,105.379997,99.370003,102.400002,17944700,102.400002
"50",103.150002,107.419998,101.639999,103.690002,15819000,103.690002
"51",103.330002,107.669998,101.839996,107.230003,10264400,107.230003
"52",107.25,108.769997,101.550003,101.75,9974200,101.75
"53",101.879997,109.470001,95.610001,109.290001,16727400,109.290001
"54",104.790001,105.139999,98.540001,104.639999,35944000,104.639999
"55",104.639999,109.839996,99.889999,107.900002,29074300,107.900002
"56",109.690002,119.209999,108.730003,114.779999,31606700,114.779999
"57",113.32,124.57,112.75,123.029999,29389500,123.029999
"58",123.029999,131.190002,120.089996,126.089996,20502200,126.089996
"59",125.879997,129.330002,118.730003,119.559998,20363100,119.559998
"60",119.699997,125.449997,116,117.949997,26169700,117.949997
"61",118.139999,121.309998,116.629997,120.690002,9849500,120.690002
