"","stock_data$GPS.Open","stock_data$GPS.High","stock_data$GPS.Low","stock_data$GPS.Close","stock_data$GPS.Volume","stock_data$GPS.Adjusted"
"1",21.48,22.25,19.4,19.459999,135294700,17.501457
"2",19.41,20.040001,17.450001,18.110001,242946900,16.369587
"3",18.49,18.66,16.620001,16.889999,211963900,15.266831
"4",17.02,19.209999,17.02,18.639999,174923400,16.848652
"5",18.639999,20.09,17.690001,19.01,210175200,17.27845
"6",19.110001,21.540001,18.889999,21.360001,198293500,19.414398
"7",21.440001,22.51,20.870001,22.139999,158757100,20.123349
"8",22.32,22.34,19.120001,19.27,216034800,17.594236
"9",19.41,23.219999,18.940001,22.530001,175133100,20.570739
"10",22.530001,22.75,21.01,22.66,181229300,20.689433
"11",22.74,23.35,21.459999,23.24,164387900,21.32548
"12",23.23,23.73,18.6,19.4,206884600,17.801821
"13",19.299999,19.33,17.41,18.1,199865000,16.608916
"14",18.059999,20,17.82,19.290001,133603400,17.812086
"15",19.459999,19.52,15.26,16.52,262986000,15.254311
"16",15.96,17.620001,15.08,16.24,171127700,14.995763
"17",16,19.68,15.71,18.9,132161600,17.566976
"18",18.360001,20.41,17.620001,18.690001,134226700,17.371788
"19",18.58,19.25,17.709999,18.549999,77296800,17.345809
"20",18.799999,19.67,17.75,18.98,117599800,17.747896
"21",19.1,23.77,19.09,23.360001,166309000,21.843565
"22",25.43,27,24.17,26.139999,160713100,24.443098
"23",26.370001,29.01,25.190001,28.5,169462500,26.776488
"24",28.610001,29.23,25.309999,26.5,168742600,24.897436
"25",26.059999,27.799999,25.02,27.360001,137412100,25.827906
"26",27.530001,30.200001,26.57,29.49,114984600,27.83863
"27",29.629999,36.599998,29.4,35.82,163332300,33.814165
"28",35.709999,36.73,34.790001,35.779999,118890500,33.776404
"29",35.98,37.849998,34.57,35.720001,91995000,33.833762
"30",35.73,36.150002,32.540001,34.459999,109426500,32.640295
"31",34.52,34.689999,29.84,31.040001,158150700,29.521133
"32",31.57,33.59,30.65,32.68,92015700,31.080883
"33",32.889999,33.880001,31.190001,32.919998,104048200,31.309137
"34",33.700001,36.869999,32.91,35.400002,91897100,33.667787
"35",35.330002,38.23,35.099998,37.990002,79623700,36.279536
"36",37.939999,41.860001,37.560001,40.549999,86601800,38.724272
"37",40.549999,42.450001,39.959999,41.73,68497500,39.851144
"38",41.939999,46.419998,41.939999,45.900002,54748800,43.985771
"39",46.380001,46.560001,40.330002,40.439999,80949200,38.753475
"40",40.75,42.66,39.900002,40.279999,70288300,38.600147
"41",40.27,40.990002,36.130001,36.990002,125484700,35.626928
"42",37,42.450001,36.389999,40.970001,93157700,39.460265
"43",41.27,42.330002,38.009998,39.080002,90163600,37.639912
"44",39.09,40.080002,36.57,38.080002,131609900,36.863319
"45",38.02,44.59,37.099998,43.75,111038500,42.352156
"46",43.27,43.700001,39.66,40.060001,91328200,38.780056
"47",40.490002,42.709999,37,39.299999,117700800,38.247732
"48",39.43,41.68,38.380001,41.23,82517700,40.126056
"49",41.349998,42.369999,40.540001,41.57,50918700,40.456953
"50",41.549999,42.110001,38.98,40.110001,74042800,39.241597
"51",40.080002,46.610001,39.549999,46.150002,78749400,45.150828
"52",46.310001,46.849998,41.529999,41.689999,72716500,40.787387
"53",41.630001,42.41,35.459999,37.889999,156407500,37.264855
"54",38.029999,40.619999,37.099998,39.599998,91576000,38.946641
"55",39.290001,42.52,38.939999,42.110001,72924900,41.415231
"56",42.369999,43.849998,39.279999,41.189999,76333200,40.723215
"57",41.18,42.5,39.700001,41.599998,90021100,41.128568
"58",41.279999,43.900002,40.32,43.330002,82699300,42.838967
"59",43.169998,43.290001,39.369999,39.639999,65164900,39.403925
"60",39.799999,40.639999,37.709999,38.330002,93516700,38.101729
"61",38.32,38.799999,37.5,37.709999,31405800,37.485419
