"","stock_data$KO.Open","stock_data$KO.High","stock_data$KO.Low","stock_data$KO.Close","stock_data$KO.Volume","stock_data$KO.Adjusted"
"1",51.860001,53.080002,50.009998,50.119999,333894000,21.678302
"2",50.299999,55.310001,49.470001,55.110001,373304800,23.836618
"3",55.82,57.400002,54.919998,55.880001,390193400,24.169664
"4",56.380001,59.23,56.27,58.52,348528400,25.503293
"5",59.040001,61.75,58.52,61.32,387123000,26.723546
"6",61.369999,64.629997,61.209999,63.169998,440370400,27.720031
"7",63.939999,65.879997,63.700001,65.769997,407087600,28.860953
"8",65.879997,65.879997,61.889999,62.849998,366736200,27.57961
"9",62.880001,64.75,62.130001,63.919998,315007200,28.049143
"10",64.279999,66.849998,61.290001,66.339996,431192600,29.322158
"11",66.889999,68.470001,65.809998,67.459999,303736200,29.817197
"12",67.760002,68.769997,66.300003,66.809998,278651000,29.529898
"13",66.599998,67.489998,64.43,67.290001,349221400,29.957382
"14",67.019997,69.82,66.589996,68.010002,325485600,30.277925
"15",68.5,70.769997,63.59,70.449997,647917600,31.364206
"16",70.089996,71.769997,66.620003,67.559998,517243200,30.282728
"17",66.589996,69.089996,63.34,68.32,406481800,30.623387
"18",67.129997,68.82,64.739998,67.230003,338562800,30.353721
"19",67,70.290001,65.879997,69.970001,309556200,31.590805
"20",70.150002,70.709999,66.57,67.529999,300231600,30.489166
"21",67.879997,69.980003,67.419998,69.860001,287665000,31.541141
"22",69.870003,74.389999,68.5,74.010002,410250600,33.659536
"23",73.830002,77.82,71.82,76.32,292370000,34.710116
"24",76.540001,77.739998,73.470001,74.730003,335390800,33.98699
"25",73.989998,78.190002,72.559998,78.190002,279573200,35.803404
"26",78.099998,81.330002,76.099998,80.800003,289020200,36.99853
"27",80.970001,81.25,37.130001,37.400002,308129200,34.251114
"28",37.52,39,37.110001,37.93,469561900,34.972604
"29",38.16,38.830002,36.540001,37.18,293829600,34.281081
"30",37.150002,37.98,35.860001,37.919998,261448200,35.203276
"31",37.900002,37.990002,35.580002,36.25,269626400,33.652922
"32",36.990002,37.869999,36.52,37.240002,302757300,34.571996
"33",37.540001,39.060001,36.540001,38.720001,324939300,35.945964
"34",38.490002,40.700001,38.450001,40.439999,288428800,37.814501
"35",40.389999,42.959999,39.77,42.330002,317772200,39.581799
"36",42.150002,43.43,39.990002,39.990002,288223000,37.393719
"37",39.950001,41.73,38.970001,40.110001,305808000,37.765165
"38",40.5,41.25,39.5,40.080002,260921100,37.73692
"39",40.400002,40.75,37.799999,38.18,296801300,35.947993
"40",38.27,39.669998,37.75,37.880001,300960000,35.924917
"41",38,39.959999,36.830002,39.57,378979000,37.527691
"42",39.57,40.880001,39.220001,40.189999,267950200,38.382701
"43",40.099998,41.389999,38.869999,41.310001,301144500,39.452338
"44",41.119999,41.23,37.720001,37.82,289400900,36.119278
"45",38.02,39.02,36.889999,38.200001,385231900,36.482191
"46",37.880001,39.029999,37.849998,38.66,349073700,37.214037
"47",38.529999,41.279999,38.040001,40.790001,382724700,39.264372
"48",40.790001,41.220001,40.259998,40.91,213626400,39.379883
"49",40.75,42.490002,40.150002,42.360001,281965200,41.082309
"50",42.389999,42.57,39.25,39.290001,282905200,38.104909
"51",39.130001,41.75,39.060001,41.720001,247872900,40.461614
"52",41.52,42.810001,41.18,42.66,314842300,41.674678
"53",42.549999,44.869999,40.099998,41.880001,529864600,40.912695
"54",41.790001,45,41.59,44.830002,254101300,44.097273
"55",44.18,44.77,39.799999,42.220001,326845100,41.529932
"56",42.259998,43.830002,41.110001,41.169998,293092200,40.497091
"57",41.209999,43.66,40.900002,43.299999,291390200,42.592278
"58",43.299999,43.299999,39.610001,40.549999,370738500,40.2182
"59",40.790001,41.610001,40.099998,40.560001,284020300,40.228121
"60",40.580002,41.689999,40.389999,40.959999,230592600,40.624845
"61",41.360001,41.41,40.02,40.330002,95929800,40.000003
