"","stock_data$PSX.Open","stock_data$PSX.High","stock_data$PSX.Low","stock_data$PSX.Close","stock_data$PSX.Volume","stock_data$PSX.Adjusted"
"1",33.25,37.450001,32,34.049999,9336400,31.751779
"2",33.740002,34.099998,28.75,30.030001,169359200,28.003112
"3",29.5,34.91,29.25,33.240002,104966400,30.996452
"4",33.59,38.360001,32.349998,37.599998,74697400,35.252206
"5",39.080002,43.450001,37.779999,42,86546900,39.377466
"6",42.07,48.220001,41.43,46.369999,80252000,43.474596
"7",46.599998,48.400002,42.450001,47.16,91334600,44.461458
"8",47,52.529999,44.939999,52.369999,87560000,49.373335
"9",52.650002,54.32,50.27,53.099998,92107200,50.061564
"10",54.25,62.91,50.119999,60.57,110036100,57.104124
"11",62,65.379997,59.939999,62.959999,75687100,59.648309
"12",62.709999,70.519997,62.189999,69.970001,81113100,66.289586
"13",70,70.199997,56.130001,60.950001,120457300,57.744036
"14",61.110001,67.889999,59.16,66.57,90887800,63.373828
"15",67.040001,67.089996,56.84,58.91,69119400,56.081601
"16",59.240002,61.970001,54.799999,61.5,96658500,58.54725
"17",61.869999,61.91,54.900002,57.099998,74236700,54.647974
"18",57.759998,59.32,55.810001,57.82,67619600,55.337056
"19",57.650002,65.639999,56.5,64.43,85028400,61.663206
"20",64.470001,71,63.290001,69.610001,62316800,67.019876
"21",70,77.290001,68.330002,77.129997,69932200,74.26006
"22",77.169998,79,70.809998,73.089996,77458400,70.370384
"23",73.120003,78.889999,68.779999,74.860001,75132900,72.458269
"24",74.650002,80.389999,74.370003,77.059998,63649300,74.587684
"25",77.220001,84.849998,76.18,83.220001,69485500,80.550056
"26",83.269997,85.419998,80.82,84.790001,71181800,82.563722
"27",84.989998,87.050003,79.160004,80.43,75320600,78.318199
"28",80.599998,83.410004,78.529999,81.110001,70017400,78.980345
"29",80.620003,87.150002,79.25,87.019997,52632400,85.251465
"30",86.910004,87.980003,80.68,81.309998,65718500,79.657512
"31",81.309998,82,66.120003,78.5,125305000,76.904623
"32",78.459999,80.32,70.220001,73.019997,90574300,72.025028
"33",73,75.260002,64.019997,71.699997,102659600,70.723014
"34",71.610001,72.449997,57.330002,70.32,117365100,69.361821
"35",71.309998,80.589996,70.07,78.459999,76379700,77.916015
"36",78.459999,80.080002,73.540001,78.599998,69803900,78.055043
"37",79.07,81.989998,76.43,79.309998,62187600,78.76012
"38",79.410004,82.190002,77.980003,79.120003,55076200,79.120003
"39",79.550003,80.25,76.730003,77.800003,24265900,77.800003
