"","stock_data$NDAQ.Open","stock_data$NDAQ.High","stock_data$NDAQ.Low","stock_data$NDAQ.Close","stock_data$NDAQ.Volume","stock_data$NDAQ.Adjusted"
"1",18.610001,19.700001,17.77,17.780001,33964400,16.933448
"2",17.889999,20.1,17.18,19.469999,47684800,18.542982
"3",19.719999,20.540001,17.809999,17.91,59071200,17.057258
"4",18.139999,20.17,18.02,19.43,40183000,18.504887
"5",19.540001,21.52,19.07,21.110001,39430900,20.104898
"6",21.290001,22.32,20.99,21.469999,43873300,20.447757
"7",21.68,24.34,21.68,23.73,53351600,22.600152
"8",23.99,25.23,23.09,24.48,38634900,23.314443
"9",24.629999,29.709999,24.6,28.610001,94532700,27.247804
"10",28.620001,28.77,24.290001,25.84,51736300,24.60969
"11",25.790001,29.5,25.6,27.120001,68450300,25.828747
"12",27.18,28.08,24.18,25.52,47950500,24.304927
"13",25.370001,25.440001,23.02,25.299999,39464600,24.0954
"14",25.24,26.32,22.74,24.07,38835400,22.923964
"15",24.35,24.469999,20.32,23.690001,67933800,22.562058
"16",23.85,25.99,21.35,23.139999,64952800,22.038244
"17",22.950001,26,21.690001,25.049999,59351900,23.857303
"18",24.1,26.809999,23.27,26.25,46159900,25.000169
"19",26.07,26.5,23.559999,24.51,29599900,23.343015
"20",25.030001,26.27,24.139999,24.76,30071600,23.581112
"21",24.950001,26.99,24.5,26.34,41254500,25.085884
"22",26.389999,27.34,25.41,25.9,33662000,24.666833
"23",25.82,26.120001,24.4,24.57,45385200,23.400158
"24",24.51,24.780001,21.48,21.879999,82821600,20.838235
"25",21.49,22.73,21.030001,22.67,45887800,21.590622
"26",22.780001,23.5,21.58,22.700001,28465500,21.619195
"27",22.85,24.129999,22.35,22.870001,28443100,21.7811
"28",22.790001,24.5,22.76,23.290001,24893200,22.30365
"29",23.379999,24.58,23.110001,23.780001,25897900,22.772898
"30",23.889999,24.52,22.629999,24.23,23737700,23.203839
"31",24.34,26.799999,23.4,24.99,35683300,24.064436
"32",25.41,28.49,25.27,28.32,23655500,27.271101
"33",28.620001,32.150002,28.120001,31.66,39627200,30.487397
"34",31.6,32.889999,31.18,32.299999,23700100,31.229344
"35",32.279999,32.5,27.469999,29.48,48859300,28.50282
"36",29.34,32.450001,29.1,31.459999,33120000,30.417188
"37",31.459999,33.43,30.530001,32.790001,27805600,31.831938
"38",32.950001,34.41,31.870001,32.400002,22108800,31.453334
"39",32.700001,33.209999,29.690001,29.860001,27943600,28.987547
"40",30.35,32.68,29.51,32.110001,28389500,31.303163
"41",32.099998,36.25,31.76,35.43,26962400,34.53974
"42",35.419998,39.830002,35.009998,39.290001,22747900,38.30275
"43",39.470001,40.639999,38.209999,39.799999,24577300,38.930066
"44",39.889999,40.740002,37.060001,38.150002,25983400,37.316133
"45",38.16,39.790001,36.369999,38.389999,24705500,37.550885
"46",37.93,41.25,36.360001,36.939999,35803600,36.251737
"47",37.310001,37.330002,33.490002,36.900002,58779400,36.212485
"48",36.950001,38.16,34.700001,37.900002,25074000,37.193853
"49",37.950001,39.240002,36.240002,38.619999,28798800,38.054129
"50",38.799999,43.259998,38.310001,42.189999,30828700,41.57182
"51",42.200001,44.060001,40.91,43.470001,18727500,42.833068
"52",43.799999,44.330002,41.830002,42.419998,19072400,41.944939
"53",42.43,43.389999,38.43,43.259998,25165800,42.775532
"54",43.110001,44.970001,43,44.91,13903400,44.407056
"55",44.849998,49.709999,44.259998,47.959999,21162900,47.576667
"56",48.220001,49.389999,44.82,45.599998,23307600,45.235529
"57",45.610001,51.220001,45.610001,50.16,17094400,49.759084
"58",50.369999,51.18,48.91,50.939999,20906300,50.686009
"59",50.639999,50.93,48.110001,48.630001,23231200,48.38753
"60",48.84,52.939999,48.619999,51.75,15957300,51.491972
"61",52.049999,52.34,49.509998,50.759998,8322400,50.759998
