"","stock_data$QEP.Open","stock_data$QEP.High","stock_data$QEP.Low","stock_data$QEP.Close","stock_data$QEP.Volume","stock_data$QEP.Adjusted"
"1",37,37,30.07,30.83,9520200,30.41954
"2",30.4,35.150002,27.9,34.419998,35900600,33.961742
"3",33.790001,35.060001,28.57,29.030001,17152300,28.661646
"4",29.5,31.85,28.65,30.139999,21035300,29.75756
"5",30.290001,33.490002,29.540001,33.029999,20398000,32.610889
"6",33.389999,35.93,32.25,35.130001,18278300,34.703775
"7",35.68,38.330002,35.650002,36.310001,20194800,35.869459
"8",36.580002,41.040001,35.779999,40.639999,22991700,40.146921
"9",40.880001,41.970001,36.91,39.549999,26570000,39.070146
"10",39.799999,42,36.110001,40.540001,28539200,40.069219
"11",41.150002,42.860001,37.110001,42.73,28337600,42.233786
"12",42.990002,43.540001,38.939999,43.5,24034800,43.015574
"13",43.490002,43.700001,37.91,41.830002,27578300,41.364173
"14",41.990002,45.200001,39.93,43.830002,32164500,43.341901
"15",44.380001,44.549999,32.490002,35.209999,41014400,34.836961
"16",35.560001,36.119999,26.52,27.07,33279900,26.783202
"17",26.690001,37.009998,23.559999,35.549999,50964800,35.173359
"18",33.830002,38.439999,28.780001,32.650002,38761300,32.322883
"19",32.48,32.990002,27.68,29.299999,28038600,29.006444
"20",30.200001,31.91,26.73,28.639999,42576500,28.353057
"21",29,35.610001,28.49,34.139999,38649400,33.818772
"22",32.73,34.290001,28.93,30.5,35232900,30.213022
"23",30.459999,32.029999,27.85,30.809999,36095900,30.520104
"24",30.809999,31.719999,25.35,26.32,37419800,26.091621
"25",25.719999,30.01,24.35,29.969999,39287500,29.709949
"26",29.889999,30.49,27.52,30.030001,31501200,29.76943
"27",29,29.709999,26.120001,28.690001,49164000,28.46237
"28",28.709999,33.5,28.129999,31.66,30565300,31.408805
"29",31.799999,32.919998,28.360001,29,34141000,28.76991
"30",28.610001,29.709999,25.99,28.120001,46412700,27.917428
"31",28.43,31.41,28.299999,30.27,34492600,30.051939
"32",30.870001,31.629999,29.02,29.35,34259800,29.138567
"33",29.629999,31,28.82,30.459999,31433200,30.260756
"34",30.18,32.900002,28.9,31.84,38003700,31.63173
"35",31.709999,31.75,27.51,28.709999,44028600,28.522203
"36",26.92,30.26,26.24,28.360001,46600900,28.193972
"37",28.42,30.24,26.99,27.780001,29886200,27.617368
"38",28.049999,30.91,27.809999,30.49,23426200,30.311502
"39",30.620001,31.52,27.23,27.32,30896600,27.178816
"40",27.6,29.23,27.280001,27.690001,26744900,27.546905
"41",27.709999,34.240002,27.639999,33.060001,44763400,32.889154
"42",32.900002,33.869999,31.49,32.02,53248300,31.873636
"43",32.130001,33.450001,29.549999,30.65,59615300,30.509898
"44",30.469999,32.32,29.059999,30.889999,47224900,30.748801
"45",30.799999,33.32,25.93,28.93,60814100,28.815839
"46",28.76,29.870001,28.110001,29.440001,47278000,29.323827
"47",29.67,32.650002,29.59,30.690001,49371800,30.568894
"48",30.75,32.5,29.950001,31.940001,46071000,31.834533
"49",31.940001,34.599998,31.110001,34.5,29658400,34.38608
"50",34.419998,35.029999,33.049999,33.049999,31288800,32.940867
"51",32.93,35.580002,32.139999,35.57,31582300,35.473345
"52",35.5,35.91,30.33,30.780001,46080500,30.696362
"53",30.790001,31,20,25.07,115501600,25.001877
"54",25.200001,26.58,20.360001,20.440001,65992000,20.400878
"55",20.23,22.549999,18.15,20.219999,108299500,20.181298
"56",20.01,20.879999,18.290001,20.219999,64037900,20.181298
"57",20.57,23.209999,20.57,21.48,60839900,21.457717
"58",21.440001,21.9,19.879999,20.85,56865500,20.828371
"59",21.040001,24.040001,20.68,22.5,64101600,22.476659
"60",22.549999,23.459999,18.309999,18.83,72102400,18.83
"61",18.9,19.32,18.32,19.129999,25661900,19.129999
