"","stock_data$FFIV.Open","stock_data$FFIV.High","stock_data$FFIV.Low","stock_data$FFIV.Close","stock_data$FFIV.Volume","stock_data$FFIV.Adjusted"
"1",68.269997,77.099998,66.790001,68.57,23000900,68.57
"2",68.510002,88.339996,66.790001,87.830002,38195300,87.830002
"3",87.959999,92.699997,80,87.43,34030800,87.43
"4",89.839996,107.300003,89.209999,103.809998,33841500,103.809998
"5",104.82,119.879997,89.050003,117.699997,80796600,117.699997
"6",117.980003,136,112.099998,131.880005,47880600,131.880005
"7",134.110001,143.75,129.139999,130.160004,60741800,130.160004
"8",132.889999,145.759995,102.660004,108.379997,87962800,108.379997
"9",109.559998,129.919998,107.809998,118.010002,68220500,118.010002
"10",118.580002,118.599998,91.099998,102.57,98350100,102.57
"11",100.580002,111.629997,92.029999,101.360001,78153500,101.360001
"12",100.419998,114.540001,97.260002,113.580002,46942900,113.580002
"13",112.099998,114.900002,96.209999,110.25,52344600,110.25
"14",110.830002,119.690002,92.300003,93.480003,56845800,93.480003
"15",95.519997,96.389999,69.010002,81.57,78452000,81.57
"16",81.5,86.160004,70.830002,71.050003,51222500,71.050003
"17",70.610001,107.949997,69.599998,103.949997,53739800,103.949997
"18",100.279999,113.599998,97.589996,113.029999,37152900,113.029999
"19",111.5,117.300003,99.589996,106.120003,33709600,106.120003
"20",108.480003,124.290001,99.599998,119.739998,39350000,119.739998
"21",121.169998,130.270004,119.5,124.959999,23278700,124.959999
"22",125.739998,136.460007,119.5,134.960007,24101800,134.960007
"23",135.050003,139.460007,120.010002,133.929993,37457300,133.929993
"24",132.940002,138.669998,99.470001,103.480003,42919400,103.480003
"25",100,107.190002,92.089996,99.559998,37280700,99.559998
"26",98.449997,103.129997,88.300003,93.379997,52880000,93.379997
"27",94.440002,104.879997,90.290001,97.489998,33260600,97.489998
"28",97.269997,111.580002,93.620003,104.639999,35869900,104.639999
"29",105.720001,108.370003,81.07,82.589996,44838200,82.589996
"30",82.32,95.199997,81.57,93.68,41149900,93.68
"31",94.18,99.389999,89.610001,97.150002,25884000,97.150002
"32",100.029999,107.370003,93.199997,104.879997,34408400,104.879997
"33",106.349998,107.989998,92.010002,94.43,28870300,94.43
"34",94.220001,95.669998,86.330002,89.080002,27150300,89.080002
"35",88.839996,92.57,70.599998,76.43,52858500,76.43
"36",76.099998,86.220001,73,83.209999,32098400,83.209999
"37",80.599998,80.949997,67.529999,68.800003,33724000,68.800003
"38",70,92.790001,68.220001,87.800003,48216100,87.800003
"39",88.260002,94.330002,82.269997,83.379997,30067400,83.379997
"40",84.220001,94.660004,84.110001,85.809998,25459300,85.809998
"41",86.099998,93.25,81.07,81.540001,49333700,81.540001
"42",81.470001,85.489998,78.139999,82.260002,38600800,82.260002
"43",82.110001,91.279999,81.199997,90.860001,30911900,90.860001
"44",90.419998,110.900002,87.470001,107.019997,53658000,107.019997
"45",104.580002,114.860001,102.239998,112.339996,31905500,112.339996
"46",110.300003,116.709999,103.139999,106.629997,32978000,106.629997
"47",107.050003,112.839996,99.260002,105.169998,34217800,105.169998
"48",104.650002,110.75,99.93,108.550003,24998300,108.550003
"49",108.93,114.139999,106.57,111.440002,20078300,111.440002
"50",112,117.769997,108.029999,112.589996,25345400,112.589996
"51",109.010002,124.800003,109.010002,124.190002,20166100,124.190002
"52",124.5,128.300003,117.599998,118.739998,16527900,118.739998
"53",118.5,124,106.82,122.980003,29819200,122.980003
"54",122,130.860001,122,129.190002,16673400,129.190002
"55",129.610001,136.110001,126.470001,130.470001,16931400,130.470001
"56",131.720001,132.990005,108.599998,111.620003,32611400,111.620003
"57",110.290001,120.660004,109.190002,118.120003,18148100,118.120003
"58",118.559998,119.970001,111.07,114.940002,21477500,114.940002
"59",114.610001,126.18,111.330002,122.019997,29690700,122.019997
"60",122.279999,128.080002,121.279999,125.690002,15148400,125.690002
"61",124.400002,127.129997,123.540001,126.93,7531600,126.93
