"","stock_data$PGR.Open","stock_data$PGR.High","stock_data$PGR.Low","stock_data$PGR.Close","stock_data$PGR.Volume","stock_data$PGR.Adjusted"
"1",19.139999,20.5,18.690001,18.719999,64627400,14.780534
"2",18.76,20.35,18.41,19.639999,92448800,15.506928
"3",19.99,20.030001,18.950001,19.799999,78883600,15.633257
"4",19.98,21.59,19.83,20.870001,75397500,16.478086
"5",21.07,21.5,20.16,21.16,82715400,16.707057
"6",21.280001,22.129999,20.24,20.34,103681300,16.059619
"7",20.66,21.129999,19.540001,19.870001,102950700,16.482884
"8",20.09,20.17,19.120001,19.809999,137285000,16.769857
"9",19.889999,20.83,19.65,20.83,68810900,17.633323
"10",20.85,21.24,20.049999,21.129999,81549700,17.887283
"11",21.18,21.959999,20.799999,21.940001,75204700,18.572978
"12",22.08,22.08,21.07,21.65,67633600,18.327482
"13",21.639999,21.66,19.790001,21.379999,85940400,18.098917
"14",21.33,21.66,19.450001,19.68,75364200,16.659808
"15",19.790001,19.83,17.139999,19.18,142409700,16.236541
"16",19.190001,19.26,16.879999,17.76,122967900,15.034461
"17",17.65,19.74,16.969999,19.01,128638200,16.09263
"18",18.42,19.690001,17.559999,18.860001,94812700,15.96565
"19",18.84,19.620001,17.809999,19.51,104552200,16.515897
"20",19.809999,20.85,19.01,20.280001,126845700,17.512218
"21",20.43,21.790001,20.389999,21.42,105397200,18.496632
"22",21.440001,23.370001,21.17,23.18,91971400,20.01643
"23",23.139999,23.41,20.799999,21.299999,124528000,18.393009
"24",21.290001,22.190001,21.01,21.73,121002200,18.764323
"25",21.4,22.23,20.219999,20.83,93263900,17.987154
"26",20.67,20.84,19.379999,19.74,96378300,17.045916
"27",19.860001,20.23,19.17,19.530001,90411000,16.864577
"28",19.549999,21.280001,19.34,20.74,93946200,17.909437
"29",20.83,23.190001,20.709999,22.299999,121584100,19.25653
"30",22.42,22.700001,21.1,21.25,155231400,19.201335
"31",21.4,21.77,20.690001,21.1,98701100,19.065796
"32",21.450001,22.950001,21.360001,22.49,111926100,20.577323
"33",22.620001,24.9,22.530001,24.360001,92275300,22.288289
"34",24.290001,25.379999,24.1,25.27,59819200,23.120897
"35",25.33,25.93,24.43,25.290001,72142200,23.139197
"36",25.26,26.389999,24.92,25.49,60149400,23.322187
"37",25.52,25.719999,23.99,25.42,71161600,23.25814
"38",25.48,26.540001,25.26,26.01,59205200,23.797963
"39",26.049999,26.469999,24.860001,25.07,65615500,22.937906
"40",25.309999,27.549999,25.09,27.23,58505700,24.914207
"41",27.280001,27.440001,25.969999,25.969999,92464700,23.761364
"42",25.98,28.17,25.809999,27.93,53235900,25.554676
"43",28.49,28.540001,25.92,27.27,60497600,24.950806
"44",27.290001,27.299999,23.08,23.24,106552000,22.62564
"45",23.1,24.59,22.530001,24.49,69344800,23.842596
"46",24.32,24.889999,23.16,24.219999,74520400,23.579733
"47",24.32,24.66,23.4,24.25,92200000,23.608941
"48",24.25,25.6,24.120001,25.030001,100247700,24.368322
"49",25.059999,26.030001,24.49,25.360001,74679800,24.689598
"50",25.440001,25.559999,23.440001,23.440001,81663700,22.820354
"51",23.6,25.049999,23.200001,25.02,89865200,24.358586
"52",25.42,25.629999,24.799999,25.280001,55373200,24.611713
"53",25.309999,26.42,24.16,26.41,76396600,25.71184
"54",26.41,27.52,26.24,27.24,42094500,26.519899
"55",27.16,27.48,25.440001,26.99,86447500,26.276507
"56",27.09,27.51,25.940001,25.950001,70727700,25.264001
"57",25.459999,27.15,25.23,26.65,59851100,26.65
"58",26.629999,27.9,25.92,27.200001,73624300,27.200001
"59",27.09,27.379999,26.440001,26.66,73259800,26.66
"60",26.75,27.549999,26.620001,27.34,75154200,27.34
"61",27.43,27.59,26.879999,27.57,40420800,27.57
