"","stock_data$RSG.Open","stock_data$RSG.High","stock_data$RSG.Low","stock_data$RSG.Close","stock_data$RSG.Volume","stock_data$RSG.Adjusted"
"1",29.92,31.92,29.360001,29.73,37711900,25.663069
"2",29.9,32.950001,29,31.860001,52264000,27.501695
"3",32.32,32.57,28.969999,29.43,58184700,25.404108
"4",29.84,31.879999,29.559999,30.49,64700800,26.4948
"5",30.57,32.130001,29.700001,29.809999,60080200,25.903902
"6",29.9,30.27,27.700001,28.139999,76710200,24.452727
"7",28.48,30.52,28.299999,29.860001,62313300,26.120855
"8",30.030001,31.5,29.15,30.84,42427000,26.978136
"9",30.110001,30.76,28.790001,29.610001,66198400,25.90216
"10",29.629999,30.23,28.360001,30.040001,73948700,26.453561
"11",30.09,31.92,29.24,31.620001,47886800,27.844926
"12",31.68,33.099998,31.1,31.52,58342100,27.756865
"13",31.469999,31.58,29.620001,30.85,47179700,27.344186
"14",30.93,31.73,28.459999,29.030001,47719200,25.731012
"15",29.209999,30.709999,24.719999,30.360001,109221700,26.90987
"16",30.299999,30.52,26.389999,28.059999,63418900,25.067359
"17",27.84,30.01,26.32,28.459999,61026300,25.424698
"18",27.870001,28.41,25.780001,27.450001,59244100,24.522417
"19",27.450001,28.17,26.34,27.549999,60814300,24.808431
"20",28.01,29.309999,27,29.280001,48927800,26.366276
"21",29.5,30.49,29.41,29.83,49298100,26.861543
"22",29.879999,30.92,29.290001,30.559999,34305300,27.718903
"23",30.52,31.32,26.959999,27.370001,54823700,24.825472
"24",27.35,27.610001,25.469999,26.360001,70393800,23.909369
"25",26.120001,26.559999,25.15,26.459999,55011200,24.208192
"26",26.459999,28.959999,25.76,28.93,62429800,26.46799
"27",28.99,29.219999,27.469999,27.65,38075300,25.296921
"28",27.700001,28.91,27.15,27.51,51112800,25.386807
"29",27.74,28.9,27.24,28.35,31601100,26.161977
"30",28.35,28.52,26.25,28.469999,65059900,26.272715
"31",28.540001,29.969999,28.27,29.33,33643900,27.283611
"32",29.610001,32.400002,29.34,31.889999,34164900,29.664997
"33",32.040001,32.200001,29.959999,31.440001,43908400,29.246395
"34",31.299999,33.009998,30.870001,33,31296600,30.920513
"35",32.93,34.540001,32.07,34.080002,36078600,31.932459
"36",34,35.279999,33.689999,34.099998,36500200,31.951196
"37",34.119999,34.77,32.75,33.939999,33490000,32.022414
"38",33.970001,35.610001,33.470001,33.91,27490200,31.994111
"39",34.060001,35.040001,32.43,32.509998,27290500,30.673208
"40",32.84,34.360001,31.940001,33.360001,34223600,31.71716
"41",33.349998,34.07,32.290001,33.470001,35436700,31.821743
"42",34.299999,35.290001,33.84,34.91,27254300,33.190828
"43",34.970001,35.060001,32.450001,33.200001,31497500,31.811346
"44",33.200001,33.299999,31.639999,32.029999,48322300,30.690281
"45",32.029999,34.48,31.42,34.110001,42366800,32.683283
"46",33.869999,34.650002,33.27,34.16,31138200,32.984316
"47",34.220001,35.400002,33.990002,35.09,29167500,33.882309
"48",35.119999,35.419998,34.43,35.400002,22766400,34.181641
"49",35.439999,38.130001,35.279999,37.970001,31880000,36.917591
"50",38,38.389999,36.720001,37.93,36445500,36.878699
"51",37.709999,39.66,37.509998,39.330002,33725200,38.239897
"52",39.220001,39.599998,38.52,39.02,35552600,38.212766
"53",39.110001,39.970001,37.18,38.400002,41703200,37.605594
"54",37.799999,39.970001,37.549999,39.610001,30564800,38.790561
"55",39.32,41.119999,38.349998,40.25,36205600,39.689096
"56",40.27,41.740002,39.639999,39.68,31093500,39.127039
"57",39.799999,41.209999,38.950001,40.919998,27725500,40.349757
"58",41,42.049999,39.939999,40.560001,34888700,40.275512
"59",40.419998,41.459999,39.25,40.630001,34629600,40.345021
"60",40.669998,41.02,39.150002,40.290001,32499700,40.007405
"61",40.380001,40.610001,39.57,40.48,10392900,40.196071
