"","stock_data$CERN.Open","stock_data$CERN.High","stock_data$CERN.Low","stock_data$CERN.Close","stock_data$CERN.Volume","stock_data$CERN.Adjusted"
"1",79.019997,82.57,75.339996,75.889999,52489600,18.9725
"2",75.739998,81.879997,72.050003,77.449997,89381200,19.362499
"3",78.470001,79.199997,72.43,72.849998,48192400,18.2125
"4",74.169998,84.68,73.5,83.989998,52200800,20.997499
"5",84.860001,88.470001,83.480003,87.830002,64160000,21.9575
"6",87.769997,89.550003,84.449997,87.860001,43495600,21.965
"7",88.809998,97.760002,88.809998,94.739998,48203600,23.684999
"8",95.269997,99,92.059998,98.849998,36113200,24.7125
"9",99.089996,101.989998,95.730003,100.449997,45241200,25.112499
"10",101.459999,111.709999,99.870003,111.199997,57058800,27.799999
"11",111.970001,124.75,108.230003,120.18,54655600,30.045
"12",120.199997,125.910004,116.690002,120.099998,50743600,30.025
"13",119.860001,124.989998,57.810001,61.110001,51319000,30.555
"14",61.360001,68.120003,60.689999,66.489998,40812400,33.244999
"15",67.139999,67.93,53.93,65.959999,89025600,32.98
"16",65.800003,74.389999,61.080002,68.519997,65461000,34.259998
"17",67.879997,70.279999,59.810001,63.43,80461800,31.715
"18",62.099998,66.089996,56.59,60.98,59724000,30.49
"19",61.23,62.580002,55.689999,61.25,47094600,30.625
"20",62.610001,64.169998,59.360001,60.889999,46298200,30.445
"21",61.299999,75.5,60.799999,73.830002,55591800,36.915001
"22",74.389999,78.529999,74,76.160004,42958400,38.080002
"23",76.120003,81.480003,71.68,81.110001,43942200,40.555
"24",80.739998,84.099998,76.220001,77.959999,61799000,38.98
"25",76.970001,88.32,75.57,82.660004,70581600,41.330002
"26",83.330002,83.970001,72.269997,73.919998,62244200,36.959999
"27",74.529999,75.32,70.370003,73.139999,52601600,36.57
"28",72.949997,78.089996,70.339996,77.389999,53367200,38.695
"29",77.839996,79.959999,67.639999,76.190002,63105000,38.095001
"30",76.040001,81.25,74.809998,77.220001,41330200,38.610001
"31",77.639999,81.160004,75.260002,77.510002,28598800,38.755001
"32",78.790001,84.589996,78.709999,82.550003,37128400,41.275002
"33",83.059998,88.919998,82.379997,87.459999,34914400,43.73
"34",87.68,94.919998,87.040001,94.739998,33119800,47.369999
"35",94.970001,97.519997,90.540001,96.769997,36833600,48.384998
"36",96.050003,98.889999,93.489998,98.160004,31504200,49.080002
"37",98.379997,100,93.019997,96.089996,32328400,48.044998
"38",48.5,50.849998,47.34,49,35747900,49
"39",49.299999,50.419998,45.860001,46.060001,25957200,46.060001
"40",47.150002,55.07,45.810001,52.549999,33915400,52.549999
"41",52.52,59.419998,52.349998,56.029999,38377400,56.029999
"42",56.310001,58.459999,55.59,57.470001,19669100,57.470001
"43",57.59,58.080002,53.720001,55.740002,27408300,55.740002
"44",55.48,57.580002,53.639999,56.889999,31085500,56.889999
"45",56.75,63.07,51.650002,61.369999,45078300,61.369999
"46",60.59,62.169998,55.75,56.25,29681800,56.25
"47",55.91,56.869999,48.389999,51.299999,57691300,51.299999
"48",51.029999,54.990002,48.869999,54.049999,40117400,54.049999
"49",54.220001,54.490002,51.09,51.580002,33176500,51.580002
"50",51.669998,57.59,50.299999,55.200001,45851300,55.200001
"51",55.25,57.68,53.650002,57.66,32503800,57.66
"52",57.919998,60.139999,57.66,59.57,35398000,59.57
"53",59.220001,63.889999,55.75,63.34,42855500,63.34
"54",63.32,64.75,62.529999,64.400002,23538700,64.400002
"55",64.480003,66.449997,60.700001,64.660004,23518800,64.660004
"56",64.919998,68.370003,63.189999,66.349998,24617300,66.349998
"57",66.910004,73.239998,65.050003,72.059998,34483900,72.059998
"58",72.160004,74.830002,69.199997,73.260002,32685500,73.260002
"59",73.269997,75.720001,71.230003,71.809998,27968000,71.809998
"60",72.32,73.18,66.919998,67.290001,46672700,67.290001
"61",67.669998,67.980003,65.669998,67.169998,15381300,67.169998
