"","stock_data$MDT.Open","stock_data$MDT.High","stock_data$MDT.Low","stock_data$MDT.Close","stock_data$MDT.Volume","stock_data$MDT.Adjusted"
"1",38.009998,39.34,35.849998,36.27,112780900,32.219361
"2",36.09,38.369999,35.130001,36.970001,127768400,33.046586
"3",37.490002,38.080002,30.799999,31.450001,181852400,28.112392
"4",31.74,34.150002,31.68,33.580002,155399700,30.016348
"5",33.66,36.619999,33.02,35.23,152913800,31.701774
"6",35.599998,35.880001,33.330002,33.529999,123157000,30.172026
"7",33.959999,39.529999,33.740002,37.09,163954900,33.375499
"8",37.25,39,36.169998,38.32,160143200,34.692718
"9",38.5,41.369999,38,39.919998,114970500,36.141265
"10",40,40.220001,36.310001,39.349998,131857700,35.62522
"11",39.77,42.200001,39.18,41.75,94466200,38.015968
"12",41.970001,43.330002,39.91,40.700001,140907200,37.059878
"13",40.509998,40.810001,37.52,38.529999,134954400,35.083957
"14",38.529999,39.189999,35.549999,36.049999,111001300,33.037249
"15",36.360001,36.360001,30.18,35.07,226762800,32.13915
"16",35.23,35.619999,32.450001,33.240002,137060300,30.462087
"17",33.200001,35.540001,31.059999,34.740002,127142700,32.079271
"18",34.23,36.869999,33.110001,36.43,123478800,33.639833
"19",36.349998,38.66,34.07,38.25,143028900,35.320439
"20",38.919998,40.16,38.119999,38.57,115186800,35.841037
"21",38.98,40.779999,37.599998,38.119999,117909500,35.422875
"22",38.150002,40.369999,37.34,39.189999,113795300,36.417168
"23",39.16,39.799999,36.880001,38.200001,106818700,35.716721
"24",38.200001,38.990002,36.259998,36.84,100358500,34.44513
"25",36.349998,38.759998,35.669998,38.73,107469800,36.212266
"26",38.75,39.68,37.060001,39.419998,92691100,37.103694
"27",39.57,41.790001,38.529999,40.66,89592900,38.270833
"28",40.669998,44.040001,40.610001,43.119999,85056800,40.586284
"29",43.27,44.790001,41.330002,41.580002,97911900,39.370967
"30",41.599998,43.27,40.439999,42.110001,99007800,39.872808
"31",42.279999,43.02,40.279999,41.02,78562700,39.079058
"32",41.450001,46.950001,41.16,46.599998,99540100,44.395028
"33",46.849998,47.400002,43.509998,44.959999,97228200,42.832628
"34",44.799999,47.009998,44.509998,46.959999,76210700,44.737994
"35",46.900002,47.98,45.389999,46.68,87859100,44.716889
"36",46.57,53.830002,46.259998,51.009998,118059700,48.864791
"37",51.240002,53.799999,50.599998,51.470001,111119900,49.305448
"38",52.060001,55.900002,51.279999,55.240002,94879500,53.203108
"39",55.34,55.98,51.220001,51.75,110741800,49.841795
"40",52.25,54.299999,51.779999,53.25,80643100,51.286485
"41",53.34,58.82,52.439999,57.400002,89004700,55.574208
"42",57.549999,58.849998,56.450001,57.32,79990600,55.49675
"43",57.32,58.200001,55.560001,57.389999,74340200,55.837041
"44",57.209999,60.93,56.110001,56.560001,121155600,55.029503
"45",56.560001,59.799999,53.330002,59.259998,105202900,57.656439
"46",58.689999,61.740002,57.860001,61.540001,94701600,59.874745
"47",61.610001,62.900002,55.849998,58.82,102903000,57.48962
"48",58.84,61.18,58.25,61.029999,72387400,59.649633
"49",61,65.5,58.32,63.759998,260914600,62.317886
"50",63.290001,64.559998,61.470001,61.740002,169570100,60.633623
"51",61.34,64.620003,60.68,63.849998,146901500,62.705809
"52",63.869999,67.110001,61.93,61.950001,177008500,60.839859
"53",61.950001,68.410004,59.830002,68.160004,263904300,67.269771
"54",68.120003,74.529999,67.389999,73.870003,125692800,72.905192
"55",73.410004,75.660004,70.779999,72.199997,150257200,71.553153
"56",72.129997,77.389999,70.870003,71.400002,249954500,70.760325
"57",70.980003,79.449997,70.910004,77.589996,135902100,76.894863
"58",77.589996,79.5,75.800003,77.989998,126349700,77.596264
"59",78.620003,78.970001,74.120003,74.449997,111489600,74.074135
"60",74.010002,79.080002,73.730003,76.32,89488800,75.934697
"61",77.07,77.660004,74.800003,76.160004,55029000,75.775509
