"","stock_data$CMG.Open","stock_data$CMG.High","stock_data$CMG.Low","stock_data$CMG.Close","stock_data$CMG.Volume","stock_data$CMG.Adjusted"
"1",145.990005,155.419998,136.570007,136.809998,10013600,136.809998
"2",136.149994,150,127.300003,147.899994,18668200,147.899994
"3",150.059998,154.429993,141.009995,150.830002,10966700,150.830002
"4",152.880005,177.690002,151.630005,172,14685600,172
"5",173.800003,215.380005,171.240005,210.210007,19277700,210.210007
"6",211.889999,262.769989,209,258.48999,20469800,258.48999
"7",261.540009,262,212.580002,212.660004,23536300,212.660004
"8",215.259995,237.119995,213.059998,218.919998,15701200,218.919998
"9",219.940002,275,217.199997,245,27626300,245
"10",243,273.920013,234.479996,272.369995,21592800,272.369995
"11",273.26001,289.350006,260.119995,266.790009,29097100,266.790009
"12",268.799988,295.98999,249.580002,289.070007,17201400,289.070007
"13",288.5,308.929993,267.429993,308.190002,16336500,308.190002
"14",307.23999,337.320007,305.880005,324.579987,17639200,324.579987
"15",328.970001,330.589996,271.529999,313.369995,24363500,313.369995
"16",314.029999,346.779999,297.700012,302.950012,21404500,302.950012
"17",300.809998,347.940002,285.390015,336.119995,20447100,336.119995
"18",326.640015,342.73999,300,321.559998,11654000,321.559998
"19",318.5,342,315.929993,337.73999,10015400,337.73999
"20",343.700012,370.350006,336.290009,367.290009,9567300,367.290009
"21",368,392.350006,358.600006,390.220001,10635600,390.220001
"22",391.850006,426.570007,386.440002,418,8736300,418
"23",417,442.399994,401.029999,414.149994,15216200,414.149994
"24",415.410004,424.410004,384.48999,413.070007,12751300,413.070007
"25",404.869995,419.690002,370.190002,379.950012,13135200,379.950012
"26",386.029999,404.589996,287.029999,292.329987,26600400,292.329987
"27",292.869995,307.279999,277.26001,288.640015,13890300,288.640015
"28",289.730011,351.799988,283.679993,317.540009,16159700,317.540009
"29",319.579987,322.920013,233.820007,254.529999,33768200,254.529999
"30",251.559998,284.570007,251.559998,263.779999,15400900,263.779999
"31",265.049988,298.200012,260.01001,297.459991,10663800,297.459991
"32",304.26001,314.98999,266.019989,307.01001,13914400,307.01001
"33",308.5,326.98999,303.5,316.790009,12078200,316.790009
"34",316.75,334.890015,314.5,325.869995,6749600,325.869995
"35",327.420013,372.98999,316.869995,363.190002,15255600,363.190002
"36",360.950012,379.149994,358.5,361,8751400,361
"37",361.01001,372.660004,350.660004,364.350006,7409500,364.350006
"38",366.450012,414.899994,362.299988,412.269989,11357300,412.269989
"39",414.899994,418.230011,397.01001,408.170013,5058100,408.170013
"40",410.25,429.779999,403.369995,428.799988,5482300,428.799988
"41",429.190002,531.429993,420.200012,526.969971,13158500,526.969971
"42",526.780029,550.280029,523.119995,523.859985,6305300,523.859985
"43",521.5,537,506.440002,532.780029,6177500,532.780029
"44",530,568.900024,480.869995,551.960022,12679500,551.960022
"45",550.210022,573.159973,531,565.210022,8757700,565.210022
"46",561,622.900024,551.700012,568.049988,11395000,568.049988
"47",568.01001,588.690002,472.410004,498.5,17087300,498.5
"48",498.51001,549.27002,490.549988,547.090027,9813000,547.090027
"49",548,602.210022,545.27002,592.51001,7916200,592.51001
"50",596.349976,682.669983,575.919983,672.5,11382700,672.5
"51",674.809998,697.929993,664.23999,678.650024,6654000,678.650024
"52",678.849976,692.900024,642.640015,666.590027,6745100,666.590027
"53",666.5,681.799988,607.549988,638,13916900,638
"54",638.280029,675.23999,635.320007,663.619995,5910600,663.619995
"55",664.659973,696.559998,632.429993,684.51001,6994900,684.51001
"56",686,727.969971,653.77002,709.840027,7853500,709.840027
"57",713.549988,726.630005,647.280029,664.969971,11266900,664.969971
"58",664.969971,692.429993,650.539978,650.539978,7442200,650.539978
"59",650,699.030029,619.719971,621.340027,16343900,621.340027
"60",628.960022,641.960022,612.26001,615.52002,9565100,615.52002
"61",615.01001,619,601.530029,608.669983,3462800,608.669983
