"","stock_data$HD.Open","stock_data$HD.High","stock_data$HD.Low","stock_data$HD.Close","stock_data$HD.Volume","stock_data$HD.Adjusted"
"1",32.240002,32.759998,27.99,28.07,325043600,24.903563
"2",28.41,29.370001,26.620001,28.51,375351500,25.293929
"3",28.82,29.24,27.1,27.82,279092800,24.89164
"4",28.08,32.23,28.059999,31.68,235029100,28.345333
"5",31.809999,32.139999,30.18,30.9,248397600,27.647436
"6",31,32.82,29.98,30.209999,285015300,27.239532
"7",30.6,35.490002,30.6,35.060001,242106100,31.612647
"8",35.200001,38.119999,34.07,36.77,229405900,33.154506
"9",36.939999,39.380001,36.380001,37.470001,174726800,33.785678
"10",37.139999,37.860001,35.43,37.060001,225764900,33.644119
"11",37.119999,38.509998,36.939999,37.150002,192754700,33.725824
"12",37.439999,37.939999,35.91,36.279999,205928600,32.936011
"13",36.119999,36.310001,33.41,36.220001,267621000,33.128698
"14",36.290001,37.25,34.630001,34.93,200066500,31.948796
"15",35.07,35.07,28.129999,33.380001,451102200,30.75731
"16",33.529999,35.330002,31.08,32.869999,280603400,30.287379
"17",32.799999,37.650002,31.030001,35.799999,242007200,32.987167
"18",34.740002,39.790001,34.580002,39.220001,231967000,36.421629
"19",38.860001,42.470001,38.790001,42.040001,230611500,39.04042
"20",42.41,45.5,41.919998,44.389999,196659700,41.222745
"21",44.689999,48.07,44.299999,47.57,189647500,44.17585
"22",47.529999,50.419998,46.119999,50.310001,197964600,47.008011
"23",50.099998,52.389999,49.360001,51.790001,176244800,48.390874
"24",51.93,52.880001,46.369999,49.34,286227600,46.373689
"25",48.849998,53.279999,47.75,52.990002,287347600,49.804253
"26",52.959999,54.279999,49.77,52.18,205145900,49.042949
"27",52.310001,57.18,51.209999,56.75,188405400,53.612554
"28",56.790001,60.580002,56.369999,60.369999,144599900,57.03242
"29",60.77,63.200001,58.75,61.380001,197653000,57.986584
"30",61.950001,65.230003,60.310001,65.07,178244000,61.749483
"31",65,65.919998,60.209999,61.849998,143325700,58.693798
"32",63.57,68.150002,62.380001,66.919998,127826000,63.505076
"33",67.620003,69.190002,63.82,68.5,143475800,65.00445
"34",68.379997,71.449997,68.089996,69.779999,128165200,66.583228
"35",69.510002,74.589996,69.510002,73.349998,155248500,69.989679
"36",73.18,81.559998,72.529999,78.660004,158696200,75.056421
"37",78.650002,79.68,72.410004,77.470001,177557000,74.287303
"38",77.629997,81.230003,76.629997,79.029999,125062100,75.783211
"39",79.519997,80.5,73.110001,74.489998,169108600,71.429727
"40",74.830002,78.809998,72.209999,75.849998,147410900,73.116662
"41",75.879997,78.599998,73.739998,77.889999,164100100,75.08315
"42",77.980003,82.269997,74.779999,80.669998,138731300,77.762968
"43",80.449997,82.470001,77.699997,82.339996,128287300,79.762749
"44",82.110001,82.57,75.849998,76.849998,137041800,74.444588
"45",76.639999,83.099998,73.959999,82.029999,147322300,79.462454
"46",80.730003,83.199997,78.370003,79.129997,129832500,77.094137
"47",79.239998,81.150002,74.610001,79.510002,161862900,77.464365
"48",79.510002,80.269997,75.32,80.230003,120703800,78.165842
"49",80.25,81.470001,77.75,80.959999,129672100,79.338325
"50",81.32,82.349998,77.949997,80.849998,127291500,79.230528
"51",80.559998,93.519997,79.660004,93.5,148205800,91.627143
"52",93.040001,93.75,88.330002,91.739998,153432100,90.356594
"53",92.139999,99.260002,86.349998,97.519997,145327800,96.049432
"54",96.809998,99.800003,95.150002,99.400002,103020500,97.901088
"55",99.489998,106.019997,96.989998,104.970001,118057300,103.880866
"56",105.160004,107.739998,100.239998,104.419998,109796900,103.33657
"57",104.779999,117.919998,101.57,114.75,110370800,113.559391
"58",114.860001,117.989998,111.580002,113.610001,104110600,113.009752
"59",113.879997,116.25,106.620003,106.980003,95675500,106.414784
"60",106.980003,116.480003,106.849998,111.419998,100397400,110.83132
"61",111.970001,113.480003,109.029999,110.980003,37367800,110.980003
