"","stock_data$COH.Open","stock_data$COH.High","stock_data$COH.Low","stock_data$COH.Close","stock_data$COH.Volume","stock_data$COH.Adjusted"
"1",41.529999,44.369999,36.439999,36.549999,70341300,32.601191
"2",36.400002,38.41,33.75,36.970001,85414800,32.975816
"3",37.790001,39.360001,35.060001,35.84,79544700,31.967899
"4",36.689999,43.860001,36.689999,42.959999,65229300,38.472182
"5",43.5,50.75,42.27,50,76546100,44.77675
"6",50.220001,57.259998,49.48,56.540001,73827200,50.633549
"7",57.540001,58.549999,55.16,55.310001,62554800,49.663591
"8",54.790001,55.27,51.25,54.09,82632400,48.568136
"9",54.389999,58.279999,52.93,54.919998,53598400,49.313402
"10",55.18,56.709999,49.240002,52.040001,76490400,46.856614
"11",52.490002,60.630001,50.34,59.810001,62832200,53.852692
"12",60.16,64.43,58.009998,63.66,62415800,57.319216
"13",63.360001,64.199997,57.610001,63.93,74479100,57.770698
"14",63.91,69.199997,63.139999,64.559998,52493400,58.339999
"15",66.18,66.889999,45.700001,56.220001,141450800,50.803515
"16",56.09,61.049999,50.349998,51.830002,76634400,47.024665
"17",51.330002,66.540001,48.369999,65.07,77249000,59.037138
"18",62.060001,65.739998,58.23,62.59,62266800,56.787067
"19",61.57,63.98,56.720001,61.040001,50982500,55.580577
"20",61.919998,70.160004,59.740002,70.050003,69666900,63.784723
"21",70.400002,76.699997,70.07,74.839996,51371300,68.146299
"22",75.25,79.699997,72.849998,77.279999,55510500,70.585266
"23",77.419998,79,69.540001,73.160004,59106500,66.822184
"24",73.080002,75.870003,65.160004,67.449997,64498700,61.877433
"25",65.949997,66.239998,55.18,58.48,95409500,53.648516
"26",58.759998,62.48,49.049999,49.330002,108887400,45.254471
"27",50.630001,58.349998,48.240002,58.130001,129561400,53.327434
"28",57.849998,63.240002,53.099998,56.02,105083200,51.663052
"29",56.259998,59.77,52.77,56.049999,106135600,51.690717
"30",56.310001,60.330002,52.200001,57.84,81536300,53.341501
"31",58.73,59.98,53.880001,55.509998,63619800,51.461113
"32",56.900002,61.939999,50.470001,51,166950000,47.280073
"33",51.380001,51.389999,45.869999,48.330002,114268300,44.804823
"34",48.02,50.889999,47.810001,49.990002,126095800,46.622923
"35",49.779999,58.950001,48.759998,58.860001,130691600,54.895483
"36",58.799999,60.119999,56.5,58.259998,78502600,54.335894
"37",58.580002,59.490002,53.790001,57.09,68861200,53.553753
"38",57.349998,59.580002,52.099998,53.130001,68904900,49.839043
"39",53.619999,54.490002,51.529999,52.810001,67981900,49.538864
"40",53.34,55.810001,52.720001,54.529999,56891500,51.478097
"41",54.639999,55.419998,47.889999,50.68,122291700,47.843573
"42",50.880001,57.950001,50.16,57.900002,80879700,54.65949
"43",57.450001,57.709999,54.77,56.130001,54680900,53.306602
"44",56.150002,56.720001,47.43,47.889999,117825300,45.481081
"45",47.889999,49.130001,44.310001,48.810001,79982300,46.354806
"46",48.290001,51,47.509998,49.66,67542800,47.493651
"47",49.849998,50.860001,43.900002,44.650002,106745300,42.702207
"48",43.959999,44.360001,40.41,40.709999,97555600,38.934081
"49",41,41,33.599998,34.189999,209590800,32.974658
"50",34.259998,36.400002,33.389999,34.560001,112741100,33.331509
"51",34.57,37.580002,33.450001,36.830002,100337900,35.520818
"52",36.84,37.700001,35.549999,35.610001,78793900,34.6585
"53",35.529999,36.27,33.25,34.380001,111857000,33.461366
"54",34.439999,37.599998,32.720001,37.119999,76761300,36.128151
"55",36.889999,38.130001,33.48,37.560001,102610700,36.910925
"56",37.700001,39.900002,35.650002,37.189999,123282400,36.547316
"57",37.279999,43.77,36.68,43.549999,90793400,42.797409
"58",43.549999,43.869999,40.220001,41.43,82783300,41.039281
"59",41.23,43.450001,37.830002,38.209999,84444100,37.849647
"60",38.25,39.119999,34,35.369999,76347100,35.036431
"61",35.450001,36.380001,35.150002,35.23,22466800,35.23
