"","stock_data$WMB.Open","stock_data$WMB.High","stock_data$WMB.Low","stock_data$WMB.Close","stock_data$WMB.Volume","stock_data$WMB.Adjusted"
"1",19.579961,21.809949,18.179964,18.279964,139598300,12.394406
"2",18.309956,19.959953,17.529965,19.409954,160874100,13.160576
"3",19.949956,20.999952,17.719955,18.129964,141317000,12.378234
"4",18.439961,19.699956,18.139962,19.109954,142112300,13.047322
"5",19.109954,22.239953,18.879962,21.509949,225575700,14.685919
"6",21.639954,23.959944,20.979957,22.809945,204800200,15.573491
"7",23.209945,24.889947,23.209945,24.719938,149742700,16.967295
"8",24.969938,27.169932,24.259943,26.989942,181119100,18.525382
"9",27.129944,30.94993,26.729945,30.359928,245373500,20.838477
"10",30.669926,31.769922,28.699935,31.179934,191419300,21.490768
"11",31.639931,33.329929,29.859929,33.16992,141071200,22.862366
"12",33.289927,33.46992,29.389937,31.389932,192271700,21.635509
"13",31.389932,31.569925,27.919932,30.249931,213216900,20.990497
"14",30.369926,33.159922,28.339938,31.699929,218218200,21.996654
"15",31.839931,32.109924,23.459944,26.989942,330802200,18.876433
"16",26.979944,28.259933,24.269941,24.339948,227375300,17.02306
"17",24.039948,31.399929,21.899951,30.109929,268300900,21.058514
"18",29.26993,32.499926,29.01993,32.279931,195526300,22.576186
"19",32.259924,33.109923,30.359928,33.01992,196572200,23.274768
"20",27.549999,29.68,26.209999,28.82,180283300,24.91949
"21",29.08,30,28.51,29.879999,118577800,25.836028
"22",29.940001,32.09,29.33,30.809999,148609400,26.874364
"23",30.85,34.119999,30.51,34.029999,135508500,29.683044
"24",34.450001,34.630001,29.559999,30.530001,211481300,26.630132
"25",29.790001,30.280001,27.25,28.82,189841700,25.398618
"26",28.82,31.950001,28.469999,31.790001,131961900,28.016034
"27",32.049999,32.790001,29.889999,32.27,127158100,28.717507
"28",32.27,35.389999,32.02,34.970001,101383200,31.120274
"29",35,37.560001,34.080002,34.990002,131007000,31.138073
"30",34.310001,35.400002,30.549999,32.84,123422600,29.224757
"31",33,33.139999,30.59,32.740002,162386700,29.432467
"32",33.41,35.450001,33.099998,35.049999,126778900,31.509099
"33",35.330002,36.220001,33.09,34.709999,144999700,31.203447
"34",34.529999,38,33.34,37.459999,144804500,34.017725
"35",37.84,38.57,36.110001,38.130001,99849800,34.626159
"36",37.970001,38.200001,35.02,35.18,211919200,31.94724
"37",35.220001,35.369999,31.25,32.470001,167813800,29.790571
"38",32.650002,34.759998,32.360001,34.169998,98043300,31.350284
"39",34.790001,36.77,34.02,36.240002,140988200,33.24947
"40",36.599998,36.939999,34.950001,36.360001,130776700,33.700387
"41",36.32,37.470001,34.669998,35.709999,116102600,33.09793
"42",35.689999,36.23,34.220001,35.220001,112382300,32.643774
"43",35.34,38.68,33.98,38.57,169368500,36.135755
"44",38.389999,40.889999,37.77,40.490002,145054800,37.934581
"45",40.490002,42.470001,39.290001,41.299999,182827300,38.693458
"46",41.150002,42.939999,39.860001,40.580002,104831400,38.390814
"47",39.970001,42.419998,39.310001,42.169998,87064100,39.895034
"48",41.740002,47.110001,40.919998,46.959999,100940700,44.426627
"49",46.950001,59.68,46.57,58.209999,187832000,55.565421
"50",58.439999,58.860001,55.52,56.630001,99933400,54.057205
"51",56.259998,59.459999,54.279999,59.439999,97496700,56.73954
"52",59.32,59.77,54.799999,55.349998,117824200,53.355349
"53",55.34,57,46.150002,55.509998,211814600,53.509583
"54",55.52,56.810001,51.52,51.75,91145600,49.885084
"55",51.349998,51.720001,41.209999,44.939999,242469500,43.849701
"56",44.830002,45.57,40.07,43.860001,166123600,42.795905
"57",44.669998,50.689999,43.610001,49.040001,159597200,47.850233
"58",49.040001,51.150002,45.700001,50.59,127093700,49.97036
"59",50.880001,52.880001,49.639999,51.189999,87402700,50.563009
"60",51.18,54.490002,48.41,51.099998,177077500,50.474112
"61",51.029999,51.720001,47.580002,47.59,61856600,47.59
