"","stock_data$ESV.Open","stock_data$ESV.High","stock_data$ESV.Low","stock_data$ESV.Close","stock_data$ESV.Volume","stock_data$ESV.Adjusted"
"1",37.220001,41.619999,36.529999,39.279999,41823400,32.545632
"2",39.490002,44.009998,38.91,41.810001,57603000,34.641878
"3",42.279999,45.939999,40.220001,41.130001,39925000,34.07846
"4",41.52,47.279999,41.52,44.73,33391500,37.37934
"5",45.07,48.380001,43.080002,46.34,41895600,38.724763
"6",46.950001,51.880001,46.529999,47.400002,34238700,39.61057
"7",48.299999,53.93,47.759998,53.380001,25362100,44.934272
"8",54.07,55.16,50.119999,54.34,29280900,45.742381
"9",53.860001,56.32,49.700001,56.099998,86365600,47.223914
"10",57.5,59.610001,53.259998,57.84,78106900,48.989639
"11",58.360001,59.900002,54.540001,59.57,54531800,50.454924
"12",59.790001,60.310001,52.939999,53.32,78786200,45.161264
"13",53.549999,57.009998,50,53.299999,77245200,45.434082
"14",53.48,53.700001,50.779999,53.25,69658700,45.391462
"15",53.98,54.119999,39.509998,48.259998,90323300,41.137876
"16",48.48,49.990002,39.689999,40.43,72499400,34.710541
"17",39.779999,52.560001,37.389999,49.66,62876200,42.634812
"18",48,53.639999,46.779999,51.970001,53031500,44.618027
"19",51.970001,55.290001,45.650002,46.919998,43565900,40.555553
"20",48.189999,54.93,46.279999,52.639999,52877000,45.499667
"21",53,59.900002,52.330002,58.299999,63600800,50.391918
"22",58.790001,58.919998,51.560001,52.93,54111800,46.057767
"23",53.349998,54.919998,50.59,54.650002,43220400,47.55445
"24",54.810001,55.66,43.720001,44.91,57981300,39.079053
"25",44.169998,47.209999,41.630001,46.970001,57496300,41.21306
"26",47,56.439999,45.950001,54.330002,126782500,47.670972
"27",54.779999,58.02,53.57,57.369999,61567600,50.338368
"28",57.509998,61.48,53.59,54.560001,50871200,48.187155
"29",54.98,60.029999,53.529999,57.82,38951800,51.066372
"30",58.990002,60.73,53.779999,58.23,58033800,51.428482
"31",58.32,60.360001,56.220001,59.279999,32144200,52.690962
"32",60.150002,65.190002,60.02,63.57,41606500,56.504124
"33",63.880001,65.82,57.799999,60.139999,44938000,53.455372
"34",59.799999,60.380001,56.779999,60,51861700,53.794684
"35",60.099998,60.189999,51.009998,57.68,53354500,51.714624
"36",57.299999,64.139999,56.580002,60.169998,45751200,53.947101
"37",60.369999,61.290001,54.990002,58.119999,32332200,52.544012
"38",58.490002,61.959999,55.939999,57.34,35175900,51.838845
"39",57.880001,59.630001,54.970001,55.560001,36355800,50.229618
"40",56.07,57.59,53.639999,53.75,43181200,49.043538
"41",53.900002,58.75,53.490002,57.650002,44196000,52.602047
"42",57.689999,62.25,56.630001,59.080002,47714900,53.906834
"43",59.25,60.41,54.66,57.18,53814500,52.83151
"44",57.130001,57.450001,49.650002,50.369999,52813000,46.539403
"45",50.07,53.860001,48.25,52.66,50750800,48.655252
"46",52.650002,53.419998,47.849998,52.779999,57818900,49.469886
"47",52.830002,53.07,48.529999,50.450001,63105600,47.286014
"48",50.27,52.790001,49.240002,52.66,61655700,49.357413
"49",52.68,55.889999,51.299999,55.57,57682600,52.831686
"50",55.549999,55.740002,50,50.650002,49577400,48.15413
"51",50.470001,51.299999,48.049999,50.48,62141900,47.992505
"52",50.259998,50.310001,40.91,41.310001,97966400,39.882337
"53",41.139999,41.43,35.959999,40.59,129134500,39.187218
"54",40.779999,41.990002,33.23,33.799999,80705800,32.631878
"55",33.639999,34.349998,25.879999,29.950001,147840100,29.579545
"56",29.74,30.629999,26.709999,28.040001,99661500,27.69317
"57",28.540001,32.279999,24.16,24.469999,112881400,24.167326
"58",24.25,24.48,19.780001,21.07,148462500,20.940258
"59",21.16,27.99,21.040001,27.280001,116071000,27.11202
"60",26.92,28.4,23.5,23.5,104408300,23.355296
"61",23.440001,24.870001,23.209999,24.67,36501800,24.67
