"","stock_data$SRE.Open","stock_data$SRE.High","stock_data$SRE.Low","stock_data$SRE.Close","stock_data$SRE.Volume","stock_data$SRE.Adjusted"
"1",46.68,50.98,46.59,46.790001,32160500,39.958662
"2",46.959999,51.240002,46.25,49.75,33789700,42.486502
"3",50.139999,52.700001,49.91,50.919998,35133300,43.48568
"4",51.27,54.32,50.84,53.799999,28309200,46.280192
"5",53.860001,54.450001,52.59,53.48,24830200,46.00492
"6",53.720001,54.279999,49.490002,50.09,36391300,43.088752
"7",50.57,52.75,50.080002,52.48,35934100,45.483148
"8",52.689999,52.919998,51.18,52.07,27962700,45.127811
"9",52.200001,53.599998,51.709999,53.23,30564100,46.133155
"10",53.330002,54.439999,50.32,53.5,41067500,46.799652
"11",53.630001,55.220001,52.119999,55.099998,17633200,48.199267
"12",55.259998,55.970001,53.919998,55.169998,22803400,48.260499
"13",55,55.119999,51.529999,52.880001,28190100,46.679101
"14",52.830002,53.68,50.48,50.689999,20478700,44.745906
"15",50.939999,52.66,44.779999,52.52,43969600,46.361315
"16",52.57,53.759998,49.16,51.5,30272100,45.895698
"17",51.43,55.580002,48.380001,53.73,26155400,47.883026
"18",52.509998,54.369999,50.529999,53.189999,24261700,47.401789
"19",53.240002,55.610001,51.529999,55,23654000,49.47095
"20",55.689999,58.419998,54.700001,56.900002,25471200,51.179948
"21",57.310001,59.740002,57.099998,59.240002,26401500,53.284712
"22",59.200001,60.360001,57.759998,59.959999,38991200,54.487856
"23",60.209999,64.919998,60.040001,64.739998,39152900,58.831616
"24",64.639999,65.5,63.02,65.010002,30299600,59.076979
"25",64.099998,69.459999,63.299999,68.879997,25308300,63.157694
"26",69.099998,71.330002,67.709999,70.410004,18805900,64.560593
"27",70.650002,72.32,66.019997,66.199997,17628800,60.700338
"28",66.099998,67.220001,63.869999,64.489998,28364700,59.683154
"29",64.669998,70,64.470001,69.75,20096400,64.551096
"30",69.169998,69.860001,64.959999,68.419998,20911900,63.320227
"31",68.410004,72.870003,68.040001,70.940002,23750800,66.206348
"32",71.980003,75.400002,70.610001,75.050003,18044300,70.042098
"33",75.220001,78.18,75.199997,77.760002,17648000,72.571265
"34",77.559998,80.209999,77.029999,79.940002,18308900,75.203862
"35",79.910004,82.870003,79.440002,82.849998,23136200,77.941452
"36",82.839996,84.849998,78.110001,81.300003,35405200,76.483288
"37",81.110001,83.459999,77.489998,81.760002,25446600,77.519034
"38",81.620003,88.110001,78.669998,87.629997,20966500,83.084547
"39",88.040001,88.779999,81.769997,84.419998,16805600,80.041053
"40",85.190002,89.459999,82.129997,85.599998,20913800,81.747017
"41",85.57,92.739998,84.550003,91.139999,22887400,87.037655
"42",91.309998,93,87.610001,88.440002,23258500,84.459189
"43",88.309998,90.419998,86,89.760002,23561700,86.327782
"44",89.550003,93.529999,86.730003,92.709999,26625200,89.164977
"45",92.870003,95.839996,89.870003,94.470001,27416800,90.857681
"46",94.129997,97.480003,92.809998,96.760002,26583700,93.70339
"47",96.760002,99.809998,95.150002,98.610001,25412000,95.494947
"48",98.639999,100.690002,96.580002,100.349998,19888000,97.179979
"49",100.099998,105.25,98.32,104.709999,20286700,102.046635
"50",104.529999,104.599998,99.599998,99.709999,19582100,97.173813
"51",99.540001,106.089996,96.129997,105.970001,21409200,103.274588
"52",106.279999,107.809998,102.339996,105.379997,18249300,103.347227
"53",105.529999,111.360001,98.339996,110,31504500,107.87811
"54",110.25,114.5,108.220001,111.730003,18504400,109.574742
"55",111.370003,116.300003,104.75,111.360001,25332400,109.890595
"56",111.779999,116.209999,108.919998,111.919998,16125400,110.443203
"57",112.379997,114.019997,104.639999,108.199997,20701300,106.772287
"58",108.199997,112.900002,105.620003,109.019997,28073500,108.264339
"59",108.82,111.089996,105.089996,106.169998,18002200,105.434095
"60",106.169998,108.830002,102.449997,107.470001,22469700,106.725087
"61",107.470001,108.360001,102.389999,103.330002,7633800,102.613784
