"","stock_data$TER.Open","stock_data$TER.High","stock_data$TER.Low","stock_data$TER.Close","stock_data$TER.Volume","stock_data$TER.Adjusted"
"1",10.1,12.06,9.7,9.75,92609400,9.602963
"2",9.72,11.24,9.25,10.76,137045700,10.597732
"3",11.08,11.31,8.84,8.98,146364600,8.844575
"4",9.19,11.64,9.1,11.14,146157600,10.972001
"5",11.14,11.91,10.51,11.24,139052400,11.070493
"6",11.38,12.85,11.08,11.86,138154100,11.681143
"7",12.18,14.44,12.08,14.04,106415300,13.828267
"8",14.13,16.74,13.38,16.68,116084300,16.428454
"9",16.83,19.110001,16.790001,18.629999,127850600,18.349046
"10",18.809999,19.190001,16.07,17.809999,100179700,17.541412
"11",17.969999,18.68,15.51,16.1,93159500,15.857201
"12",16.15,16.75,15.21,16.01,77658500,15.768558
"13",15.95,15.97,13.51,14.8,70628300,14.576806
"14",14.78,15.3,12.55,13.49,67458100,13.286561
"15",13.67,13.87,10.76,12.1,113778500,11.917524
"16",12.06,12.9,10.86,11.01,76142200,10.843962
"17",10.9,15.05,10.37,14.32,97343300,14.104044
"18",13.75,14.74,11.68,13.46,80709400,13.257014
"19",13.4,14.18,12.73,13.63,78315900,13.42445
"20",13.95,17.5,13.53,16.35,115493300,16.103431
"21",16.530001,17.49,16.02,16.42,69955700,16.172375
"22",16.51,17.389999,15.06,16.889999,66094300,16.635287
"23",16.790001,18.01,15.67,17.209999,63821100,16.95046
"24",17.049999,17.459999,14.13,14.45,66121500,14.232084
"25",14.1,14.99,13.18,14.06,63222800,13.847966
"26",14.1,15.12,12.95,14.71,65893400,14.488163
"27",14.84,15.95,14.04,15.62,51504400,15.38444
"28",15.58,16.49,13.8,14.22,70744500,14.005553
"29",14.3,14.98,13.4,14.62,79858700,14.39952
"30",14.69,16.15,14.61,15.64,61633800,15.404138
"31",15.78,16.9,15.51,16.889999,43363800,16.635287
"32",17.280001,17.49,15.75,16.16,57161500,15.916296
"33",16.290001,17.66,16.219999,16.76,52464300,16.507248
"34",16.639999,17.48,15.44,16.219999,53038100,15.975391
"35",16.25,16.639999,14.05,16.440001,67863800,16.192074
"36",16.32,18.26,15.93,17.940001,55076300,17.669453
"37",18.459999,18.57,16.27,17.57,41640600,17.305032
"38",17.700001,18.73,15.55,16.49,63559500,16.241319
"39",16.65,16.91,15.22,15.35,41128700,15.118512
"40",15.57,16.75,15.28,16.52,44453400,16.270867
"41",16.49,17.9,15.75,17.49,63559900,17.226238
"42",17.559999,17.68,16.459999,17.030001,32815800,16.773177
"43",17.030001,17.68,16.209999,17.620001,70303500,17.354279
"44",17.440001,20.17,17.360001,18.809999,87037100,18.526332
"45",18.77,20.540001,18.139999,20.280001,72039100,19.974164
"46",20.02,20.459999,19.07,19.889999,49371300,19.590044
"47",19.969999,20.719999,16.950001,17.67,60662200,17.403524
"48",17.65,18.219999,17.34,17.799999,39796600,17.591397
"49",17.84,19.790001,17.77,19.6,44957000,19.370304
"50",19.610001,20.23,17.74,18.219999,63475600,18.006475
"51",18.200001,20.6,18.02,20.59,49890100,20.348701
"52",20.6,20.879999,18.940001,19.389999,52416100,19.218822
"53",19.33,19.35,16.02,18.4,81512400,18.237563
"54",18.4,20,18.33,19.85,42095600,19.674763
"55",19.690001,20.49,18.889999,19.790001,32144200,19.674763
"56",19.92,20,17.9,18.1,40099800,17.994604
"57",18.040001,20.07,17.6,19.32,30202700,19.265295
"58",19.42,20.15,18.290001,18.85,34984100,18.796626
"59",18.790001,19.42,18.030001,18.25,44596400,18.198325
"60",19.52,21.33,19.51,21.15,46480500,21.15
"61",21.27,21.299999,20.610001,21.129999,12863300,21.129999
