"","stock_data$CNX.Open","stock_data$CNX.High","stock_data$CNX.Low","stock_data$CNX.Close","stock_data$CNX.Volume","stock_data$CNX.Adjusted"
"1",37.400002,40.759998,33.52,33.759998,63552100,31.989779
"2",34.470001,39.830002,32.580002,37.48,81183700,35.514721
"3",38.400002,39.639999,31.08,32.200001,69656600,30.59158
"4",33.009998,37.900002,32.709999,36.959999,56726600,35.113812
"5",37.470001,41.27,36.279999,36.759998,65821400,34.923801
"6",37.119999,44.169998,36.150002,41.959999,86956400,39.962219
"7",43.34,49.349998,42.330002,48.740002,74708600,46.419415
"8",49.849998,54.099998,47.040001,49.700001,87989700,47.333707
"9",50.220001,52,45.349998,50.709999,71842800,48.393008
"10",50.880001,56.32,47.380001,53.630001,89237500,51.179592
"11",54.299999,55.07,48.209999,54.09,59888600,51.618573
"12",54.57,55.330002,46.740002,51.27,67796100,49.025948
"13",51.25,51.790001,45.18,48.48,62604400,46.358064
"14",48.41,55.02,47.73,53.599998,76735400,51.253964
"15",54.549999,54.580002,35.75,45.66,126148300,43.766728
"16",45.93,46.529999,33.259998,33.93,99663900,32.523108
"17",33.259998,46.900002,30.559999,42.759998,89497100,40.986973
"18",41.419998,45.439999,35.18,41.639999,61839000,40.026817
"19",40.209999,41.950001,34.950001,36.700001,53610900,35.2782
"20",38.07,39.509998,32.509998,35.740002,93794600,34.355392
"21",36.439999,38.419998,34.990002,35.82,75336000,34.546351
"22",35.939999,36.110001,29.85,34.099998,106865500,32.887508
"23",34,35.689999,32.27,33.240002,96270900,32.05809
"24",33.43,35.599998,27.799999,28.08,116151500,27.181112
"25",27.139999,30.290001,26.41,30.24,80341600,29.271966
"26",30.139999,31.75,27.42,28.98,77155700,28.052301
"27",29.1,34.619999,27.690001,30.200001,77393600,29.352567
"28",30.120001,33.57,28.42,30.049999,65730200,29.206774
"29",30.25,37.389999,29.49,35.16,84142000,34.173384
"30",35.150002,37.279999,30.42,31.35,52900600,30.577752
"31",31.799999,35.27,30.98,32.099998,43794900,31.423827
"32",33.02,33.119999,29.42,31.34,65233600,30.679838
"33",31.59,34.5,30.5,32.150002,50105900,31.472777
"34",31.959999,35.240002,29.59,33.650002,54088300,32.94118
"35",33.73,34.5,30.790001,33.639999,51310000,32.931389
"36",33.32,36.310001,32.73,34.68,49173700,34.071621
"37",34.91,35.349998,26.84,27.1,50159300,26.624594
"38",27.190001,31.59,26.25,31.030001,58750100,30.485652
"39",31.200001,33.98,30.18,31.23,36492000,30.805761
"40",31.82,36.560001,31.610001,33.650002,35418800,33.192889
"41",33.540001,39.23,33.23,36.5,79148800,36.004172
"42",36.860001,38.279999,33.669998,35.580002,45914900,35.220724
"43",35.709999,38.68,35.349998,38.040001,41172800,37.655883
"44",37.84,39.57,35.720001,37.349998,53240600,36.972848
"45",37.720001,41.009998,36.049999,40.099998,41198600,39.760789
"46",39.990002,41.509998,38.209999,39.950001,41874300,39.61206
"47",40.060001,44.720001,39.080002,44.509998,50134600,44.133484
"48",44.5,45.57,42.75,44.169998,45090100,43.859346
"49",44.369999,48.299999,43.830002,46.07,55058900,45.745984
"50",46.299999,46.610001,38.740002,38.82,48897900,38.546974
"51",38.560001,40.720001,38.459999,40.279999,38530700,40.060616
"52",40.279999,40.490002,35.959999,37.860001,48695600,37.653799
"53",37.799999,37.959999,31.639999,36.799999,73398200,36.59957
"54",37.130001,42.259998,36.349998,39.130001,62625900,38.979447
"55",38.700001,38.73,33.389999,33.810001,67818900,33.679916
"56",33.810001,34.360001,28.51,28.950001,73542500,28.838614
"57",29.190001,34.560001,28.99,32.200001,52841700,32.138621
"58",32.200001,32.209999,26.110001,27.889999,89607700,27.836835
"59",27.83,32.93,27.549999,32.48,84431600,32.418086
"60",32.650002,34.139999,27.82,27.84,53410600,27.84
"61",27.809999,28.66,26.82,27.389999,25030200,27.389999
