"","stock_data$PETM.Open","stock_data$PETM.High","stock_data$PETM.Low","stock_data$PETM.Close","stock_data$PETM.Volume","stock_data$PETM.Adjusted"
"1",31.78,33.35,29.92,30.17,16608800,28.67858
"2",30.25,32.97,29.5451,31.05,17951900,29.63078
"3",31.52,33.74,28.88,31.9,34972600,30.44193
"4",32.36,35.84,32.26,35,2.3e+07,33.40024
"5",35.35,37.74,34.44,37.43,20653100,35.83931
"6",37.45,39.54,36.55,37.86,31603400,36.25104
"7",38.34,40.76,38.07,39.82,18831400,38.12774
"8",40.01,41.2,38.29,40.24,17698400,38.649
"9",40.66,42.36,39.29,40.87,15997100,39.25409
"10",40.98,43.39,40,40.95,25266900,39.33093
"11",41.01,43,40.63,42.18,16248500,40.63163
"12",42.45,45.98,41.605,45.3,22244800,43.6371
"13",45.1,46.01,43,45.37,22111900,43.70453
"14",45.67,46.6,41.86,43.02,19189900,41.56936
"15",43.22,43.86,37.76,42.18,36708500,40.75768
"16",42.31,45.59,39.16,42.65,22437000,41.21183
"17",42.16,48.57,39.53,46.95,23356300,45.5034
"18",46.26,49.04,45.27,48.25,17720300,46.76334
"19",47.95,52.62,47.7,51.29,17305000,49.70967
"20",51.29,54.96,50.18,53.22,13012300,51.71579
"21",53.67,56.39,52.83,55.74,15785800,54.16457
"22",54.55,59.08,53.3,57.22,25038700,55.60274
"23",57.23,59.36,54.2,58.26,15555700,56.75379
"24",58.08,64.82,55.06,64.44,37869100,62.77402
"25",63.22,69.97,62.37,68.18,28195500,66.41733
"26",68.51,69.92,66.03,66.11,16724300,64.5596
"27",66.5,72.5,64.21,70.92,19735600,69.2568
"28",70.92,72.75,67.34,68.98,15187200,67.3623
"29",68.98,71.5299,65.2701,66.39,45417000,64.99276
"30",66.54,70.71,64.83,70.66,24187700,69.17289
"31",70.66,71.68,66.73,68.34,15642600,67.0615
"32",68.34,70.31,62.63,65.41,28840300,64.18632
"33",65.5,67.63,61.58,65.11,29639800,63.89193
"34",64.84,66.72,61.3,62.1,42783000,60.93824
"35",62,68.28,61.57,68.18,29114600,66.90449
"36",68.07,71.05,67.31,67.5,31559400,66.3979
"37",67.59,70.26,65.7,66.99,23917200,65.89623
"38",67.52,74.01,67.31,73.22,18484100,72.18837
"39",73.42,75.15,69.54,70.43,27742300,69.43768
"40",70.43,76.92,69.18,76.26,16838600,75.18554
"41",75.9,77.32,69.4,72.75,27860500,71.91605
"42",70.08,75.44,69.73,74.11,24934800,73.26046
"43",73.86,74,71,72.75,21234000,71.91605
"44",72.75,72.87,62.18,63,42625700,62.47026
"45",62.8,67.64,62.12,67.06,31605800,66.49612
"46",66.77,69.83,65.51,68.91,41595900,68.33057
"47",69.05,70.7125,65.84,67.68,32366600,67.30423
"48",67.6,67.77,55,57.47,61189600,57.15092
"49",57.43,61.07,56.89,59.8,53008800,59.46798
"50",60.1,71.19,59.58,68.14,59016500,67.95034
"51",68.08,71.82,66.785,71.57,32509700,71.37079
"52",71.57,72.55,69.56,70.09,14139300,69.89491
"53",69.94,73,63.39,72.35,20956800,72.35
"54",72.59,79.38,70.05,78.76,19206500,78.76
"55",78.72,81.97,77.21,81.295,38496000,81.295
"56",81.295,81.95,81,81.705,41819100,81.705
"57",81.72,83.49,81.61,82.91,36376300,82.91
"58",82.97,83,82.91,82.98,20848000,82.98
